"English Term","Arabic Term"
"tension release needs","حاجات التحرر من التوتر"
"social integrative needs","حاجات تكامل اجتماعي"
"personal integrative needs","حاجات تكامل شخصي"
"cognitive needs","حاجات معرفية"
"affective needs","حاجات وجدانية"
"dolly","حاملة الكاميرا"
"encaustic ink","حبر مثبت"
"determinism","الحتمية"
"argument","حجة"
"echo chamber","حجرة الصدى"
"green room","حجرة خضراء"
"episode","حدث"
"event","حدث"
"exclusive","حَصْرَى"
"motivation","حفر"
"literary property","حق أدبي"
"privacy right","حق الخصوصية"
"copyright","حق النشر"
"election campaign","حملة انتخابية"
"marketing campaign","حملة تسويقية"
"presidential campaign","حملة رئاسية"
"journalistic campaign","حملة صحفية"
"personality interview","حوار شخصية"
"shooting trick","حيلة سينمائية"
"semantic memory","ذاكرة دلالية"
"long term memory","ذاكرة طويلة المدى"
"short term memory","ذاكرة قصيرة المدى"
"camera boom","ذراع الكاميرا"
"channel of communication","دائرة اتصالية"
"motive","دافع"
"dubbing","دبلجة"
"propaganda","دعاية"
"gray propaganda","دعاية رمادية"
"anti propaganda","دعاية مضادة"
"guidebook","دليل"
"web directory","دليل الشبكة (الويب)"
"desk","ديسك (قاعة التحرير)"
"electronic democracy","ديمقراطية إلكترونية"
"democracy, liberal","ديمقراطية ليبرالية"
"democracy, conservative","ديمقراطية محافظة"
"model maker","صانع النماذج"
"interpretative journalism","صحافة تفسيرية"
"military journalism","صحافة عسكرية"
"online journalism","صحافة على الخط (أون لاين)"
"dreadful papers","صحف الإثارة"
"popular press","صحف شعبية"
"yellow papers","صحف صفراء"
"leadership papers","صحف كبرى"
"group papers","صحف لمجموعة"
"leadership papers","صحف مالية"
"local papers","صحف محلية"
"journalist","صحف"
"financial journalist","صحف مالي"
"dreadful papers","صحف شعبية"
"popular press","صحف صفراء"
"yellow papers","صحف كبرى"
"leadership papers","صحف لمجموعة"
"group papers","صحف مالية"
"financial papers","صحف محلية"
"local papers","صحف"
"journalist","صحف مالي"
"electronic newspaper","صحيفة إلكترونية"
"organ newspaper","صحيفة حزبية"
"evening paper","صحيفة مسائية"
"future shock","صدمة المستقبل"
"echo","صدى"
"conflict","صراع"
"news page","صفحة الأخبار"
"amusement page","صفحة التسلية"
"double page","صفحة الوسط المزدوجة ""الدويل"""
"justification","ضبط الأسطر"
"digital compression","الضغط الرقمي"
"guest star","ضيف شرف"
"matting","طافي"
"direct printing","طبع مباشر"
"first edition","طبعة أولى"
"foreign edition","طبعة خارجية"
"abridged edition","طبعة مختصرة"
"information super highway","الطريق السريع للمعلومات"
"debut","الظهور الأول"
"fade in","ظهور تدريجي"
"reading habits","عادات القراءة"
"back number (of a newspaper)","عدد سابق (جريدة أو مجلة)"
"information aggression","عدوان إعلامي"
"press show","عرض خاص للصحفيين"
"book review","عرض كتاب"
"continuous performance","عرض مستمر"
"deadening","عزل الصوت"
"insulation","عزل الصوت"
"digital divide","فجوات المعلومات"
"camera crew","فجوة رقمية"
"decoding","فريق التصوير"
"graphics","فك الشفرة"
"animation","فن الجرافيك"
"immediacy","فن الرسوم المتحركة"
"children's film","الفورية"
"camera negative film","فيلم أطفال"
"diagram film","الفيلم السالب"
"historical film","فيلم بياني"
"documentary film","فيلم تاريخي"
"teaching film","فيلم تسجيلي (وثائقي)"
"cine","فيلم تعليمي"
"classroom film","فيلم سينمائي"
"social mind","العقل الجمعي"
"house mark","علامة المنشأة"
"semiotics","علم العلامات السينمائية (السينمائية)"
"news elements","عناصر الخبر"
"metaphorical headline","عنوان استعاري"
"kicker","عنوان جانبي"
"narrative title","عنوان حكائي"
"localism","عولمة محلية"
"central control room","غرفة المراقبة الرئيسية"
"facsimile (fax)","فاكس - ناسوخ"
"media sustainability index (MSI)","مؤشر استدامة وسائل الإعلام"
"leading indicators","مؤشرات إيحائية"
"dramatist","مؤلف درامي"
"display machine","مكينة العناوين"
"government spokesman","متحدث رسمي"
"extremist","متطرف"
"multicolor","متعدد الألوان"
"audience","متلقون"
"messenger","مُرْسِل"
"filter","مُرَشِّح"
"rumor spreader","مُرَوِّج شائعة"
"mixing","مَزِج"
"futurism","المستقبلية"
"draft","مُسَوَّدَة"
"campaigner","مُشَارِك في حملة"
"chase scenes","مُشَاهِد المطاردة"
"lighting supervisor","مُشْرِف إضاءة"
"script supervisor","مُشْرِف النص"
"draft declaration","مشروع البيان"
"exterior scene","مشهد خارجي"
"master scene","مشهد رئيسي"
"halogen lamps","مصابيح هالوجينية"
"intensifying station","محطة تقوية"
"director","مُخْرِج"
"manuscript","مخطوطة"
"running time","مدة العرض"
"spell checker","مُدَقِّق إملائي"
"grammar checkers","مُدَقِّق لُغَوِي"
"director cameraman","مدير التصوير"
"managing editor","مدير تحرير"
"data-base manager","مدير قاعدة بيانات"
"icebreaker","مذيب الثلج"
"continuity announcer","مذيع ربط"
"rewriter","مُرَاجِع صياغة"
"correspondent abroad","مراسل خارجي"
"over issues","المُرْتَجِع"
"cognitive","مغرض"
"advertiser","معرفي"
"official information","مُعلن"
"informatics","معلومات رسمية"
"Gallop institute","المعلوماتية"
"visual aids","معهد جالوب"
"media effects","معينات بصرية"
"misconception","مفعول وسائل الإعلام"
"group interview","مفهوم خاطئ"
"exclusive interview","مقابلة جماعية"
"analytical article","مقابلة حصرية"
"exchange essay","مقال تحليلي"
"critical article","مقال معاد نشره"
"lead","مقال نقدي"
"literary lead","مقدمة أدبية"
"contrast lead","مقدمة التباين"
"summary lead","مقدمة تلخيصية"
"dialogue lead","مقدمة حوارية"
"mocking lead","مقدمة ساخرة"
"effective lead","مقدمة مؤثرة"
"descriptive lead","مقدمة وصفية"
"colorimeter","مقياس كثافة الألوان"
"inquiring office","مكتب الاستعلامات"
"press office","مكتب صحفي"
"music library","مكتبة الموسيقى"
"photogenic","ملائم للتصوير"
"literary supplement","ملحق أدبي"
"advertisement supplement","ملحق إعلانات"
"press attaché","ملحق صحفي"
"poster","ملصق (إعلامي)"
"cross-media ownership","ملكية وسائل إعلامية متنوعة"
"debate","مناظرة"
"executive producer","منتج منفذ"
"forum","منتدى"
"reporter","مندوب"
"accredited representative of the press","مندوب صحفي معتمد"
"circular","منشور"
"abstract set","منظر تجريدي"
"outlet","منفذ توزيع"
"news summary","موجز الأنباء"
"background music","موسيقا تصويرية"
"camera set-up","موضع الكاميرا"
"objectivity","موضوعية"
"location","موقع التصوير الخارجي"
"montage","مونتاج (توليف)"
"screenplay","نص سينمائي"
"script","نص مكتوب (إسكريبت)"
"hyper text","نصّ نشيط"
"half-yearly","نصف سنوى"
"teletext","نصوص مُرسلة (تليتكست)"
"communication system","نظام اتصالي"
"grid system","نظام شبكي"
"piece- rate system","نظام عمل بالقطعة"
"dependency theory","نظرية الاعتماد"
"high fidelity ( hi – fi)","نقاء صوتي"
"press syndicate","نقابة الصحفيين"
"narrative- paradigm","نموذج السرد"
"flash","نبأ عاجل"
"elite","نخبة"
"intellectuals","نخبة فكرية"
"reproduction","نسخ"
"rough copy","نسخة مُسودة (تجريبية)"
"microcopy","نسخة مصغرة"
"diffusion","نشر – بث"
"court circular","نشرة البلاط"
"house organ","نشرة المؤسسة"
"prestige publication","نشرة دعائية"
"agenda building","وضع الأولويات"
"agenda setting","وضع الأولويات"
"national consciousness","وعى قومي"
"according to informed sources","وفقاً لمصادر علمية"
"peak listening time","وقت ذروة الاستماع (في الإذاعة)"
"advertising agency","وكالة إعلانية"
"photographic agency","وكالة تصوير صحفي"
"dailies","يوميات صحفية"
"inverted pyramid","الهرم المقلوب"
"ID (identification)","هوية"
"corporate identity","هوية المؤسسة"
"mobile unit","وحدة متحركة"
"multimedia","وسائط متعددة"
"traditional media","وسائل إعلام تقليدية"
"new media","وسائل إعلام جديدة"
"global media","وسائل إعلام كوكبية (عولمية)"
"local media","وسائل إعلام محلية"
"national media","وسائل إعلامية قومية"
"fettered media","وسائل الإعلام المقيدة"
"access television","تليفزيون المشاركة "" الجماهيرية """
"accredited representative of the press","مندوب صحفي مُعتمد"
"action still","صور ثابتة"
"A","صور فوتوغرافية ثابتة ضمن فيلم سينمائي، أو صورة سينمائية ثابتة غير متحركة."
"accent light","إضاءة مؤكدة"
"advertising","صناعة الإعلان"
"advertising rate","تعريفية الإعلان"
"adds","إضافة (إخبارية)"
"adoption of the idea","تبني الفكرة"
"advertisement (ad)","إعلان"
"advertiser","مُعلن"
"analytical article","مقال تحليلي"
"animation","فن الرسوم المتحركة"
"argument","حُجَّة"
"audience","مُتَلَقُّون"
"audience research","بحوث المتلقي"
"authoritarianism, liberal","سُلْطُويَّة لِيبْرَالِيَّة"
"authoritarianism, conservative","سُلْطُويَّة مُحَافِظَة"
"argument programs","برامج جدلية"
"bad news","أخبار سيئة"
"booklet","كُتُب"
"B","مصطلح يُطلق على مُنتَج معين أو خدمة معينة يتداوله المستهلكون نتيجة لذيوعه إعلانيًّا."
"back lighting","إضاءة خلفية"
"burning question","قضية الساعة"
"brand perception","تمييز العلامة التجارية"
"breaking news","خبر عاجل"
"broadcast network","شبكة إذاعية"
"camera crew","فريق التصوير"
"camera negative film","الفيلم السالب"
"C","مكان توضع فيه الكاميرا لالتقاط منظر"
"calligrapher","خطاط"
"camera angle","زاوية الكاميرا"
"chain, Gannet","سلسلة ""جانيت"" الصحفية"
"channels of opinion forming","قنوات تكوين الرأي"
"campaigner","مُشارك في حملة"
"caption","تعليق على صورة أو رسم"
"censorship","رقابة"
"children's film","فيلم أطفال"
"children's magazine","مجلة أطفال"
"cine","فيلم سينمائي"
"cinemascope","سينما سكوب"
"character in(to)","تقصص الشخصية"
"chase scenes","مشاهد المطاردة"
"cheat","خداع"
"chief camera man","رئيس فريق التصوير"
"city editor","محرر محليات"
"claque","مصفقون مستأجرون"
"classified advertising","إعلانات مُبَوِّية"
"classroom film","فيلم مدرسي"
"clipping","فُصَاصَة"
"cinematograph act","قانون السينما"
"circulation","توزيع الصحيفة"
"circulation department","قسم التوزيع"
"cognitive dissonance","تنافر معرفي"
"columnist","كاتب عمود"
"close procedure","اختبار التتمة"
"code","شفرة"
"cognitive","معرفي"
"communicator","قائم بالاتصال"
"community television","تليفزيون محلي"
"compositor","جميع (جامع الحروف)"
"commercial paper","صحيفة إعلانية"
"commercial television","تليفزيون تجاري"
"communication policy","سياسة إعلامية"
"continuity cut","توليف تتابع"
"confiscation","مصادرة"
"conglomerate","تكتل إعلامي"
"co-staring","بالاشتراك مع ..."
"continuity sheet","تقرير المتابعة"
"continuity writer","محرر الربط"
"credibility","مصداقية"
"critical article","مقال نقدي"
"costume designer","مصمم الملابس"
"cultivation","تثقيف"
"cultural magazine","مجلة ثقافية"
"current events","ماجريات"
"cut back","قطع التسلسل"
"D","إقحام أحداث مفاجئة لا تتسق مع الحدث الجاري الذي تم سرده، أو العودة إلى أحداث سابقة."
"decision makers","صُنّاع القرار"
"decoding","فك الشفرة"
"dealers magazine","مجلة الموزعين"
"demoralization","تثبيط الروح المعنوية"
"demoralization rumors","شائعات تثبيط المعنويات"
"denial","تكذيب"
"demise","توقف عن الصدور"
"developer","المظهر"
"designer","مصمم (سكرتير تحرير فني)"
"diffusion","نشر - بث"
"digital coverage","تغطية رقمية"
"digital divide","فجوة رقمية"
"diagram film","فيلم بياني"
"direction","إخراج"
"director","مُخرج"
"discourse","خطاب"
"direct cut","قطع مباشر"
"direct lighting","إضاءة مباشرة"
"distribution company","شركة توزيع"
"distribution section","قسم التوزيع"
"display machine","ماكينة العناوين"
"dolly in","تقريب الكاميرا"
"dolly out","تبعيد الكاميرا"
"diversity","تنوع"
"documentary film","فيلم تسجيلي (وثائقي)"
"documentation","توثيق"
"draft","مُسَوَّدة"
"drafting committee","لجنة صياغة"
"dramatist","مُؤَلِّف درامي"
"echo chamber","حُجْرَة الصدى"
"editorial","افتتاحية"
"editorial board","مجلس التحرير"
"dreadful papers","صُحف الإثارة"
"dubbing","دَبْلَجَة"
"E","إعادة تسجيل الكلام بعد ترجمته من لغته الأصلية في حوار في فيلم أو غيره إلى لغة أخرى."
"editorial policy","سياسة التحرير"
"educational television","تليفزيون تعليمي"
"effect","تأثير"
"effective channels of communication","قنوات الاتصال الفعالة"
"emphasis","إبراز ""إبراز صحفي"""
"encaustic ink","حبر مُثَبَّت"
"even page","صفحة زوجية الترقيم"
"exchange essay","مقال معاد نشره"
"errata list","قائمة التصويب"
"esparto pulp","لب الحلفا"
"ethics","أخلاقيات"
"exhibition","مغرض"
"extended colour","لون ممتد"
"exchange of views","تبادل الآراء"
"exclusive","خضرئ"
"exclusive interview","مقابلة حضرية"
"factual","مادة حقيقية"
"extreme opinion","رأي متطرف"
"eyewitness","شاهد عيان"
"F","شخص يكون طرفاً في حدث أو واقعة معينة، أو شاهداً عليها، ويمكن الرجوع إليه لاستيفاء جوانب معينة في التغطية الإعلامية."
"faded color","لون باهت"
"family magazines","مجلات الأسرة"
"feed forward","تغذية متوقعة"
"feedback","تغذية مرتدة"
"fade down","خفض تدريجي"
"fade out","تلاش تدريجي"
"fade to black","خفض الصورة إلى السواد"
"fade up","رفع تدريجي"
"field equipment","معدات إذاعة خارجية"
"figurative language","لغة مجازية"
"female style","أسلوب نِسْوَى"
"fettered media","وسائل الإعلام المُقَيَّدَة"
"field camera","كاميرا خارجية"
"fixing","تثبيت"
"flipping","تغيير"
"financial journalist","صحفي مالي"
"financial page","صفحة مالية"
"financial papers","صحف مالية"
"flood lights","إضاءة غامرة"
"flying camera","كاميرا طائرة"
"forecast","توقع"
"foreign information","إعلام خارجي"
"foreign service","برامج موجهة"
"foreword","تمهيد"
"foundation lighting","إضاءة عامة"
"fourth estate","السلطة الرابعة"
"formal balance","توازن شكلي"
"formal denial","تكذيب رسمي"
"format","القطع"
"full shot","لقطة شاملة"
"frame","إطار (كادر)"
"front lighting","إضاءة أمامية"
"G","نزعة فلسفية تؤكد أهمية استشراف المستقبل والتخطيط له."
"Gallop institute","معهد جالوب"
"good news","أخبار سارة"
"group interview","مقابلة جماعية"
"grammar checkers","مدقق لغوي"
"graphics","فن الجرافيك"
"green room","حُجرة خضراء"
"hard lighting","إضاءة مُركّزة"
"hard news","أخبار جادة"
"high-angle shot","لقطة من أعلى"
"H","كتاب أو مطبوع يحمل معلومات إرشادية أو توجيهية."
"halftone","صورة ظلية"
"high fidelity (hi – fi)","نقاء صوتي"
"historical film","فيلم تاريخي"
"hot line","خط ساخن"
"I","داخل شبكات الحاسب يرتبط بمجموعة أخرى من النصوص من خلال إشارات معينة بداخله يتم تمييزها طباعياً."
"idiat card","لوحة تذكير"
"image processor","معالج الصور"
"immediacy","الفورية"
"imposition","تنسيق (توضيب)"
"information and communication technologies (I.C.T)","تكنولوجيا المعلومات والاتصال"
"in press","تحت الطبع"
"in-depth coverage","تغطية متعمقة"
"informal balance","توازن لا شكلي"
"informatics","المعلوماتية"
"information processing","معالجة معلومات"
"information report","تقرير معلومات"
"information seeking","التماس معلومات"
"information gaps","فجوات المعلومات"
"information manipulation","التلاعب بالمعلومات"
"interactive coverage","تغطية تفاعلية"
"informed sources","مصادر علمية"
"investigative report","تقرير استقصائي"
"interpreted news","خبر مُفسَّر"
"jury","لجنة تحكيم"
"J","ضبط المسافات بين الكلمات وضبط نهايات السطور لتصبح متساوية ومتسقة في الطبع."
"journalist","صحفي"
"key sound","صوت دالّ"
"keyword","كلمة مفتاح"
"lead","مقدمة"
"leadership","قيادة"
"L","الأحداث التي تسبق أو تُبشّر بوقوع تحوّل في ظاهرة أو موقف معين."
"latent image","صورة كامنة"
"latent public opinion","رأي عام كامن"
"latest news","آخر الأنباء"
"lifting immunity","رفع الحصانة"
"light face","بُنْط أبيض"
"light program","برنامج خفيف"
"leading question","سؤال إيجائي"
"live coverage","تغطية حية"
"lighting supervisor","مشرف إضاءة"
"literary magazine","مجلة أدبية"
"live program","برنامج على الهواء"
"local area network (LAN)","شبكة محلية (لان)"
"low comedy","كوميديا مبتذلة"
"low angle shot","نطة من أسفل"
"mail questionnaire","استبانة"
"maintenance","صيانة"
"make-up section","القسم الفني"
"M","مسؤول في صحيفة يتولى عملاً إشرافياً"
"macluhanism","الماكلوهانية"
"magazine format","قالب المجلة"
"magnate","شخصية جاذبة"
"mass behavior","سلوك جماهيري"
"mass control","رقابة جماهيرية"
"mass society","مجتمع جماهيري"
"market research","بحوث السوق"
"media effects","مفعول وسائل الإعلام"
"master shot","لقطة رئيسية"
"media impact","تأثير وسائل الإعلام"
"message","رسالة"
"messenger","مُرسِل"
"misquote","اقتباس خاطئ"
"misreport","تقرير خاطئ"
"mixing","مزج"
"miscast","إساءة اختيار"
"misconception","مفهوم خاطئ"
"muck","قذف"
"motivation","حفز"
"moving shot","لقطة متحركة"
"narrator","الراوي"
"national consciousness","وعي قومي"
"N","وسائل إعلام تغطي مجتمعاً على المستوى القومي. وقد ترتبط في سياستها الإعلامية بالأهداف القومية."
"news coverage","تغطية إخبارية"
"news frameworks","أطر إخبارية"
"nearness","القرب"
"newness","الجدة"
"news values","قيم خبرية"
"O","عوامل تؤهل حدثاً معيناً للنشر بسبب الأهمية أو الشهرة أو الصراع أو ما في الحدث من إثارة أو طرافة."
"news program","برنامج إخباري"
"news report","تقرير خبري"
"news section","قسم الأخبار"
"official information","معلومات رسمية"
"online journalism","صحافة على الخط (أَنْ لَين)"
"objective coverage","تغطية موضوعية"
"off the record","ليس للنشر"
"over issues","المرتجع"
"P","النسخ غير المبيعة من الكتب أو الصحف، وتعاد إلى قسم التوزيع أو الناشر."
"opinion polls","استطلاعات الرأي"
"outdated news","خبر قديم"
"pan left","لقطة استعراضية إلى اليسار"
"pan right","لقطة استعراضية إلى اليمين"
"pan shot","لقطة استعراضية"
"paragrapher","كاتب المقالات القصيرة"
"pay television","التليفزيون المدفوع"
"peak viewing hours","(في التليفزيون)"
"photographer","مُصوَّر (في الصحافة)"
"penetration rate","معدل الانتشار"
"piracy","قرصنة"
"plug","إعلان مجاني"
"point","بُنط (حجم الحرف)"
"pictorial magazine","مجلة مصورة"
"picture book","كتاب مُصوَّر"
"portrait","صورة قلمية"
"prediction","تنبؤ"
"political advertising","إعلان سياسي"
"political street","الشارع السياسي"
"press gallery","شرفة الصحافة"
"press material","مادة صحفية"
"press archive","أرشيف صحفي"
"preview","تنويه (عرض قادم)"
"press secretary","سكرتير صحفي"
"proximity","القرب من الحدث"
"privatization","خصخصة"
"prominent","بارز"
"proof","تجربة طباعية (بروفة)"
"R","كاذبة تمس شخصاً أو هيئة."
"radio network","شبكة إذاعية"
"public opinion","الرأي العام"
"public opinion research","بحوث الرأي العام"
"public service TV","تليفزيون الخدمة العامة"
"reliability","معتمدية"
"reminder letter","رسالة تذكير"
"repetition","تكرار"
"readership","قرائية"
"rewriter","مراجع صياغة"
"rough copy","نسخة مُسَوَّدة (تجريبية)"
"repetition rate","معدل التكرار"
"S","الزمن الذي يستغرقه عرض فيلم أو شريط بالسرعة العادية."
"satellite radio","راديو فضائي (راديو الساتل)"
"scenario","سيناريو (تصور مستقبلي)"
"rumor spreader","مُرَوِّج إشاعة"
"rumour / rumor","إشاعة"
"script supervisor","مشرف النص"
"search engine","محرك البحث"
"screen test","اختبار شاشة"
"script","نص مكتوب (سكريبت)"
"slogan","شعار"
"semantic representation","تمثيل دلالي"
"set speech","خطاب مُعد"
"social norms","معايير اجتماعية"
"social symbol","رمز اجتماعي"
"soft news","أخبار خفيفة"
"spreadsheet software","برنامج جدول إلكتروني"
"stereotype","صور نمطية"
"spell checker","مُدقق إملائي"
"spoken discourse","خطاب منطوق"
"spot news","خبر قصير"
"suggestive message","رسالة إيحائية"
"story","قصة خبرية"
"style book","كتاب التعليمات"
"supreme council for journalism","المجلس الأعلى للصحافة"
"synopsis","خلاصة"
"T","الإعلام، يُعنى بتفكيك النظام إلى مكوناته الرئيسية مع تقييم هذه المكونات وتحليلها ."
"teaching film","فيلم تعليمي"
"technical journal","مجلة علمية"
"text analyzer","برنامج تحليل النصوص"
"trap effect","أثر الشِّرْك"
"technique programs","برامج تقنية"
"trial","تجريب"
"tricking","خداع"
"U","وضع خريطة للبرامج التليفزيونية"
"updated coverage","تغطية محدثة"
"V","معجم مصطلحات الإعلام"
"vertical integration","تكامل رأسي"
"virtual society","مجتمع افتراضي"
"uses and gratifications","الاستخدامات والإشباعات"
"visual aids","مُعينات بصرية"
"wide area network ( WAN )","شبكة متسعة (وإن)"
"word processor","معالج الكلمات"
