"English Term","Arabic Term"
"female affiliation complex","مُرَكَّبُ انْتِمَاءِ الأُنْثَى"
"feminism","الحَرَكَةُ النِّسَائِيَّةُ، الانْتِصَارُ لِلْمَرْأَةِ"
"fetishism","الفِتْشِيَّةُ، التَّعَلُّقُ الشَّاذُّ بِالأَشْيَاءِ"
"figural","مجازي"
"figure","مجاز"
"figure and ground","الشيء والخَلْفِيَّة، الشَّخْص والخَلْفِيَّة"
"filters","المُرَشَّحات، شَرَائِحُ مُلَوَّنَة"
"first person","المُتَحَدِّثُ بِضَمِيرِ المُتَكَلِّم"
"flashback","اسْتِرْجَاع"
"flashforward","اسْتِقْدَام"
"flicker","الوَمْض، التَّوَامُض، المُرَاوَحَة"
"flip-flop","اسْتِبْدَالُ النَّظِيرِ بِالنَّظِيرِ"
"focalization","تَحْدِيدُ البُؤْرَةِ"
"folk","شُعْبِي"
"foregrounding","التَّقْدِيمُ إِلَى صَدْرِ اللُّوْحَةِ، الإِبْرَازُ"
"foreshadowing","اسْتِبَاقُ"
"formulaic literature","أَدَبُ الصِّيغِ الثَّابِتَةِ"
"frame","إطارٌ"
"free direct discourse","الحديث، الكلام المباشر الحر"
"free indirect discourse","الحديث، الكلام غير المباشر الحر"
"frequency","التَّوَاتُرُ، عَدَدُ الْمَرَّاتِ، التَّكْرَارُ"
"function","الوظيفة"
"functions language","وَظَائِفُ اللُّغَةِ"
"gap","فُجْوَة"
"gatekeeping","حِرَاسَةُ البَوَّابَةِ، سُلْطَةُ الرِّقَابَةِ، رِجَالُ الأَمْن"
"gaze","الرُّؤْيَةُ، النَّظَرُ، التَّطَلُّعُ، الإِبْصَارُ، فِعْلُ الإِبْصَار"
"gender","النَّوْع، الجِنْس"
"Geneva School","مَدْرَسَةُ جنيف"
"genotext and phenotext","النَّصُّ الجيني والنَّصُّ الصَّوْتي"
"glissement","التَّحْوِير، المُغَايِرَة، الانفلات"
"gram","الكِتَابَة، الفِكْر"
"grammatology","عِلْمُ الْكِتَابَةِ"
"grand narratives and little narratives","الرِّوَايَاتُ الْكَبِيرَةُ وَالرِّوَايَاتُ الصَّغِيرَةُ"
"ground","الْخَلْفِيَّةُ، الْمَهَادُّ، الْأَرْضُ"
"gyandry","أَنْثَوِي ذَكَرِي (مَعَا)"
"gynocentric","التَّرْكِيزُ عَلَى الْمَرْأَةِ، يُرَكِّزُ عَلَى الْمَرْأَةِ"
"hegemony","الهَيْمَنَة"
"helper","المُسَاعِد"
"hermeneutic code","الشَّفْرَة التَّفْسِيرِيَّة"
"hermeneutics","التَّفْسِيرِيَّة، المَذْهَب التَّفْسِيرِي، الهَرْمَانِيوطِيقَا"
"heterodiegesis","خَارِج القِصَّة"
"heteroglossia","تَعَدُّد الأصْوَات الاجْتِمَاعِيَّة"
"heteronomous objects","تَعَدُّدُ الزَّوَايَا، تَعَدُّدُ الْأَضْلَاع، الْأَشْيَاءُ الْمُتَعَدِّدَةُ الْأَضْلَاع"
"heterosexism","كَرَاهِيَةُ الشُّذُوذِ الْجِنْسِي"
"heuristic reading","الْقِرَاءَةُ الِاسْتِكْشَافِيَّة"
"hinge","الْمَحْوَر، الْمَدَار"
"historicism","التَّارِيخِيَّة، الْمَذْهَبُ التَّارِيخِي"
"hommelette","الرَّجُلُ الصَّغِيرُ"
"homodiegetic","اسْتِرْجَاعُ مَاضِي مَنْ نَعْرِفُهُ"
"homology","التَّمَاثُلُ، التَّجَانُسُ"
"homonymy","تَكْرَارُ الاسْمِ وَتَغْيِيرُ المعنى، التَّكْرَارُ مع التَّغْيِيرِ"
"homophobia","الخَوْفُ مِنَ الشُّذُوذِ الْجِنْسِيِّ، كَرَاهِيَةُ الشُّذُوذِ الْجِنْسِيِّ"
"homosocial","مُرْتَبِطُ اجْتِمَاعيًّا بِفَرْدٍ مِنْ جِنْسِهِ"
"horizon","أُفُقُ الِاحْتِمَالَاتِ، نِطَاقُ الِاحْتِمَالَاتِ"
"hot and cold media","أَجْهِزَةٌ أَوْ وَسَائِلُ الْإِعْلَامِ السَّاخِنَةِ وَالْبَارِدَة"
"humanism","المذهب الإنساني، الهومانيزم"
"hybrid","الهجين، المهجن"
"hypodiegetic","القصة داخل القصة"
"hypostatization","التخميد، التشكين"
"hypothesis driven","الحلُّ المَبْنِيُّ على افتراض"
"ideological state apparatuses","الأجهزة الأيديولوجية للدولة"
"ideology","الأيديولوجيا، العقائدية"
"idiolect","التَّفَرُّدُ اللُّغَوِيُّ"
"illocutionary act","الفِعْلُ الإِنْشَائِيُّ"
"imaginary, symbolic, real","الخَيَالِيُّ والرُّمُزِيُّ والحَقِيقِيُّ"
"immasculation","إِضْفَاءُ الذُّكُورَةِ"
"implicature (conventional)","الإِضْمَارُ العُرْفِيُّ"
"implicature (conversational)","الإِضْمَارُ (في المُحَادَثَةِ)"
"implied author","المُؤَلِّفُ المُوحَى بِهِ، المُؤَلِّفُ المُفْتَرَضُ، المُؤَلِّفُ المُضْمَرُ"
"implied reader","القَارِئُ المُوحَى بِهِ، القَارِئُ المُفْتَرَضُ، القَارِئُ المُضْمَرُ"
"incorporation","الإِدْمَاجُ، الإِشْرَاكُ"
"indeterminacy","عَدَمُ التَّحْدِيدِ"
"influence","التَّأْثِيرِ"
"inscribed reader","القَارِئُ المُضْمَرُ (المُنْقُوشُ أو المُنْحُوتُ في النَّصِّ)"
"instance","الحالة، القُوَّةِ"
"intellectuals","المُتَقَفُّون، المُفَكِّرُونَ، المُتَعَلِّمُونَ"
"intended reader","القارئُ المُقَصُّود"
"intercalated dialogue","الحِوَارُ داخلَ الرِّواية، حِوَارٌ يَتَخَلَّلُ الأحداث"
"interior dialogue","الحِوَارُ الدَّاخِلِيُّ"
"internal dialogue","الحِوَارُ الدَّاخِلِيُّ"
"Internally persuasive discourse","خِطَابُ الإِقْنَاعِ الدَّاخِلِيُّ"
"interpellation","الاستِفْشَار، الاستِفْشَاح طَلَبُ الإحَاطَة، المُسَاءَلَة، الاستِذْعَاء"
"interpolation","الإدراج، الإقحام، الدَّس، الإدخال"
"interpretative communities","مَجَامِعُ أو قَوَاعِدُ التَّغْيِيرِ المُشْتَرَكَة"
"intersubjectivity","الذَّاتِيَّةُ الجَمَاعِيَّةُ، رَوَابِطُ الذَّوَاتِ"
"intertextuality","التَّنَاصُّ"
"jouissance","النُّشْوَةُ، اللُّذَّةُ، الفُرْجَةُ، المُتْعَةُ"
"Legitimization","إضفاء الشرعية"
"Leitmotif","مَوْضُوعُ رَئِيسِيٍّ (مُجَسَّد)"
"linguistic paradigm","نَمُودُجُ تَصْرِيفِ الكَلِمَةِ، النَّمُودُجُ اللُّغَوِيُّ"
"lisible","نَصُّ القِرَاءَةِ (السَّلْبِيَّة)"
"literariness","الأَدَبِيَّة، الطَّابِعُ الأَدَبِي، أَدَبِيَّةُ الأَدَبِ"
"locutionary act","الفِعْلُ الكَلَامِي"
"logic of the same","مَنْطِقُ التَّطَابُقِ، مَنْطِقُ التَّمَاثُلِ"
"logocentrism","الإحالة إلى معنى خارج النص"
"logos","المَنْطِقُ، العَقْلُ، الحِكْمَةُ، الكَلِمَةُ (كَلِمَةُ الله)"
"ludism","مَذْهَبُ اللَّعِبِ أَوِ التَّمْثِيلِ أَوِ الْحَرَكَةِ"
"meconnaissance","سُوءُ الفَهْم، سُوءُ التَّقْدِير، الجَهْلُ"
"mediation","التَّوَسُّط، الوَسَاطَةُ بِالتَّحْوِيل"
"mémoire involontaire","الذَّاكِرَةُ غَيْرُ الطَّوْعِيَّة، الذَّاكِرَةُ دُونَ إِرَادَةِ"
"message","رِسَالَةُ"
"metacriticism","نَقْدُ النَّقْدِ، مِيَتَانَقْدِ"
"metafiction","قِصَّةٌ عَنِ الْقِصَّةِ، مِيَتَاقِصَّةِ"
"metalanguage","لُغَةٌ تَصِفُ اللُّغَةَ، لُغَةٌ وَرَاءَ اللُّغَةِ، مِيَتَالُغَةُ"
"metalepsis","تَجَاوُزُ حُدُودِ الْقِصَّةِ"
"metalingual","اللُّغَةُ دَاخِلَ اللُّغَةِ، مِيَتَالُغَوِي"
"metanarrative","الرِّوَايَةُ دَاخِلَ الرِّوَايَةِ"
"metaphor","الاسْتِعَارَةُ"
"misprision, misreading","سُوءُ الفَهْم، القِرَاءَةُ الخَاطِئَة"
"mode","طَرِيقَة، نَوْع، وَسِيط، قَنَاةُ تَوْصِيل"
"modernism and postmodernism","الحَدَاثَةُ وَمَا بَعْدَ الحَدَاثَة"
"moment","لَحْظَةُ التَّجَلِّي، لَحْظَةُ الإِشْرَاق، اللَّحْظَةُ النُّورَانِيَّة"
"monoglossia","وَحْدَةُ اللُّغَةِ القَوْمِيَّة، خَاصٌّ بِالحَدِيثِ المُنْفَرِد"
"monovalent discourse","الخِطَابُ الأحادي"
"montage","المونتاج، المونتاج السينمائي"
"motif","الموضوع (المادي)"
"motivated","توافر الدوافع، ما له دافع، ما يستند إلى دافع"
"muted; muting","مكتوم الصوت؛ كتم الصوت"
"myth","الأُسْطُورَة"
"nachträglichkeit","تأخُّرُ ظُهُورِ التَّأْثِيرِ، تأخِيرُ التَّأْثِيرِ، التَّأْثِيرُ المتأخِّرُ"
"name-of-the-father","اسْمُ الأب"
"narrated monologue","المُوثُولُوجُ السَّرْدِي"
"narratee","المَحْكِي لَهُ، المَقْصُوصُ عَلَيْهِ"
"naturalization","إضفاءُ الصُّفَّةِ الطَّبِيعِيَّةِ"
"negotiation","التَّفَاوُضُ، الْمُسَاوَمَةُ، التَّبَادُلُ"
"negritude","الْحَرَكَةُ الزَّنْجِيَّةُ، الْهُوِيَّةُ الزَّنْجِيَّةُ"
"new historicism and cultural materialism","التَّارِيخِيَّةُ الْجَدِيدَةُ وَالْمَادِّيَّةُ الثَّقَافِيَّةُ"
"norm","المعيار"
"nouvelle critique","النَّقْدُ الْفَرَنْسِيُّ الْجَدِيدُ"
"nucleus","النَّوَاةُ"
"object-relations theory/criticism","نَظَرِيَّةُ العَلَاقَاتِ مَعَ الأَشْيَاءِ، النَّقْدُ القَائِمُ عَلَيْهَا"
"object a, object A","الآخَرُ الصَّغِيرُ، الآخَرُ الكَبِيرُ"
"obstination","العِنَادُ، المُقَاوَمَةُ"
"opalescence","تَدَاخُلُ أَوْ تَوَامُضُ الْأَلْوَانِ"
"opaque and transparent criticism","النَّقْدُ الْمُصْمَتُ وَالنَّقْدُ الشَّفَّافُ"
"open and closed texts","النَّصُّ الْمُفْتَوَحُ وَالنَّصُّ الْمُغْلَقُ"
"opponent","خصم"
"oppositional reading","القراءةُ المُعَارِضَةُ"
"optimal reader","القارئُ الأُمثَلُ، القارئُ الأَفْضَلُ"
"orality","الأدبُ الشفاهي، الشفاهية، الشفوية، الشفهيَّةُ الأدبيَّةُ"
"orchestration","توزيع الأصوات (الثقافية في الرواية)"
"order","الترتيب"
"organic intellectuals","المُتَّقِفون المُتَّمون"
"organicism","التَّكاملُ الحَيوي، العُضوية، الانْتِمامُ الحَيوي، الاكْتِمالُ الحَيوي"
"orientalism","الاستشراق، الاستشراقية"
"other","الآخر، الغير"
"overcoding","توصيل التوصيل"
"overdetermination","تعدد عوامل التحكم"
"paradigm shift","التحوُّل المعرفي، التحوُّل في النماذج المعرفية"
"paradigmatic","إحلالي، خاصٌّ بالنموذج اللغوي أو المعرفي"
"paralanguage","شبه اللغة، العناصر غير اللفظية للنص"
"paralepsis","الإسراف في الوصف"
"paralipsis","الحَذْفُ الزَّمَنِيّ"
"paratext","أَهْدَابُ النَّصِّ (مُقَدِّمَاتُهُ وَحَوَاشِيهِ وَهَوَامِشُهُ وَذُيُولُهُ)"
"parergon","الإِطَارُ"
"partial synonymy","التَّرَادُفُ الجُزْئِيّ"
"patriarchy","الأَبَوِيَّةُ، الأَبَوِي، حُكْمُ الرَّجُلِ، سَيْطَرَةُ الرَّجُلِ"
"pause","وَقْفَةٌ، سَكْتَةٌ"
"performatives","الأَقْوَالُ الأَدَائِيَّةُ"
"perlocutionary act","الفِعْلُ الغَائِي"
"personal","شَخْصِي، مِنْ جَانِبِ المُتَحَدِّث"
"perspective and voice","المَنْظُورُ والصَّوْتُ"
"petit récit","القُصُّ الصَّغِير، القُصَّة الصَّغِيرَة"
"phallic criticism","النَّقْد (النَّابِع من) سَيْطَرَة الذَّكَر"
"phallocentrism","سَيْطَرَة الذَّكَر"
"phallocratic","حُكْم الذَّكَر"
"phallogocentrism","اسْتِقْلَال (مَفْهُوم) سَيْطَرَة الذَّكَر"
"phatic","الصِّلَة الكَلَامِيَة"
"phenomenology","الظَّاهِرَاتِيَّةُ"
"Phenotext","النَّصُّ الصَّوْتِي"
"phonocentrism","الإحالة إلى معنى خارج النص"
"play","يَلْعَبُ، يَفْعَلُ، يُؤَثِّرُ"
"pleasure","اللُّذَّة"
"poetic","شِعْرِي"
"point of view","وجهة نظر"
"Politeness","التأدب"
"polyglossia","تعدد اللغات (داخل ثقافة قومية)"
"Polyphonic","تعدد الأصوات"
"polyvalent discourse","الخطاب التعددي، المتعدد التكافؤ"
"polyvocality","التَّعَدُّدِيَّةُ الصُّوْتِيَّةُ، التَّعَدُّدِيَّةُ اللُّغَوِيَّةُ"
"popular","شُعْبِي، مَحْبُوب، الشُّعْبِي"
"popular culture","الثَّقَافَةُ الشُّعْبِيَّةُ، الثَّقَافَةُ الجَمَاهِيرِيَّةُ"
"pornoglossia","التَّصْوِيرُ الجِنْسِيُّ لِلْمَرْأَةِ"
"power","القُوَّة، السُّلْطَة"
"pragmatics","التَّداولِيَّة، السِّيَاقِيَّة، المُوَاقِفِيَّة"
"Prague School","مُدَرَّسة براغ"
"prefiguring","الاستباق"
"prepublication, postpublication reading","القراءة قبل النثر، بعد النثر"
"presence","حضور، الحضور، الوجود"
"presentism","الحاضرة، الحالية، الراهنية"
"primal scene","المشهد الأولي، أول مشهد، رؤية الطفل مضاجعة والديه"
"primary process","العَمَلِيَّةُ الأَوَّلِيَّةُ"
"privilege","يُمَيِّزُ، يُحَابِي، مَزِيَّة، انحياز"
"proairectic code","شَفْرَةُ بِنَاءِ الحَبْكَةِ"
"problematic","إشكالية"
"Projection","الإسقاط"
"projection characters","الشخصيات المسقطة، شخصيات الإسقاط"
"prolepsis","الاستباق، الاستقدام، التنبؤ"
"prospection","التنبؤ، الاستطلاع، التطلع"
"psycho-narration","السرد النفسي"
"punctual anachrony","الانحراف الزمني العابر"
"punctuation","وضع علامات الوقف، تقسيم العبارات، تقطيع، ترقين"
"radical alterity","الغَيْرِيَّة الجَذْرِيَّة"
"radical feminism","الحركة النِّسَائِيَّة الجذريَّة"
"radicle","الحُزْمَة الجذريَّة"
"reach","المَدَى"
"readerly and writerly texts","نُصُوص القِرَاءَةِ (السَّلْبِيَّة) ونُصُوص (المُشَارَكَة في) الكِتَابَة"
"reader-response criticism","النُّقْدُ الْقَائِمُ عَلَى اسْتِجَابَةِ الْقَارِئِ"
"readers and reading","القُرَّاءُ وَالْقِرَاءَةُ"
"real","حقيقي"
"realism","الواقعية"
"recall","الاستدعاء"
"receiver","المستقبل، المتلقّي"
"reception theory","نظرية الاستقبال، نظرية التلقّي"
"reconstructivism","إعادة تشكيل الأدب الرسمي"
"recuperation","الاستعادة"
"reductionism","الاختزالية، المسخ، التشويه"
"redundancy","الفائض، الحشو"
"reference and referent","الإحالة والمُحال إليه"
"referential","إحالي، إحالية"
"referential code","الشفرة الإحالية، شفرة إحالة"
"reflector (character)","العاكس، «الشخصية» العاكسة"
"refraction","الانكسار، الانحراف"
"register","نطاق الأعراف، نطاق الخيارات العرفية، النوع"
"reification","التشييء، التشيؤ"
"relation (maxim of)","مَبْدَأُ العَلَاقَةِ"
"relationism","مَذْهَبُ العَلَاقَاتِ"
"relativism","النُّسْبِيَّةُ"
"repertoire","مَجْمُوعَةُ الْأَدْوَارِ، الْعُدَّةُ الثَّقَافِيَّةُ"
"repetition","التكرار، الإعادة"
"representatives","«العبارات» التمثيلية"
"represented speech and thought","تَمَثِيلُ الْكَلَامِ وَالْفِكْرِ"
"repression","الكَبْتُ"
"resonance","رَجْعُ الصَّدَى"
"retroactive reading","القِرَاءَةُ الْمُسْتَرْجَعَةُ، القِرَاءَةُ بِأَثَرِ رَجْعِي"
"retrospection; retroversion","الِاسْتِرْجَاعُ، الِاسْتِحْضَارُ مِنَ الْمَاضِي، التَّذَكُّرُ"
"revisionary ratios","نِسْبُ التَّنْقِيحِ، مُعَدِّلَاتُ التَّنْقِيحِ"
"revisionism","التَّنْقِيحِيَّةُ، التَّحْرِيفِيَّةُ، الْمُرَاجِعِيَّةُ"
"revisionist history","التاريخ التَّنْقِيحِي"
"rhizome","الجُذْمُور، السَّاقُ الجُذْرِي"
"Russian formalism","الشَّكْلِيَّة الرُّوسِيَّة"
"scriptible","نَصُّ الكِتَابَةِ"
"secondary process","العَمَلِيَّةُ الثَّانَوِيَّةُ"
"segmentation","التَّقْطِيعُ"
"self","الذَّاتُ"
"self-consuming artifact","عَمَلُ فَنِّي يَسْتَهْلِكُ نَفْسَهُ"
"semantic axis","المحور الدلالي"
"semantic position","الموقف الدلالي، الوضع الدلالي"
"sememe","الوحدة الدلالية الأساسية، الوحدة الدلالية الصغرى"
"semic code","شفرة الشخصيات"
"semiology or semiotics","علم العلامات، السيميولوجيا، السيميوطيقا"
"sender","المُرسل"
"sense and reference","المعنى والإحالة"
"s'entendre parler","الإرسال والاستقبال معاً، المُرسل المستقبل"
"sequence","التتابع"
"sexism","الانحياز الجنسي (للرجل)"
"shadow dialogue","حِوَارُ الظَّلِّ"
"Shannon & Weaver Model of Communication","نموذج شاتون وويفر للاتصال"
"shifter","عامل التحويل، المحوّل"
"short circuit","الماس الكهربائي، دائرة قصر"
"sign","العلامة"
"Sinn und Bedeutung","المغنّى والإحالة"
"site","موقع، مكان"
"sjuzet","الحَبْكَةُ"
"skaz","أُسْلُوب السَّرْد الذي يُحَاكِي السَّرْد الشَّفَاهِي"
"slant","الانحراف"
"slippage","التَّحْوِيرُ، الْمُغَايِرَةُ، الانْفِلَاتُ"
