"English Term","Arabic Term","Arabic Definition"
"Adaptation","التكيف","وهو مصطلح معناه السياسي قدرة المؤسسات السياسية علي مواجهة الت غييرات المختلفة داخليا ً أو خارجيا ً. التلمود / أنظر التوراة"
"Adaptation","التوافق","هي عملية تعبئة الموارد وتحديد فرص الأدوار أمام الأفراد والجماعات داخل النظام."
"Adverse Criticism","نقد مضاد","وهو النقد الذي تتعرض له بعض مؤسسات النظام السياسي من قبل المعارضة أو المؤسسات الإعلامية المستقلة أو تقوم به بعض المؤسسات السياسية ضد المعارضين، ولا يسمح بالنقد المضاد ذي الصبغة العامة في أغلب ال دول النامية."
"Advertotials","المقالات الإعلانية","أنظر: الإعلانات المعلوماتية الإعلانات المعلوماتية Informercials والمقالات الإعلانية فن صحفي يعتمد على الترويج من غير إعلان مباشر بل إعلان مستتر في شكل مقال، وأحيانا يسمى موضوع تسجيلي"
"Africaners","أفريكانرز / الأفريكانز","هم سكان جن وب أفريقيا المنحدرون من أصل هولندي، عددهم حوالي ٦٠ % من السكان البيض في جنوب أفريقيا، كانوا يعرفون باسم البوير."
"Africanization","الأفرقة","هي سياسة أفريقية أعلنت عقب اس تقلال معظم الدول الأفريقية عام ١٩٦٣ م، أي أفرقة المشروعات الأجنبية في أفريق يا وجعلها ملكية عامة من أجل إنجاح الاشتراكية الأفريقية، ومعناها أيضا تولي الأفريقيين كل شئونهم السياسية والاقتصادية دون الاستعانة بالأجانب والاعتماد على رأس المال الأفريقي والخبرات والسواعد الأفريقية في التنمية."
"Afro-Americcains","أمريكيين الأفارقة","وهم الأفارقة السود الذين هاجروا للولايات المتحدة في القرون الماضية أو كا نوا عبيدا ً هناك، وهم أكبر عددا في السجون الأمريكية ولم يأخذوا حقوقهم إلا بعد الحرب العالمية الثانية، ويعيش واحدا ً من بين كل ثلاثة من هؤلاء في مستوى أقل من خط الفقر، والباقين في مستوى الفقر، ويعيشون في حواري وأزقة منعزلة نسبيا ً."
"Aggression","العدوان","العدوان مصطلح يطلق على الحرب العسكرية أو الهجوم المسلح على دولة من الدول، وذلك عندما يأتي من الخارج بقصد الاحتلال أو التدخل في الشئون الداخلية أو الاستيلاء على الثروات الاقتصادية في الدولة المعتدى عليها أو الهيمنة عليها، فهو يتم باستخدام القوة المسلحة من جانب طرف دولي ضد دولة."
"Aid","مساعدة","يعني بها تقديم المعاونة الاقتصادية أو الاجتماعية أو السياسية للأخذ بيد الجماعة للخروج من أزمتها أو كارثة حلت بها أو مشكلة عويصة واجهتها، وتتعدد اليوم أنواع المساعدات، فقد تكون من دولة غنية أو من هي ئة دولية أو من تجمع دولي أو مجموعة دول."
"Alienation","الاغتراب","وهو مصطلح يشير إلى مشاعر العزلة والغربة وانعدام القوة بين الأفراد مما تظهر آثاره في السلوك الانتخابي والصراعات في المجتمعات المحلية والح ركات المتطرفة والعنف والثورات والحركات الاجتماعية) أي عدم وجود أي ارتباط (."
"All Union Communist League Of Youth","رابطة الاتحاد العام للشباب الشيوعي) الكمسمول","وهو تنظيم سياسي سوفيتي، وأحد المنظمات الملحقة بالحزب الشيوعي السوفيتي، ويلقن من خلاله الفتيان والشباب فوق سن الرابعة عشر المبادئ الماركسية اللينينية وأن يكون العضو على دراية بمختلف النواحي السياسية."
"All-Union","وزارات اتحادية","وهي الوزارات السوفيتية التي كانت تختص بالصناعات الثقيلة وتتسم إدارتها بالمركزية وتوضع مباشرة تحت يد وزير الاتحاد السوفيتي، وهناك الوزارات الاتحادية الجمهورية Union-Republican وهي وزارات سوفيتية تختص بالصناعات الخفيفة والمسائل الاجتماعية والمسائل السياسية والشئون الداخلية وأمن الدولة والعدل والقوات المسلحة، وواجب الوزير في هذه الوزارات أن يبقى على اتصال بالوزير المقابل في كل جمهورية اتحادية.."
"Allah Party","حزب االله","تأسس حزب االله في لبنان عام ١٩٨٢ م من عدة طوائف شيعية أصولية، بعد أن بدأ كمجموعة من محموعات المقاومة التي اندمجت في شكل حركة سياسية وعسكرية هدفها محاربة إسرائيل في جنوب لبنان واستنزاف قواها، ونجح الحزب في إجلاء إسرائيل عن أراضي الجنوب اللبناني وما زال يعمل من أجل تحرير مزارع شبعا اللبنانية، وله دور اجتماعي بارز في تنمية جنوب لبنان وله نواب في مجلس النواب اللبناني وله نشاط سياسي بارز على الساحة اللبنانية، ويتعرض الحزب لهجمة قوية مضادة بزعم دعمه للإرهاب."
"Allezla Filles","هلموا وتقدمن يافتيات","وهو شعار يسود العالم من خلال سياسة العولمة لإلغاء التفاوت بين الأجناس والدعوة لتحسين أوضاع النساء وتحسين فرصهن في التعليم والعمل والأجور وقيادة البلاد والشعوب أيضا ً، دون النظر لقدراتهن على هذه المساواة."
"Alliance Israelite Universelle","الاتحاد اليهودي العالمي","أنظر: جمعية يانس العالمية"
"Alliance Israelite Universelle","جمعية يانس العالمية","وهي تأسست عام ١٨٦٠ في فرنسا ضمن هوجة إنشاء جمعيات يهودية لتشجيع الاستيطان في فلسطين، وكان هد فها هو تقديم المساعدات لليهود في كل مكان والدفاع عن الحريات المدنية والدينية لليهود وإغاثة اليهود زمن الأزمات ومساعدة اليهود في قلسطين على بناء المستوطنات، وأسسها أدولف كريمييه النائب اليهودي في البرلمان الفرنسي، وتحولت الجمعية لتصبح باسم: الاتحاد اليهودي العالمي."
"Amercan System","النظام الأمريكي","وهو النظام السياسي الأمريكي، وهو نظام رئاسي يرأسه الرئيس President وبه مجلسين النواب والشيوخ، ونظم مختلفة داخل ال ولايات، ويصف الكثيرون النظام الأمريكي بأنه نظام ذو مؤسسات منفصلة تشارك في السلطة Separated Institutions Sharing Powers."
"America","أمريكا","أنظر: الولايات المتحدة الأمريكية U. S. A"
"American Vista","موسوعة الأفق الأمريكية","هي موسوعة إليكترونية شاملة صادرة عن وسائل الإعلام البصرية التطبيقية، والتي تتيح للباحثين تصفح قواعد بيانات الوسائط المتعددة والبحث عن معلومات وافية في التاريخ والعلوم والتكنولوجيا والحياة السياسية والاجتماعية والاقتصادية والبرية أيضا ً والموضوعات المتنوعة التي تجذب انتباه الجميع ويحت اجها كافة الأفراد."
"Americanizm","الأمريكانية","وهي تعبر عما حدث مع المهاجرين للولايات المتحدة الأمريكية في الهجرات الكثيفة في أواخر القرن ١٩ وأوائل القرن ال، ٢٠ وهي عملية تعني بث المفاهيم الأمريكية في ثل نفوس القادمين الجدد من قيم وعادات وتقاليد وم وأساطير، عن طريق المدارس ومواقع العمل وبث الأيدلوجية الأمريكانية فيهم، بغرض إدماجهم في المجتمع الأمريكي، وتحاول الولايات المتحدة من خلال هيمنتها على العالم في عصر العولمة أمركة العالم كله."
"Amnesty International","منظمة العفو الدولية","وهي منظمة دولية تعنى بحقوق الإنسان وتصدر تقارير سنوية عن وضع حقوق الإنسان في مختلف بلدان العالم خلال عام."
"Anarchism","أنارشية)) سياسيا ً (","أنظر: الفوضوية وهي سعي أصحاب هذه الفكرة إلى نشر الفوضى وعدم الاعتراف بالقوانين والنظم القائمة والعمل على هدم الدولة للاستيلاء على الحكم والقضاء على الرأسمالية وإقامة نظام) وهو ليس بنظام (يتحرر فيه الإنسان من سلطة الدولة ووصايتها ولا تكون هناك حكومة مسيطرة فعليا ً على الأمور في البلاد، وهو لفظ الفوضى"
"Anglican","إنجليكاني","من أتباع الكنيسة الانجليزية، ومن المعروف أن الكنيسة الإنجليزية تترأس الإنجليكانية في العالم وتسمى Anglican Church."
"Anglo-Sazon","أنجلو سكسونية","هي تقاليد متوارثة عن أصول Extraction إنجليزية عتيقة تميزت بها الشعوب في الجزر البريطانية، وخاصة التقاليد السياسية، ومنها التقاليد الديمقراطية الليبرالية."
"Anthropology","الأنثروبولوجي","هو علم الإنسان أو علم الأجناس، الذي يختص ويبحث في كل شيء عن الإنسان من خلال الموميات والعظام القديمة وآثار الحضارات العظمى حتى وضع الإنسان في ي ومنا هذا، وله فروع متعددة مستمدة من خصائص الإنسان الثقافية."
"Anti-Semitism","العداء للسامية","أنظر: السامية Semitism وهو اتهام يهودي للغرب أولا ً ثم للعرب أخيرا ً من أجل ابتزازهم وفي نفس الوقت اسبا غ الشرعية على فكرهم ووجودهم، والمصطلح يعني أنهم يعاملون معاملة سيئة في الأقطار التي يقيمون فيها بسبب التفريق بينهم وبين غيرهم من الأجناس الأخرى، كما يعتبروا أي ناقد لآرائهم أو تاريخهم بأنه معادٍ للسامية بقصد إرهاب العالم كله ومنعه من نقدهم وتحليل شحصياتهم وتفنيد آرائهم ومعتقداتهم"
"Antractica","أنتاركتيكا","هي القارة الجنوبية القطبية، وتقع في أقصى جنوب العالم، وتتميز بأنها القارة البكر التي لم تستنزف ثرواتها المعدنية،بعد وتبلغ مساحة القارة ١٣١١٢٣٢٠ ٢كم وهي بذلك أكبر من قارة أوربا وقارة أستراليا، كما يبلغ امتدادها من الشمال إلى الجنوب ٥٥٦٠ كيلومتر."
"Anzus","الأنزوس","هو حلف المحيط الهادي الذي أقيم عام ١٩٥١ م بعد نجاح الثورة الشيوعية في الصين عام ١٩٤٩ م، وكان إثبات رسمي للعلاقات المتميزة بين الولايات المتحدة واستراليا ونيوزيلندا."
"Apartheid","الأبارتهيد","أنظر: التفرقة العنصرية / العنصرية هي نظام العزل العنصري بين البشر في منطقة ما،و يحمل الفرقة والتقسيم الساذج حيث لا يوجد بشر وإنما هناك سود وبيض وملونون"
"Apathy","اللامبالاة","وهي حالة من حالات الدور السياسي الذي ينعدم خلاله اهتمام الفرد بالأمور السياسية وبالتالي لا يستخدم حقه في المشاركة عبر التصويت، ويكون الفرد حينذاك أقل قليلا ً من النشاط Activism ، ولكن لايصل لمستوى الاحتجاج فيكون الفرد حينذاك، من وجهة نظر السلطات الحاكمة، في مستوى يمكن السيطرة عليه وإخضاعه Manageable Level."
"Arab Solidarity","التضامن العربي","التضامن العربي مصطلح ظهر مع نشأة جامعة الدول العربية وما زال مستمرا ً حتى الآن، ويعني التعاون والتآزر، ويقضي بضرورة التساند والتنسيق والتعاون العربي فيما بين الدول والأقاليم والشعوب، داخليا ً وخارجيا، من أجل التمهيد لل وحدة العربية، ومن أجل الظهور بمظهر القوة العربية الواحدة للدول العربية المتميزة عما سواها في اللغة الواحدة والدين الواحد والجنس والامتداد الجغرافي المت وا صل وذات التاريخ المشترك والتقاليد والعادات والقيم المتقاربة وغير المتنافرة، ويتطلب عصر العولمة المزيد من التضامن العربي للوقوف ضد الغزو الفكري والتحديات السياسية والاقتصادية والعسكرية التي تواجهها الأمة العربية في هذا العصر."
"Arabe States League (League Of Arab Ststes )","جامعة الدول العربية","جامعة الدول العربي هي منظمة دولية إقليمية عربية واتحاد إقليمي سياسي دولي يجمع بين جميع الدول العربية، ولقد أنشئت الج امعة بمقتضى البروتوكول الموقع عام ١٩٤٤ م ووقعت الدول على ميثاق الجامعة في ٢٢ مارس ١٩٤٥ م، وتضم اليوم ٢١ دولة ناطقة بالعربية، وتعمل على التعاون بين الأعضاء في المجالات السياسية والاقتصادية والثقافية والعسكرية، ومن أهم أجهزتها: الأمانة العامة للجامعة ومقرها ال رئيسي بالقاهرة) وإن نقلت لبعض الوقت في تونس أثناء المقاطعة العربية لمصر عقب توقيعها اتفاقيات كامب ديفيد (ومجلس الجامعة والقمة العربية، وهناك اجتماعات متخصصة في كل المجالات، وهناك أجهزة متخصصة مثل اليونسكو العربية ومجالس وزراء الإعلام والشباب والبيئة والصحة وغيرها من المجالس والمنظمات والاجتماعات العربية، وتجري حاليا ً جهود ضخمة لتعديل ميثاق الجامعة لزيادة فعاليتها السياسية والاقتصادية والاجتماعية والعسكرية ولتتناسب متطلبات العصر."
"Arabite","العروبة","العروبة مصطلح يطلق على القومية العربية أو على الرابطة التي تجمع بين الدول والشعوب العربية، وهي المصدر المشع للف ضائل والتقاليد والقيم العربية الأصيلة، والتي تجمعها اللغة العربية والإسلام والأصل الواحد والتاريخ المشترك والامتداد الجغرافي والمصير المشترك، وقد يعبر الأجانب عنها بمصطلح النزعة العربية Arabisme وهو مصطلح غير دقيق يدل على عدم تغلغل العروبة في دم الشعوب الناطقة بالعربية."
"Arbiteration","التحكيم","التحكيم هو طريقة لتسوية المنازعات الناشئة بين الدول بواسطة شخصية عالمية لها وزنها ومقبولة من الطرفين أو بواسطة شخصيات محايدة رسمية أو دبلوماسية أو قضائية، أو بواسطة لجنة مختلطة تبحث في الحق والعدل واحترامهما، رفي وهناك التحكيم القضائي الملزم والتحكيم الع والتحكيم الدولي، ويقتضي التحكيم الدولى اتفاق الطرفين المتنازعين عليه، وهناك تحكيم تجاري في ال منازعات التجارية وتحكيم إداري وأنواع أخرى من التحكيم كالتحكيم العرفي للبدو والقبائل وغير ذلك."
"Archipelagos","أرخبيل","أرخبيل لفظ يطلق على مجموعة الجزر المتقاربة والتي تزيد عن عشرة جزر، وتكثر مجموعات الجزر هذه في المحيط الهندي."
"Arena Of Politics","حلبة السياسة","هي إطار القوا عد العامة للعمل السياسي والاجتماعي والاقتصادي داخل الدولة والتي حددتها السلطة العامة، ومن يعمل خارجها من المؤسسات والأفراد يكون قد تجاوز الحدود ويعمل خارج هذا الإطار ويستحق توقيع الجزاء عليه."
"Aristocratic","أرستقراطية","وهي الطبقة الحاكمة في النظم الديمقراطية والنظم الشمولية أيضا ً، ويعني بعا جماعة وحكومة الأفضل والأصلح، ورجال هذه الفئة يعتبرون الخلاصة والقادة، وقد يكونون رجال دين أو حرب أوسيف أو عقل أو حكمة أو مال أو ثراء أو بلاط أو إقطاع، وهم يتسلطون على البلاد بحكم قبضتهم على زمام الأمور بوسيلة أو بأخرى."
"Armed Attack","هجوم مسلح","وهو أي عمل حربي قامت به قوة مسلحة تابعة لدولة أخري ضد دولة من الدول، ويتيح أي هجوم مسلح حق الدفاع الشرعي للدولة المعتد ى عليها لصد العدوان."
"Article","مقال","وهو أحد أشكال التعبير اللفظي التي يستع ملها الإنسان، ويقوم على الموضوعية والحقائق والإلمام بالموضوع، في إطار منهجي مبسط."
"Artificial Creations","تكوينات مصطنعة","وهي المنظمات والهيئات المصطنعة والتي تسعى إليها الحكومات لكي توفر لها هيئة تمثيلية يمكن التفاوض والتفاهم معها."
"Ascription","العزو","وهو أحد معايير الاختيار النسبية في كل المجتمعات ويعني أن المجتمع يفاضل بين الأشخاص على أساس بعض الخصائص التحكمية مثل الأصل العرقي أو اللون أو الدين أو الثروة وليس على أساس قدراتهم، وهي عكس الإنجاز Achievement الذي يعبر عن مكانة منسوبة للفرد في المجتمع عل ى أساس أدائه لوظائفه."
"ASEAN","آسيان","أنظر: مجموعة دول جنوب شرقي آسيا"
"ASEAN","مجمج موعة دول جنوب شرقي آسيا) آسيان (","وهي مجموعة اقتصادية أساسا ً ولها جوانب تنسيق سياسي، وتضم أغلب دول جنوب شرقي آسيا والتي كانت تسمى النمور الآسيوية مثل ماليزيا وأندونسيا وكوريا الجنوبية وتايوان وسنغافورة وغيرها، وهي نموذج معاصر للتعاون الأقليمي."
"Assassination","اغتيال","الاغتيال ما هو إلا عملية تصفية جسدية، أي قتل الأعداء السياسيين أو قتل الأبرياء، سواء كانت دوافع القتل سياسية أو فردية، وهو يوجه أساسا ً للقيادات والوزراء وأصحاب الجاه، وغالبا ً مايتم اغتيال القاتل فور وقوع جريمة الاغتيال الرئيسية ولا نعرف الدوافع الأساسية وراء اغتيال هذا ولا ذاك، وقد يتم الاغتيال بواسطة المدافع أو القنابل أو السلاح الأبيض أو بأى وسيلة قتل أخرى، فالاغتيالات عملية قتل قذرة بقصد الحصول على أية منافع من ورائها."
"Assemblies","المجالس التشريعية","وهي البرلمانات المنتخبة في عالم اليوم، وقد تتكون من مجلس واحد) أحادي Unicameral(أو من مجلسين) أي تركيب ثنائي Bicameral("
"Assemblies","جمعيات تشريعية","وهي المؤسسات التشريعية والرقابية التي توجد في الديمقراطيات الغربية ويختلف اسمها من جهة لأخري، فهي البرلمان في كل مكان، مثل الكونجرس في الولايات المتحدة والبوندستاج في ألمانيا والكنيست الإسرائيلي ومجلس العموم البريطاني."
"Assiento","أشيانتو","هي اتفاقيات ومعاهدات أبرمتها أسبانيا في القرنين السابع عشر والثامن عشر الميلادي، بشأن تجارة الرقيق، قبل أنا بمؤتمر فيينا عام تحرمها الدول بدء ١٨١٥ م وتصريح فيرون عام ١٨٢٢ ببيان م وانتهاء وإعلان حقوق الإنسان ١٩٤٨ م الذي حرم تجارة الرقيق بكافة أشكالها، ونص على ذلك صراحة مر البشرية هينة من ع لينهي هذه الفترة الم، وينهي العبودية للأبد ويحرر الإنسان."
"Assimilado","المندمجين","هم الوطنيين في المستعمرات الأوربية المختلفة الذين يمكن أن يصبحوا مواطنين في دولة الاحتلال بشرط اتقان لغة الدولة المحتلة، وأكثر الدول التي قامت بهذا في عصر المستعمرات في أفريقيا هي البرتغال في أنجولا، حيث قامت بالتأثير في هوية المواطين الثقافية واللغوية."
"Association Of Ideas","تداعي الأفكار","وهو وجود صلة بين فكرتين أو خبرتين في ذهن الفرد وذاكرته، فإذا ما استعاد فكرة أعقبتها الفكرة الأخرى بعدها مباشرة."
"Associations","الروابط","أحد نماذج جماعات المصالح، وهي جماعات تستطيع أن تضم في عضويتها أشخاصا ً ذوي انتماءات مشتركة، وتتكون هذه الروابط حينما يكون هناك اهتمام مشترك بقضية أو موضوع ما بين عدد من الأفراد، ومهمة الرابطة هي تنظيم هذه العلاقات."
"Atimia","أتيميا","مصطلح يقصد به انخفاض مكانة الدولة،أي تعرضها للتخلف الاقتصادي والاجتماعي والسياسي مما يخفض مكانتها عند باقي الأمم."
"Atlantic Charter","ميثاق الأطلنطي","هو البيان المشترك لاجتماع رئيس الوزراء البريطاني ونستون تشرشل مع الرئيس الأمريكي روزفلت في ١٤ أغسطس ١٩٤١ م على ظهر السفينة Prince Of Wales بالمحيط الأطلسي والذي دخلت على إثره الولايات المتحدة الأمريكية الحرب بجانب الحلفاء، وتضمن البيان أول إشارة لأهمية إنشاء نظام دائم للأمن العام Permanent System Of General Security يكون أكثر اتساعا من ذي قبل، وكان ذلك بمثابة بداية التفكير في إنشاء الأمم المتحدة."
"Authorised Sources","مصادر موثوق بها","وهي المنابع والأماكن والشخصيات والمؤسسات التي يستقي منها رجال الإعلام والسياسة معلوماتهم وبياناتهم المستخدمة في أعمالهم."
"Authoritarianism","التسلط","التسلط مصطلح يستخدم سياسيا ً للتعبير عن حالة سياسية معينةف، هو نوع من استخدام قوة السلطة بشكل فيه مبالغة،أو بمعنى آخر هو سوء استخدام السلطة في حياتنا السياسية ٠"
"Authoritarianism","السلطوية","وهو نمط مثالي من أنماط علم الاجتماع السياسي نادى به لنز LINZ ، وهو يعني أن النظام سلطوي لاتوجد به عقيدة سياسية وإنما توجد عقلية سياسية Mentality نتيجة لسيطرة العسكريين وغير العقائديين على النظام السياسي، ووجود تعدد محدود في كيان السلطة، والحزب السلطوي غير منظم عقائديا وليس هناك شروط لعضويته ولا توجد تعبئة سياسية في النظام إلا عند بداية قيامه حتى استقراره، ولا يستخدم السلطويون النظام كوسيلة للإرهاب وإنما الدفاع، ويهتم النظام السلطوي بصفة أساسية بالسيطرة على الحكومة والجيش والشرطة، وتنتهي في النظام السلطوي التقاليد كأساس الشرعية لإعلان النظام معايير الكفاءة والترشيد والقدرة على الإنجاز."
"Authority","السلطة","السلطة هي القوة ولكنها اكتسبت صفة الشرعية بالانتخابات أو بالتعيين، فهي القوة الرسمية المهيمنة على حكم البلاد، فالسلطة هي نفسها القوة Control Is The Same Power ولكنها في الواقع تختلف عن القوة في حقيقة واحدة هي أن مستخدمي القوة Power- Wielders قد لا يعرفون لماذا يتصرفون بالطريقة التي يتصرفون بها، ويجب أن يعتقدوا أن هؤلاء المستخدمين يملكون حقا ً معنويا ً لممارسة القوة واستخدام العقوبات إذا لزم الأمر."
"Autocracy","أتوقراطية","وهي صورة من صور الحكم التي تتسم بالشمولية أو الديكتاتورية، أي أن السلطة تكون للحكام فقط دون أي اعتبار للشعب أو نوابه الذين يكونون على هامش الحكم أو صنع القرار، فالأتوقراطية مجرد شكل للحكم تحقق في كثير من البلاد في مراحل تاريخها."
"Autonomy","الاستقلالية","يعني مدى ذاتية أو ال حرية الكاملةل لمؤسسة السياسية في العمل السياسي والاجتماعي داخل الدولة."
"Awereness","الوعي / الانتباه","وهي إدراك الفرد لما يحيط به إدراكا ً مباشرا ً، وينطوي الوعي على وقوف الفرد على فكرة جديدة وشعوره بحاجة إلى مزيد من المعلومات عنها."
"Axis of Evil","محور الشر","وهو محور أعلنه الرئيس الأمريكي عام ٢٠٠٢ م لوصف الدول) الداعمة للإرهاب والمعادية للولايات المتحدة الأمريكية ولسياساتها من وجهة نظره هو (، ويضم هذا المحور الدول الآتية: العراق وإيران وكوريا الشمالية، وبالفعل بدأ الرئيس الأمريكي غزو العراق في ٢٠ مارس ٢٠٠٣ م كأول دولة في هذا المحور."
"Back-Bench MPS","المقاعد الخلفية","وهي المقاعد الموجودة في آخر قاعة البرلمان، ويجلس فيها عادة المستقلين والبرلمانيين ذو الاتجاهات الثقافية الكبيرة من الطبقة الوسطى ويكونوا أكثر تأثيرا من باقي البرلمانيين."
"Balance Of Power","توازن القوى","توازن القوى مصطلح استرا تيجي هام في المجالات السياسية والعسكرية، ويعنى الوصول إلى نقطة الاستقرار Stable أي الموقف الذي يتعذر معه على أي نسق دولي فرعي أو تحالف أن يملي إرادته على الأنساق الأخرى أو التجمعات الدولية، وذلك عن طريق انتاج السلاح والمحافظة على السلام القائم على المصالح، والحفاظ على مستوى متعادل في القوة العسكرية لردع الأطراف المناوئة لعدم قيامهم بالحرب."
"Balance Of Power","ميزان القوة","أنظر: توازن القوى هو مفهوم ساد في مراحل ماقبل الحرب العالمية الأولى ١٩٤٥، أي أن يكون الخصم في مستوي قوة منافسه حتى يستطيع الدفاع عن نفسه، وأن أي اختلال للقوة يعنى طمع الخصم في الحصول على نصر سريع وحاسم.    حرف النون"
"Balance Of Terror","ميزان الرعب","وهو مفهوم التوازن في الرعب الذي أتاح للسلام أن يستقر في أوربا منذ عام ١٩٤٥ م، وهو ع كس مفهوم القوة التقليدي، أي أنه القدرة على توجيه ضربة قاصمة للعدو في حالة إقدامه على توجيه الضربة الأولى باستخدام أسلحة الفناء والدمار الشامل، مما يعني أن بدأ الحرب معناه الفناء للطرفين."
"Balkanisation","البلقنة","أي تمزيق المنطقة وتحويلها إلى دولة أقزام يضم كل منها عدد قليل من السكان... ويرمز المصطلح إلى اضطرابات الشعوب والسير نحو الحرب... كما حدث في دول منطقة البلقان عقب انتهاء الحرب العالمية الأولى، مما يعنى ضعفها الشديد بما حدث ويحدث فيها من اضطراب الأحوال السياسية وقيام انتفاضات وثورات في منطقة من المناطق وسوء العلاقات الدولية وانتشار الحروب والصدامات المختلفة، وكانت هذه السياسة للمستعمر وللدول الغربية تحاول أن تنف ذها في قارة أفريقيا وتحاول بلقنتها ولكنها لم تفلح نهائيا، وحتى الآن."
"Bantus","البانتو","هم الأفارقة السود وهو مصطلح مستخدم في جنوب أفريقيا ليميز الأفارقة السود عن الأفريكانز أو البوير."
"Bantustans","البانتوستانات","هي أوطان السود في جنوب أفريقيا أقيمت لفصلهم عن البيض ثم أدمجت عام ١٩٩٤ م في ظل الدستور الجديد الذي ألغى الفروق بين الأجناس."
"Bargaining","المساومة","وهي أسلوب للت فاعل المصاحب لإعداد القرار السياسي، ويقصد بها التوصل إلى مبادلات مفيدة للطرفين، والسياسة في أحد تعريفاتها تمثل الناتج الحاصل عن المساومات والحلول الوسط Compromise بين جماعتين."
