"English Term","Arabic Term"
"information and communication technologies (i.c.t)","تكنولوجيا المعلومات والاتصال"
"information gaps","فجوات المعلومات"
"information legislations","تشريعات إعلامية"
"information manipulation","التلاعب بالمعلومات"
"information processing","معالجة معلومات"
"information report","تقرير معلومات"
"information seeking","التماس معلومات"
"information super highway","الطريق السريع للمعلومات"
"informed sources","مصادر مُطَّلعة"
"inquiring office","مكتب الاستعلامات"
"insulation","عزل الصوت"
"intellectuals","نخبة فكرية"
"intensifying station","محطة تقوية"
"interactive coverage","تغطية تفاعلية"
"interpolation","إكمال بالتحريف"
"interpretative journalism","صحافة تفسيرية"
"interpreted news","خبرٌ مُفَسّر"
"inverted pyramid","الهرم المقلوب"
"investigative report","تقرير استقصائي"
"journalese","أسلوب صحفي"
"journalist","صَحَفي"
"journalistic campaign","حملة صحفية"
"journalistic translation","ترجمة صحفية"
"jury","لجنة تحكيم"
"justification","ضبط الأسطر"
"key sound","صوت دال"
"keyword","كلمة مفتاح"
"kicker","عنوان جانبي"
"latent image","صورة كامنة"
"latent public opinion","رأي عام كامن"
"latest news","آخر الأنباء"
"layout","تصميم الصفحات"
"lead","مقدمة"
"leadership","قيادة"
"leadership papers","صُحف كبرى"
"leading indicators","مؤشرات إيحائية"
"leading question","سؤال إيحائي"
"letters to the editor","بريد القراء"
"liberty of the press","حرية الصحافة"
"lifting immunity","رفع الحصانة"
"light face","بُنط أبيض"
"light program","برنامج خفيف"
"lighting supervisor","مشرف إضاءة"
"literary lead","مقدمة أدبية"
"literary magazine","مجلة أدبية"
"literary property","حق أدبي"
"literary reportage","تحقيق أدبي"
"literary supplement","ملحق أدبي"
"live coverage","تغطية حية"
"live program","برنامج على الهواء"
"local area network (lan)","شبكة محلية (لان)"
"local media","وسائل إعلام محلية"
"local papers","صحف محلية"
"localism","عولمة محلية"
"location","موقع التصوير الخارجي"
"long term memory","ذاكرة طويلة المدى"
"low angle shot","لقطة من أسفل"
"low comedy","كوميديا مبتذلة"
"macluhanism","الماكلوهانية"
"magazine format","قالَب المجلة"
"magnate","شخصية جاذبة"
"mail questionnaire","استبانة"
"maintenance","صيانة"
"make-up section","القسم الفني"
"managing editor","مدير تحرير"
"manuscript","مخطوطة"
"market research","بحوث السوق"
"marketing","تسويق"
"marketing campaign","حملة تسويقية"
"mass behavior","سلوك جماهيري"
"mass control","رقابة جماهيرية"
"mass culture","ثقافة جماهيرية"
"mass society","مجتمع جماهيري"
"master scene","مشيد رئيسي"
"master shot","لقطة رئيسية"
"matting","طافئ"
"media convergence","اندماج وسائل الإعلام"
"media economics","اقتصاديات الإعلام"
"media effects","مفعول وسائل الإعلام"
"media impact","تأثير وسائل الإعلام"
"media sustainability index (msi)","مؤشّر استدامة وسائل الإعلام"
"message","رسالة"
"messenger","مُرسِل"
"metaphorical headline","عنوان استعاري"
"metaphorical persuasion","إقناع استعاري"
"microcopy","نسخة مصغرة"
"military journalism","صحافة عسكرية"
"miscast","إساءة اختيار"
"misconception","مفهوم خاطئ"
"misinformation","تضليل إعلامي"
"misquote","اقتباس خاطئ"
"misreport","تقرير خاطئ"
"misstatement","بيان كاذب"
"mixing","مزج"
"mobile unit","وحدة متحركة"
"mocking lead","مقدمة ساخرة"
"model maker","صانع النماذج"
"modulation","تعديل"
"monitor","جهاز مراقبة (مِرقاب)"
"montage","مونتاج(توليف)"
"motivation","حفز"
"motive","دافع"
"moving shot","لقطة متحركة"
"muck","قذف"
"multicolor","متعدد الألوان"
"multimedia","وسائط متعددة"
"music library","مكتبة الموسيقا"
"narrative title","عنوان حكائي"
"narrative-paradigm","نموذج السرد"
"narrator","الراوي"
"national consciousness","وعي قومي"
"national media","وسائل إعلامية قومية"
"nearness","القُرْب"
"new media","وسائل إعلام جديدة"
"newness","الجِدَّة"
"news coverage","تغطية إخبارية"
"news elements","عناصر الخبر"
"news frameworks","أطرٌ إخبارية"
"news page","صفحة الأخبار"
"news program","برنامج إخباري"
"news report","تقرير خبري"
"news section","قسم الأخبار"
"news selection","انتقاء الأخبار"
"news summary","موجز الأنباء"
"news values","قيم خبرية"
"objective coverage","تغطية موضوعية"
"objectivity","موضوعية"
"off the record","ليس للنشر"
"office automation","أَتْمتَة مكتبية"
"official information","معلومات رسمية"
"online journalism","صحافة على الخط (أون لاين)"
"open university","جامعة مفتوحة"
"opinion polls","استطلاعات الرأي"
"organ newspaper","صحيفة حزبية"
"outdated news","خبر قديم"
"outlet","مَنْفَذ توزيع"
"over issues","المُرتَجع"
"pan left","لقطة استعراضية إلى اليسار"
"pan right","لقطة استعراضية إلى اليمين"
"pan shot","لقطة استعراضية"
"paragrapher","كاتب المقالات القصيرة"
"pay television","التليفزيون المدفوع"
"peak listening time","وقت ذروة الاستماع(في الإذاعة)"
"peak viewing hours","ساعات ذروة المشاهدة (في التليفزيون)"
"pen name","اسم مستعار"
"penetration rate","معدل الانتشار"
"personal integrative needs","حاجات تكامل شخصي"
"personality interview","حوار شخصية"
"persuasion","إقناع"
"photogenic","ملائم للتصوير"
"photographer","مُصوِّر(في الصحافة)"
"photographic agency","وكالة تصوير صحفي"
"photomontage","تركيب الصور(فوتومونتاج)"
"pica","بيكا"
"pictorial magazine","مجلة مصورة"
"picture book","كتاب مُصَوّر"
"piece-rate system","نظام عمل بالقطعة"
"piracy","قرصنة"
"plug","إعلان مجاني"
"pluralism","تعددية"
"point","بُنط(حجم الحرف)"
"political advertising","إعلان سياسي"
"political street","الشارع السياسي"
"popular press","صُحف شعبية"
"population communication","اتصال سكاني"
"portrait","صورة قلمية"
"poster","مُلْصَق (إعلامي)"
"prediction","تنبؤ"
"presidential campaign","حملة رئاسية"
"presidential election","انتخابات رئاسية"
"press archive","أرشيف صحفي"
"press attaché","ملحق صحفي"
"press gallery","شرفة الصحافة"
"press material","مادة صحفية"
"press office","مكتب صحفي"
"press secretary","سكرتير صحفي"
"press show","عرض خاص للصحفيين"
"press syndicate","نقابة الصحفيين"
"prestige publication","نشرة دعائية"
"preview","تنويه (عرض قادم)"
"privacy right","حق الخصوصية"
"privatization","خصخصة"
"prominent","بارز"
"proof","تجربة طباعية(بروفة)"
"propaganda","دعاية"
"proximity","القرب من الحدث"
"psychological war","الحرب النفسية"
"public opinion","الرأي العام"
"public opinion research","بحوث الرأي العام"
"public service tv","تليفزيون الخدمة العامة"
"publication crimes","جرائم النشر"
"radiation","إشعاع"
"radio network","شبكة إذاعية"
"readability","انقرائية"
"readership","قرائية"
"reading habits","عادات القراءة"
"redundancy","حشو"
"reliability","معتمدية"
"reminder letter","رسالة تذكير"
"repetition","تكرار"
"repetition rate","معدل التكرار"
"reporter","مندوب"
"reproduction","نسخ"
"research design","تصميم بحث"
"rewriter","مُراجع صياغة"
"roman","حرف روماني"
"rough copy","نسخة مُسوّدة(تجريبية)"
"rumor spreader","مُروِّج شائعة"
"rumour / rumor","شائعة"
"running attitude","الاتجاه الحالي(في الإعلان)"
"running time","مدة العرض"
"satellite radio","راديو فضائي(راديو الساتل)"
"scenario","سيناريو(تصور مستقبلي)"
"screen test","اختبار شاشة"
"screenplay","نص سينمائي"
"script","نص مكتوب (سكريبت)"
"script supervisor","مشرف النص"
"search engine","محرك البحث"
"second analysis","التحليل الثاني"
"semantic memory","ذاكرة دلالية"
"semantic representation","تمثيل دلالي"
"semiotics","علم العلامات السينمائية (السيميائية)"
"set speech","خطاب مُعَد"
"shooting trick","حيلة سينمائية"
"short term memory","ذاكرة قصيرة المدى"
"signal","إشارة"
"slogan","شعار"
"slow motion","حركة بطيئة"
"soap opera","أوبرا الصابون (دراما تليفزيونية)"
"social integrative needs","حاجات تكامل اجتماعي"
"social mind","العقل الجمعي"
"social norms","معايير اجتماعية"
"social symbol","رمز اجتماعي"
"soft news","أخبار خفيفة"
"spell checker","مُدقق إملائي"
"spoken discourse","خطاب منطوق"
"spot news","خبر قصير"
"spreadsheet software","برنامج جدول إلكتروني"
"statement","تصريح، بيان"
"stereotype","صور نمطية"
"story","قصة خبرية"
"style book","كتاب التعليمات"
"stylistics","الأسلوبية"
"suggestion","إيحاء"
"suggestive message","رسالة إيحائية"
"summary lead","مقدمة تلخيصية"
"supreme council for journalism","المجلس الأعلى للصحافة"
"synopsis","خالصة"
"system analysis","تحليل النظم"
"target public","جمهورٌ مستهدف"
"teaching film","فيلم تعليمي"
"technical journal","مجلة علمية"
"technique programs","برامج تقنية"
"teletext","نصوص مرسلة (تيليتكست)"
"text analyzer","برنامج تحليل النصوص"
"traditional media","وسائل إعلام تقليدية"
"trap effect","أثر الشّرَك"
"trial","تجريب"
"tricking","خداع"
"tv scheduling","جدولة البرامج التليفزيونية"
"updated coverage","تغطية مُحَدَّثة"
"uses and gratifications","الاستخدامات والإشباعات"
"vertical integration","تكامل رأسي"
"virtual society","مجتمع افتراضي"
"visual aids","مُعِينات بصرية"
"visual culture","ثقافة بصرية"
"web directory","دليل الشبكة(الويب)"
"wide area network (wan)","شبكة متسعة (وان)"
"word processor","معالج الكلمات"
"yellow papers","صحف صفراء"
