"English Sentence","Arabic Sentence"
"The formal opening session will be tomorrow morning at 10 a.m. instead of 9 a.m. as printed in the programme.","سيقام الاحتفال الافتتاحي غداً في العاشرة صباحاً، وليس في التاسعة كما ورد في البرنامج."
"The Polish delegation, headed by Dr. Chagoury, should be arriving at the hotel within the hour.","سيصل رئيس الوفد اللبناني الدكتور شاغوري خلال ساعة إلى الفندق."
"A member of our society will be there to meet you.","سيستقبلكم أحد أعضاء جمعيتنا هناك."
"Representatives of the Organizing Committee will also be present in the Intourist Offices at the airport and the railway station.","سينتظركم ممثلون عن لجان التنظيم في مكاتب السياحة في المطار ومحطة القطار العامة/الرئيسية أيضاً."
"Until June 4th the Organizers' Office will be located in Riyad, in the main building of the university, tel. 654321, and from June 5th until the end of the meeting, in the Concert Hall, tel. 43 25 79- The office is open daily from 8 a.m. to 10 p.m.","سيفتح مكتب التنظيم حتى الرابع من شهر حزيران في المبنى الرئيسي للجامعة في الرياض، هاتف ٦٥٤٣٢١، بعد ذلك وحتى نهاية المؤتمر في قصر الثقافة، هاتف ٤٣٢٥٧٩، وذلك من الساعة الثامنة صباحاً وحتى الساعة العاشرة مساءً."
"All participants and guests are cordially invited to the Opening Ceremony.","ندعو جميع المشتركين والضيوف لحضور الحفلة الافتتاحية."
"Conference applications should be sent to the above address by the first of March. 2003","الرجاء إرسال طلبات الإشتراك حتى ١ آذار (مارس) ٢٠٠٣ إلى العنوان المذكور أعلاه."
"I should be grateful if, despite my late application, you would allow me to attend the conference.","الرجاء السماح لي بالمشاركة بالمؤتمر بالرغم من طلبي المتأخر."
"We enclose the Registration forms you asked for.","نرسل لكم طيه الإستمارات المطلوبة."
"Please complete the enclosed forms.","الرجاء استعمال الإستمارات المرفقة."
"Please use capital letters (BLOCK CAPITALS).","الرجاء كتابة البيانات بالحرف الكبير."
"Please underline as applicable.","الرجاء وضع خط تحت الإجابة الصحيحة."
"Please delete as applicable. (Cross out whichever does not apply).","الرجاء شطب الإجابة غير الصحيحة."
"You were invited on March 12th to attend the committee meeting. 3) Circulars","لقد تم دعوتك بتاريخ ١٢ آذار (مارس) لحضور جلسة اللجنة."
"The main theme of the conference was decided upon yesterday and is worded thus: ""Science and Food for the World"".","نرسل لكم لجنة التنظيم التعميم الأول، الذي يحتوي على معلومات هامة حول المؤتمر العالمي للرحلات الفضائية، الذي سيعقد في أيار (مايو) في نيويورك."
"This is the seventh in a succession of highly successful quadrennial Con-","الرجاء إطلاعنا حتى ١ تموز (يوليو) على أسماء وعناوين الذين سيشاركون بالمؤتمر. سنرسل لهم التعميم الثاني في الوقت المناسب."
"The Beirut Congress is especially devoted to the purpose of extending international contacts and cooperation, promoting a lively exchange of ideas among delegates, providing a valuable survey of the efforts being made throughout the world to combat heart (cardiac) diseases and circulatory disorders, and presenting the latest results of research in this sphere.","يهدف مؤتمر بيروت بالدرجة الأولى إلى توسيع التعاون والاتصالات الدولية ودعم تبادل الآراء بين الوفود وإعطاء نظرة قيمة حول الجهود العالمية في مجال مكافحة أمراض القلب والدورة الدموية وتقديم أحدث نتائج الأبحاث بهذا المجال."
"The sessions are devoted to three main topics.","لقد كرست للجلسات ثلاثة مواضيع أساسية."
"In addition, the Vice-Chancellor of our university will be present at the opening and closing sessions.","سيحضر الجلسات الافتتاحية والختامية وكيل الجامعة."
"Australia is sending a large delegation for the first time.","سترسل أستراليا وفداً لأول مرة."
"The convocation of the conference has had to be postponed owing to unforeseen circumstances.","يجب إرجاء الدعوة للمؤتمر لظروف طارئة."
"You will receive notification of any programme alterations or special events in good time.","سنطلعكم على جميع التعديلات في البرنامج والحفلات الخاصة في الوقت المناسب."
"The organizers reserve the right to close the list of participants once the desired number has been reached.","يحق للمنظمين اختتام قائمة المشتركين عندما تصل إلى العدد المطلوب."
"If you have any questions relating to conference procedure please address them to the Organizers' Office in writing before April 1st.","الرجاء توجيه أسئلتكم بخصوص المؤتمر حتى ١ نيسان إلى مكتب التنظيم."
"The dates have been selected to avoid any clash with other meetings.","لقد حددت المواعيد بشكل لا يتضارب مع اجتماعات أخرى."
"Participants claiming business expenses are requested to fill in the enclosed form.","الرجاء من المشتركين، الذين يجب عليهم الحصول على إعفاء من الخدمة إملاء الاستمارة المرفقة."
"The programme also serves as your conference permit and entitles you to attend all events free of charge.","البرنامج هو بنفس الوقت سماح بالمرور للمشاركين، ويخولهم الاشتراك مجاناً في جميع الحفلات."
"All the subjects listed in the programme booklet will be treated by outstanding specialists from all over the world.","جميع المواضيع المدونة في كراسة المؤتمر يعالجها اختصاصيون مرموقون من جميع أنحاء العالم."
"On your arrival, you will receive a General Assembly badge, your name badge, a map of Cairo, and tickets for the entertainments and excursions.","عند الوصول ستحصلون على شعار الجلسة العمومية ودبوس عليه اسكم وخريطة القاهرة، وتذاكر لأماكن التسلية والتنقلات."
"After registering at the conference you are requested to present your identification papers to the Credentials Committee.","الرجاء تسجيل أسمائكم في مركز المؤتمر. بعدها يجب إبراز هويتكم (الأوراق الثبوتية) إلى اللجنة"
"Please complete your registration as soon as possible.","الرجاء إنهاء معاملة تسجيلكم بأسرع وقت ممكن."
"Would you mind putting your name down on the list of participants, please?","الرجاء تسجيل أسمائكم في قائمة (لائحة) المشتركين."
"The host country will provide the usual hospitalities.","البلد الداعي يتحمل جميع واجبات الضيافة."
"This paper is to be regarded as confidential.","الورقة (الوثيقة) ذات طابع سري."
"Please quote the reference and file number.","الرجاء ذكر رقم الملف والرقم المتسلسل إذا أمكن."
"The international study group has begun its work and will present the results of its investigations to the governing body, UNESCO, in Paris.","لقد باشرت لجنة العمل الدولية عملها وستقدم للجهاز المختص - للأونيسكو في باريس - نتائج الدراسة."
"The representatives of the building.","ممثلو البناء."
"The committee should meet periodically to keep members informed of the latest developments.","يجب الاجتماع بين الحين والآخر لإطلاع الأعضاء على آخر التطورات."
"The provisional agenda was drawn up by the appropriate committee.","لقد تم أمس تحديد موضوع المؤتمر تحت اسم ""العلم والتغذية العالمية""."
"Dr Mattar, from Lebanon, has a point of order.","هذا هو المؤتمر السابع من سلسلة المؤتمرات التي تعقد بنجاح"
"Now that we have finished debating the standing orders I should like to turn to our main business.","بما أن مناقشة اللائحة الداخلية قد انتهت، فأنا أرغب بالتطرق للموضوع الأساسي."
"A representative may appeal against the ruling of the chairman.","كل ممثل يمكنه تقديم اعتراض على قرار الرئيس."
"The appeal shall immediately be put to the vote.","الاعتراض سيعرض فوراً للتصويت."
"The chairman's ruling shall stand unless overruled by a majority of the members present and voting.","يبقى قرار الرئيس قائماً إذا لم يصوت ضده أكثرية الأعضاء الحاضرين."
"I realize that what you have to say is important, but you have infringed the rules. In accordance with rule 14 will you please now stop speaking?","انني أفهم أن ماتريد أن تقوله هو مهم، ولكنك لم تلتزم باللائحة الداخلية، لذلك وطبقاً للفقرة ١٤ من نظام الإجراءات أرجو أن تتوقف عن الكلام."
"The agenda is now available in printed form. Unfortunately, alterations or additions can no longer be considered.","أمامكم جدول الأعمال المطبوع، للأسف لن تتمكن من مراعاة الإضافات والتغييرات."
"The agenda will be announced by the chairman at the beginning of the session.","سيقوم مدير الجلسة قبل بداية الاحتفال بإعلان جدول الأعمال."
"Do you wish to make any amendments to the agenda?","هل ترغبون في أية تغييرات في جدول الأعمال؟"
"The agenda will include an additional report by Professor Ziad, from Austria, who will be considering the problems arising from the use of the electric car in urban transport:","سيضاف إلى جدول الأعمال محاضرة للأستاذ زياد من النمسا حول مشاكل استعمال السيارة الكهربائية للتنقل في الضواحي."
"Before we turn to the first item on the agenda we should like to ask you to remember a few organizational details and thereby to make your contribution to the smooth running of the conference.","قبل البدء بجدول الأعمال نرجو منكم مراعاة بعض النقاط التي تساعد على سير طبيعي للمؤتمر."
"Since the order of the agenda needs to be ratified by the President, the agenda must be regarded as provisional.","بما إن جدول الأعمال لا يزال بحاجة إلى موافقة الرئيس، نعتبر الجدول مقبولاً بشكل مؤقت."
"If there are no further questions, I would request you to confirm today's agenda by a show of hands.","إذا لم يكن لديكم أية أسئلة، أقترح تأكيد جدول اليوم برفع الأيدي."
"The first item on the agenda is the election of the Executive Committee.","النقطة الأولى في جدول الأعمال هي استجابة اللجنة التنفيذية (مجلس الرئاسة)."
"I would propose that we include this point in (on) the agenda.","أقترح إدراج هذه النقطة على جدول الأعمال."
"The representatives of municipal authorities have proposed that the problem of hygiene be included on the 'agenda.","لقد قدمت دوائر البلديات طلباً لإضافة نقطة على جدول الأعمال لمناقشة مشاكل النظافة."
"I would like to ask you to add my paper (contribution) to the agenda.","السرجاء منكم إضافة محاضرتي على جدول الأعمال."
"I think it would be worth while to break down paragraph 3 of the agenda into several subdivisions for the sake of greater clarity.","يبدو لي أنه من المفيد تجزئة النقطة الثالثة في جدول الأعمال إلى عدة نقاط بهدف التوضيح."
"It might not be a bad idea if we drop this point from the agenda without further discussions.","لعله من المفيد حذف هذه النقطة من جدول الأعمال بدون مناقشة."
"Which contributions are left on today's agenda?","ماهي المحاضرات المدونة اليوم على جدول الأعمال؟"
"Is this the provisional or the final agenda?","هل هذا جدول الأعمال النهائي أو المؤقت؟"
"Now let's go over to the agenda.","لنستقل الآن إلى جدول الأعمال."
"We now come to item number four on the agenda.","نأتي الآن للنقطة الرابعة من جدول الأعمال."
"Please keep strictly to the agenda.","السرجاء الالتزام بجدول الأعمال."
"The next point can be deleted (removed) from the agenda, which brings us to Any Other Business.","يمكن حذف النقطة التالية من جدول الأعمال، لننتقل بعدها إلى أعمال أخرى."
"These problems, which are only indirectly relevant to the agenda, should be dealt with under the heading of Any Other Business (Miscellaneous).","هذه المواضيع التي ليس لها علاقة مباشرة بجدول الأعمال يجب معالجتها تحت نقطة ""متفرقات""."
"Information on local public transport may be obtained from the tourist information office.","الرجاء إنجاز معاملات السفر في بلدكم."
"Delegations and guests will be welcomed upon arrival at the airport or railway station by representatives of the Organizing Committee.","بخصوص معاملات السفر نرجو منكم مراجعة مندوب بلدكم في مكتب التنظيم."
"The conference site is easily reached from the town centre by bus, train, and private car.","نذكر المشتركين في المؤتمر بأنهم بحاجة إلى جواز سفر صالح وتأشيرة دخول (أو خروج)، إلا إذا كانت هناك اتفاقيات أخرى بين حكومات البلدين بهذا الخصوص."
"For the duration of the World Congress special traffic regulations, which have been agreed on by the Congress Organizers and the competent authorities of the traffic police, will be in force.","الرجاء إعطائي بعض المعلومات بخصوص تأشيرتي."
"The hotel and the conference site can easily be reached by local transport from the airport and the station. 2) les conseils de voyage: transport et parking.","منح التأشيرات: إذا كنتم بحاجة إلى تأشيرة دخول إلى ألمانيا، فسوف نرسل لكم الاستمارات"
"A bus service is provided for participants for the journey from the hotel to the university and back.","يوجد باصات لنقل المشتركين من الفندق إلى الجامعة والعودة."
"The university can easily be reached from the centre of Frankfurt by under-ground and bus.","يمكنكم الوصول إلى الجامعة بالمشرو والباص من مركز مدينة فرانكفورت بسهولة."
"If you intend to travel by car, please be sure to apply for the necessary permit.","إذا كنتم ترغبون الحضور بسيارتكم، أرجو تأمين الرخصة اللازمة."
"Participants traveling by car are requested strictly to observe the parking signs and on no account to park their cars at entrances or in roads giving access to the conference site.","الرجاء من جميع القادمين بسياراتهم مراعاة لوحات مواقف السيارات وعدم إيقاف سياراتهم أمام مداخل المؤتمر والطرق المؤدية لمبنى المؤتمر."
"Extensive car parking facilities are available.","يوجد مواقف سيارات كافية."
"The sign posted areas must be kept clear for the use of taxis, buses, and other vehicles.","الرجاء عدم الوقوف على المواقف المخصصة لسيارات التاكسي والباصات والسيارات الخاصة."
"Three bus routes stop outside the building and there is a bus stop for a further service only a few minutes away.","يوجد ٣ خطوط باصات تقف أمام مبنى المؤتمر وباص آخر يقف بالقرب منه."
"Trams and buses between the city centre and the conference site run only until midnight and","الباصات والترامواي يسيران فقط حتى منتصف الليل ثم ابتداءً من الساعة الرابعة صباحاً."
"A route map of the town's public transport services, together with timetables, may (can) be found in the hall. Please note the special regulations.","في القاعة يوجد خريطة تبين حركة السير المحلي إضافة إلى جدول مواقيت وسائل النقل العام. الرجاء مراعاة الترتيبات الخاصة."
"You will find further details and a sketch of the car-parking facilities on page 22 of the Congress program.","تفاصيل أخرى ورسم توضيحي لموقف السيارات تجدونه على الصفحة ٢٢ في برنامج المؤتمر."
"The exchange bureau is in your hotel.","مكاتب السفر السياحية تعطيكم المعلومات عن السير والتنقل في مدينتنا."
"Currency which is freely convertible will be accepted and exchanged at the Bureau de Change according to the regulations regarding convertible currency.","ممثلو جمعيتنا سيستقبلون الوفود والضيوف عند وصولهم إلى المطار أو المحطات العامة."
"All Participants at Congresses in Kuwait can change and pay also in dinar.","من السهل الوصول إلى مبنى المؤتمر بالسيارة أو بالباص أو بالقطار"
"With demand, you can pay also throughout U.S. dollars","خلال فترة المؤتمر الدولي فإن اتفاقيات خاصة بين إدارة المؤتمر وشرطة السير سوف تؤخذ بعين الاعتبار"
"You can spend EC-Card in all hotels and in 3) Echange des devises","يوجد وسائل نقل محلي من المطار والمحطة إلى مبنى المؤتمر والفندق."
"Accommodation in tourist hotels is available at reasonable prices.","يوجد أيضاً مساكن سياحية بأسعار معقولة."
"Participants will stay in modern double rooms in the University's Halls of Residence. A few single rooms are available on request.","سيقيم المشتركون في غرف حديثة بسريرين (في بيوت الطلبة التابعة للجامعة). عند الضرورة يوجد أيضاً عدد محدود من الغرف الإفرادية."
"During the conference, several student hostels will also be available for foreign guests.","أثناء فترة المؤتمر يمكن للضيوف الأجانب السكن في عدة بيوت للطلبة."
"The only other accommodation available, at a higher cost, is in the town's hotels, the address of which you will find below","يوجد أيضاً إمكانية للإقامة بأسعار أعلى في الفنادق القريبة وعناوينها مذكورة في الأسفل."
"The deadline for hotel reservations is October 1st. Accommodation cannot be guaranteed in respect of applications received after this date.","في ١ تشرين الأول (أكتوبر) تنتهي فرصة حجز الفنادق. أما الحجوزات التي تصل بعد هذا التاريخ فلا تضمن تأكيدها."
"Any additional expenses arising from alterations notified later than 11th May must be born by the participant.","الرجاء تليغنا عن جميع التغييرات حتى تاريخ ١١ أيار (مايو)، وإلا سنحملكم المصاريف الناتجة عن هذه التغييرات وإلغاء الحجوزات."
"Any changes in the date of your departure or arrival should be brought to the notice of ""CIBET"" by letter, fax or per e-mail not later than 2 weeks before your arrival.","الرجاء إعلامنا عن تاريخ وصولكم وتاريخ مغادرتكم من الفندق خطياً بالفاكس أو بالبريد الإلكتروني لمدة أقصاها أسبوعين قبل حضوركم."
"For cancellations received after September 30th we shall be obliged to levy a cancellation-fee of 50$","عند إلغاء الحجوزات التي تصلنا بعد ٣٠ أيلول (سبتمبر) يجب عليكم دفع بدل أتعاب بقيمة ٥٠ دولاراً"
"Upon arrival you must register at the Congress before accommodation can be assigned.","بعد وصولكم نرجوكم التسجيل في المؤتمر قبل انتقالكم إلى مكان إقامتكم."
"On receipt of your confirmation we will send you, by return of post, details of your hotel accommodation.","فور وصول موافقتكم سنرسل لكم أوراق حجز الفندق."
"During your stay at the conference full medical attention can be obtained, free of charge.","سنقدم لكم العناية الطبية طوال فترة المؤتمر."
"In the event of serious illness, admission to hospital is possible everywhere. The settlement of the ensuing cost is effected on the basis of medical agreements between states, or, if no medical agreements exist, in most cases directly through your embassy.","عند إصابتكم بمرض ما، يمكن تحويلكم إلى المستشفى. يتم تصفية تكاليف المعالجة مباشرة حسب الاتفاقيات المتبادلة بين الدول، وإذا لم تتوفر هذه الاتفاقيات يمكن مراجعة سفارتكم."
"Dr. Rabih has kindly taken over responsibility for providing medical care for our guests.","لقد استلم الدكتور ربيع موضوع العناية الطبية بالضيوف."
"Every conference participant entering the USA must have been immunised against smallpox within the last three years. This should be documented by a valid international vaccination certificate. As this regulation is, however, not always necessary in every case, we request you to make further inquiries at your nearest travel agency, or to ask your air or shipping company or your local health office for the regulations valid at the moment.","يجب على المسافر إلى أمريكا أن يكون حاصلاً على لقاح ضد الجدري في الثلاث سنوات الأخيرة، ويجب إثبات ذلك بشهادة تطعيم دولية. هذه التعليمات ليست دائماً ضرورية، لذلك ننصحكم بمراجعة مكاتب السفر وشركات الطيران أو شركات الملاحة أو دوائر الصحة المختصة."
"For journeys exceeding two weeks to tropical or subtropical regions an examination to establish one's fitness for tropical climates is compulsory; for journeys of shorter duration such an examination is recommended.","المسافرين للمناطق الاستوائية وشبه الاستوائية، والذين سيطول مكوثهم أكثر من أسبوعين، يجب عليهم إجراء كشف طبي، أما إذا كانت الرحلة لمدة أقل فننصح فقط بإجراء الفحص."
"It is essential to have an interim check-up or a reexamination within 5 days of returning from tropical or subtropical countries. jaune et la petite vérole ainsi que la protection contre la malaria.","يجب إجراء فحص عام خلال خمسة أيام للذين يعودون من المناطق الاستوائية أو شبه الاستوائية."
"Visas may not be issued to applicants suffering from contagious diseases (e. g. TB)","لا تمنح تأشيرة الدخول (الفيزة) إذا كان مقدم الطلب يعاني من مرض معدٍ مثل مرض السل."
"We request all participants at the British conference to pay careful attention to the health (protection) regulation in force in the United Kingdom (v. the enclosed leaflet) so that entry by air, land, or sea can take place without difficulty.","نرجو من جميع المشاركين في المؤتمر مراعاة التعليمات الصحية (راجع النشرة المرفقة) لكي تكون رحلتكم الجوية أو البرية والبحرية ميسرة وبدون أية معوقات."
"In the case of infectious diseases where a report is compulsory, a doctor must be consulted immediately and a report given to the district medical officer; and through him to the public health authority. All further action depends on the precise circumstances of each case. 8) Post and Telecommunications Service","عند ظهور أمراض معدية يجب فوراً مراجعة الطبيب ودائرة الصحة المختصة لاتخاذ الإجراءات اللازمة حسبما تدعو الحاجة."
"You will find a Post Office at the station Zoo. Otherwise, post may be handed in at the Organizing Office.","دائرة الصحة تطلب عادة شهادة طعم للجدري من المسافرين الأجانب من البلدان المعرضة لمرض الجدري."
"Please direct all correspondence to the following adress:","يجب على جميع المسافرين إلى أكرا/غانا الحصول على شهادة تطعيم دولية صالحة حول التلقيح ضد الحمى الصفراء والجدري. يجب الحصول على"
"Please address all correspondence to the Organization Committee in Geneva, quoting your conference number.","الرجاء توجيه رسائلكم إلى مكتب التنظيم مع ذكر رقم الإشتراك في المؤتمر في جنيف."
"You can make telephone calls in the foyer of the hotel, at the conference site, or from any of the city's phone cabines.","يمكنكم إجراء الاتصالات الهاتفية أيضاً في قاعة الفندق وفي جميع غرف الهاتف العمومية."
"The documentation will be forwarded to you by post.","سترسل لكم الوثائق عبر البريد."
"Please, contact the hotel reception desk for any services you may require.","للاستفادة من الخدمات العامة، الرجاء مراجعة الاستعلامات"
"Conference couriers, easily distinguished by a large red conference badge, will be on hand to show you to the conference site and provide any other assistance.","إن مساعدينا الذين يرتدون لباساً خاصاً يتميز بشعار أحمر كبير جاهزون لنقلكم إلى مكان المؤتمر ويقدمون لكم جميع الخدمات."
"Foreign newspapers are available in the reception hall of the hotel","الصحف العالمية موجودة في قاعة الفندق."
"The typing pool is primarily intended for conference work and is, therefore, unable to fulfill any individual requirements.","إن سكرتارية المؤتمر تنجز بالدرجة الأولى أعمال المؤتمر، لذا من الصعب مراعاة طلباتكم الفردية"
"A limited number of lockers are available on the second floor.","يوجد عدد محدود من الخزائن في الطابق الثاني."
"Each delegation has a pigeonhole in the main entrance hall.","لكل وفد علبة رسائل في مدخل القاعة."
"Announcements by the Secretariat can be found on the notice board in the main entrance to the Congress hall.","تجدون إعلانات المؤتمر على اللوحة الموجودة على مدخل قاعة المؤتمر."
"For those whom it may concern, the daily program of meetings can be found on the information board in the lobby.","لمن يرغبون بمتابعة جلسات المؤتمر، يستطيعون قراءة الأخبار الموجودة على اللوحة في قاعة المؤتمر."
"The lost-property office is on the second floor, directly opposite the main lifts.","مكتب المفقودات موجود مقابل المصعد الرئيسي في الطابق الثاني."
"The cloak rooms are located in the basement.","في الطابق السفلي يوجد مكان إيداع المعاطف."
"A rest room, reading room, and TV room on the first floor of the conference building are available for all conference participants every day between 10 a.m. and 10 P.M.","جميع ضيوف المؤتمر يمكنهم استخدام غرف الاستراحة والمطالعة والتلفزة في الطابق الأول من الساعة العاشرة صباحاً إلى العاشرة ليلاً."
"This booklet contains some useful information and should help you to find your way around during your stay in our town. 11) Exhibitions","ستحصلون على كتيب يحتوي على دليل مواصلات ومعلومات أخرى مفيدة."
"An exhibition of books, technical equipment, and pharmaceutical and nutritional products is being held on both the ground floor and the first floor of the Congress building.","يُسَوِّدُ فِي الطَّابِقِ الْأَرْضِي وَالطَّابِقِ الْأَوَّلِ فِي مَبْنَى الْمُؤْتَمَرِ مَعْرِضٌ لِلْكِتَابِ وَالْآلَاتِ الثَّقَنِيَّةِ وَالْأَدْوِيَةِ وَالْمَوَادِّ الْغِذَائِيَّةِ."
