Source_EN,Target_AR,Category
The Parties agreed to the following,اتفق الطرفان على ما يلي,العقود والوكالات - Contracts
Examine / inspect,يعاين,العقود والوكالات - Contracts
Upon signing the contract,عند توقيع العقد,العقود والوكالات - Contracts
Outstanding amount,المبلغ المتبقي,العقود والوكالات - Contracts
Shall be subject to and interpreted in accordance with,يخضع ويُفسر وفقاً لـ,العقود والوكالات - Contracts
Executed in duplicate,حرر في نسختين,العقود والوكالات - Contracts
Monthly payments / Monthly installments,دفعات أو أقساط شهرية,العقود والوكالات - Contracts
Disabled,عاجز,العقود والوكالات - Contracts
Incapacitated,فاقد الأهلية,العقود والوكالات - Contracts
Valid,سارية المفعول / صالحة,العقود والوكالات - Contracts
Duly authorized,مفوّض تفويضاً صريحاً,العقود والوكالات - Contracts
Attorney-in-fact,وكيل فعلي,العقود والوكالات - Contracts
Agent,وكيل,العقود والوكالات - Contracts
Principal,موكل,العقود والوكالات - Contracts
Companies Law,نظام الشركات,القانون التجاري - Commercial Law
Law of Commercial Register,نظام السجل التجاري,القانون التجاري - Commercial Law
Law of Commercial Papers,نظام الأوراق التجارية,القانون التجاري - Commercial Law
Anti-Commercial Fraud Law,نظام مكافحة الغش التجاري,القانون التجاري - Commercial Law
Law of Commercial Agencies,نظام الوكالات التجارية,القانون التجاري - Commercial Law
Law of Chambers of Commerce and Industry,نظام الغرف التجارية والصناعية,القانون التجاري - Commercial Law
Law of Settlement Against Bankruptcy,نظام التسوية الواقية من الإفلاس,القانون التجاري - Commercial Law
Law of Trade Names,نظام الأسماء التجارية,القانون التجاري - Commercial Law
Foreign Investment Law,نظام الاستثمار الأجنبي,القانون التجاري - Commercial Law
Note in hand,سند لأمر,القانون التجاري - Commercial Law
Bill of exchange,سند سحب,القانون التجاري - Commercial Law
Cheque,شيك,القانون التجاري - Commercial Law
Bill of sales / invoice,الفاتورة,القانون التجاري - Commercial Law
Credit note,إشعار دائن,القانون التجاري - Commercial Law
Debit note,إشعار مدين,القانون التجاري - Commercial Law
Receipt,سند قبض,القانون التجاري - Commercial Law
Disbursement / Payment order,أمر صرف,القانون التجاري - Commercial Law
Partnership,شركة التضامن,القانون التجاري - Commercial Law
Limited partnership,شركة التوصية البسيطة,القانون التجاري - Commercial Law
Joint venture / Joint venture company,شركة المحاصة,القانون التجاري - Commercial Law
Limited liability company,شركة ذات مسؤولية محدودة,القانون التجاري - Commercial Law
Joint stock company / Unlimited liability company,شركة مساهمة / شركة ذات مسؤولية غير محدودة,القانون التجاري - Commercial Law
Commercial papers,أوراق تجارية,القانون التجاري - Commercial Law
Commercial instruments,مستندات تجارية,القانون التجاري - Commercial Law
Financial transactions,تداولات مالية,القانون التجاري - Commercial Law
Credit,الائتمان,القانون التجاري - Commercial Law
Debt,دين,القانون التجاري - Commercial Law
Debtor,مدين,القانون التجاري - Commercial Law
Creditor,دائن,القانون التجاري - Commercial Law
Sum,مبلغ,القانون التجاري - Commercial Law
Installment,قسط,القانون التجاري - Commercial Law
Endorsement,تظهير,القانون التجاري - Commercial Law
Beneficiary,مستفيد,القانون التجاري - Commercial Law
Establishment / Firm,منشأة,القانون التجاري - Commercial Law
Sales tax,ضريبة المبيعات,القانون التجاري - Commercial Law
Value Added Tax (VAT),ضريبة القيمة المضافة,القانون التجاري - Commercial Law
Income tax,ضريبة الدخل,القانون التجاري - Commercial Law
Import and export,استيراد وتصدير,القانون التجاري - Commercial Law
Customs,جمارك,القانون التجاري - Commercial Law
Shipment,شحنة,القانون التجاري - Commercial Law
Trade name,اسم تجاري,القانون التجاري - Commercial Law
Trademark,علامة تجارية,القانون التجاري - Commercial Law
Commission,عمولة,القانون التجاري - Commercial Law
Inventory,جرد,القانون التجاري - Commercial Law
Declaration,إقرار,القانون التجاري - Commercial Law
Authentication,مصادقة,القانون التجاري - Commercial Law
Income,دخل,القانون التجاري - Commercial Law
Commodity,سلعة,القانون التجاري - Commercial Law
Goods,بضائع,القانون التجاري - Commercial Law
Statement,كشف,القانون التجاري - Commercial Law
Exemption from customs,إعفاء جمركي,القانون التجاري - Commercial Law
Commercial register,سجل تجاري,القانون التجاري - Commercial Law
Chambers of Commerce and Industry,الغرف التجارية والصناعية,القانون التجاري - Commercial Law
Bankruptcy,الإفلاس,القانون التجاري - Commercial Law
Consumer protection,حماية المستهلك,القانون التجاري - Commercial Law
Liquidation,تصفية,القانون التجاري - Commercial Law
Closing accounts,إقفال الحسابات,القانون التجاري - Commercial Law
Money laundering,غسيل الأموال,القانون التجاري - Commercial Law
Bribery,الرشوى,القانون التجاري - Commercial Law
Conclude a contract,يبرم عقد,نظام العمل - Labor Law
Worker,عامل,نظام العمل - Labor Law
Wages,الأجور,نظام العمل - Labor Law
Salary,المرتب / الراتب,نظام العمل - Labor Law
Benefits,الامتيازات,نظام العمل - Labor Law
Allowances,البدلات,نظام العمل - Labor Law
Working hours,ساعات العمل,نظام العمل - Labor Law
Consecutive,متتابعة / متوالية,نظام العمل - Labor Law
Annual vacation,الإجازة السنوية,نظام العمل - Labor Law
Leave,إجازة,نظام العمل - Labor Law
Sick leave,إجازة مرضية,نظام العمل - Labor Law
Unpaid leave,إجازة غير مدفوعة الأجر / إجازة بدون أجر,نظام العمل - Labor Law
Qualifications,مؤهلات,نظام العمل - Labor Law
Experience,خبرة,نظام العمل - Labor Law
Training,تدريب,نظام العمل - Labor Law
Deduct,يخصم / يحسم / يستقطع,نظام العمل - Labor Law
Years of service,سنوات الخدمة,نظام العمل - Labor Law
Probation period,فترة التجربة,نظام العمل - Labor Law
Compensation,تعويض,نظام العمل - Labor Law
Remuneration,مكافأة,نظام العمل - Labor Law
Housing allowance,بدل السكن,نظام العمل - Labor Law
Transportation allowance,بدل المواصلات,نظام العمل - Labor Law
Medical insurance / Health insurance,تأمين طبي / تأمين صحي,نظام العمل - Labor Law
Annual raise,العلاوة السنوية,نظام العمل - Labor Law
Over time,خارج دوام,نظام العمل - Labor Law
Resignation,استقالة,نظام العمل - Labor Law
Retirement,تقاعد,نظام العمل - Labor Law
Termination of services,إنهاء الخدمات,نظام العمل - Labor Law
End-of-service benefits,مكافأة نهاية الخدمة,نظام العمل - Labor Law
Job title,المسمى الوظيفي,نظام العمل - Labor Law
Grade,المرتبة الوظيفية,نظام العمل - Labor Law
Appointment,تعيين,نظام العمل - Labor Law
Citizen,مواطن,نظام الأحوال المدنية - Civil Status Law
Resident / expatriate,المقيم,نظام الأحوال المدنية - Civil Status Law
Civil incidents,الواقعات المدنية,نظام الأحوال المدنية - Civil Status Law
Civil records,السجلات المدنية,نظام الأحوال المدنية - Civil Status Law
Registration in the Civil Record,القيد في السجل,نظام الأحوال المدنية - Civil Status Law
Place of registration,محل القيد,نظام الأحوال المدنية - Civil Status Law
Births,المواليد,نظام الأحوال المدنية - Civil Status Law
Marriage,الزواج,نظام الأحوال المدنية - Civil Status Law
Divorce,الطلاق,نظام الأحوال المدنية - Civil Status Law
Death,الوفاة,نظام الأحوال المدنية - Civil Status Law
Civil identification card / Civil ID card,بطاقة الأحوال المدنية,نظام الأحوال المدنية - Civil Status Law
Family record,دفتر العائلة / سجل الأسرة,نظام الأحوال المدنية - Civil Status Law
Nationality,الجنسية,نظام الأحوال المدنية - Civil Status Law
Alimony,النفقة,نظام الأحوال المدنية - Civil Status Law
Custody,الحضانة,نظام الأحوال المدنية - Civil Status Law
Guardianship,الولاية,نظام الأحوال المدنية - Civil Status Law
Divorce initiated by the wife,الخلع,نظام الأحوال المدنية - Civil Status Law
"Period of mourning ""iddah""",العدة,نظام الأحوال المدنية - Civil Status Law
Irrevocable divorce,طلاق بائن,نظام الأحوال المدنية - Civil Status Law
Revocable divorce,طلاق رجعي,نظام الأحوال المدنية - Civil Status Law
Head of the household,رب الأسرة,نظام الأحوال المدنية - Civil Status Law
Minor,القاصر,نظام الأحوال المدنية - Civil Status Law
Dowry,المهر,نظام الأحوال المدنية - Civil Status Law
Birth certificate,شهادة ميلاد,نظام الأحوال المدنية - Civil Status Law
Marriage certificate / contract,عقد زواج,نظام الأحوال المدنية - Civil Status Law
Orphan,اليتيم,نظام الأحوال المدنية - Civil Status Law
Death certificate,شهادة وفاة,نظام الأحوال المدنية - Civil Status Law
Will / Testament,وصية,نظام الأحوال المدنية - Civil Status Law
Inheritance,الإرث,نظام الأحوال المدنية - Civil Status Law
Estate,تركة,نظام الأحوال المدنية - Civil Status Law
