"English Sentence","Arabic Sentence"
"Elimination Of All Forms Of Racial Discrimination","هذا الإعلان صدر كتوصية في الدورة ال ٣٠ للجمعية العامة للأمم المتحدة في ١٥ أكتوبر ١٩٧٥ تحت عنوان: ويعتبر هذا القرار أول قرار في تاريخ الأمم المت حدة يدين السياسة التي أقيمت إسرائيل عليها، بالرغم من أن الأمم المتحدة ألغت هذه التوصية عام ١٩٩٦م بضغط من الولايات المتحدة"
"Enterpreneur","الدولة بدور المنظم الاقتصادي"
"Equilibrium & Stability","خلق التوازن والاستقرار"
"Escalation","المرحلة التصاعد"
"Established Religion","هناك دين راسخ"
"Ethnos","شعب"
"Exchange Theory","وتسمي كذلك نظرية التبادل"
"Extra-Legal","شرعية خارجية"
"Extraction","أصول"
"Face To Face","وهو عملية التدفق الحر للمعلومات والبيانات والآراء عبر وسائل مختلفة، فقد يكون اتصالا مباشرا Direct أو وهو الاتصال الذي يتم مباشرة بين الأف راد دون الاستعانة بأية أداة اتصالية وهو بمثابة فرصة كبيرة لتبادل المعلومات بين المرسل والمستقبل، وقد يكون غير مباشر Indirect وتستخدم فيه أداة من أدوات الاتصال، وقد يكون رسميا Formal أي يتم بين المستويات الرسمية بالطرق الرسمية، أو غير رسمي Informal وهو الذي يتم التفاعل فيه بطريقة غير رسمية ويتم من خلاله تبادل وجهات النظر من خارج المنافذ والوسائل الرسمية"
"Faexibility","واتصف الحزب بالمرونة"
"Fair & Deal","والنظام الجديد والنظام العادل"
"Federal Policy-Making Process","مستوى صناعة السياسة الاتحادية"
"Federal Structure","الهيكل الاتحادي"
"Feedback","التغذية الاسترجاعية"
"Fights","نماذج أساسية للصراعهي القتال"
"Flags Of Truce","تحت عنوان أعلام الهدنة"
"Focal Institutional Societies","تنظيم واحد"
"Formal","رسميا"
"Forum","مجلس"
"FRC","التعاون المالي لأفريقيا الوسطى"
"Free Access The Sea","البحر"
"Free State","تبيح الاسترقاق وولايات حرة"
"Full Statehood","الدولة أهلية الدولة الكاملة"
"Fundamental Brain Drain","النزيف الأساسي للعقول"
"G N P","قسمة مجمل الناتج القومي"
"Games","أساسية للصراعهي القتال والمباريات"
"GATT","أنظر: الجات General Agreement On Tariffs And Trade ("
"Gaza Strip","قطاع غزة"
"General Agreement On Tariffs And Trade","أنظر الجات"
"Genterative","وفكر توليدي"
"Genuine Compromise","معقدة ومواقف وسط حقيقية"
"Geographical Distribution Came To Meam Regional Represention","التوزيع الأقليمي"
"Global","وفكر عولمي"
"GNP","الناتج القومي العام"
"Goal- Attainment","تحقيق الأهداف"
"Goal-changing Feedback","تستتبع تغيير الهدف الأصلي"
"Goals","وذلك وفقا للمرامي العامة"
"God-Kings","الملوك الآلهة"
"Government Decisions","القرارات الحكومية"
"Government Of The Day","عادة لوصف حكومة اليوم"
"Grants","وهبات"
"Gross National Producation","هو أقل مستوى يمكن أن يعيش فيه المواطن وقد حددته الأمم المتحدة بنحو ٣٠٠ دولار سنويا للفرد، ويتضح مستوى دخل الفرد من قسمة مجمل الناتج القومي وهو على عدد السكان"
"GRS","توز يع العائدات العامة"
"Guantanamo","ومن أهمها قاعدة جوانتنامو"
"Guided Missiles","القذائف الموجهة"
"Hay-Bunu Varilla","المتحدة معاهدة هاي بونوفاريلا"
"Hay-Herran","معاهدة هاي هران"
"Hay-Pauncefote","معاهدة هاي بونسفوت"
"Headstream","والمنبع"
"Heaven,s Mandate","وإلا فقد تفويض السماء"
"Hegemonic Class","الطبقة المهيمنة"
"Homesteading On Electronic Frontier","الحياة في ظل التقدم الاليكتروني Virtual Community: ويعلن الكتاب أن ما يحتاجه الناس هو إيجاد فرصة لتكوين علاقات مع جيرانهم المتواجدين في أماكن نائية من القرية العالمية، ولو عبر الشبكات الاليكترونية"
"Howard Rheingold","تأليف هوارد راينجولد"
"In Front","التخوم مصطلح يعني المواني البحريةو، هي كلمة عربية مشتقة من المفهوم إلى الأمام بوصفه الواجهة المتقدمة لحضارة ما، فهي أي نقطة في اتجاه خارج الحدود بما فيها القلاع والحصون التي تحمي الحدود Boundaries المشتقة من كلمة الأطراف Bounds ، أي أنها منطقة تواصل بين النطاقين الجغرافيين، فالتخوم هي تلك المساحة الواقعة بين كيانين اجتماعيين مختلفين"
"Inactive Politically","غير العاملة سياسيا"
"Independent Impact","أصبحت ذات تأثير مباشر"
"Indirect","غير مباشر"
"Individual Human Being","هي نظرية سلوكية ونظرية اجتماعية تساعد في تحديد العلة السياسية للحاجات المادية والمعتقدات الأيدلوجية في المجتمع، وتنبع مفاهيم الفردية من ال فرد نفسه، أي القيمة العليا للكائن البشري) أي الفرد وأن كل انجاز إنما تقاس قيمته وفائدته للفرد والخير الاجتماعي هو مقدار الخير للفرد والحرية تتحقق بإطلاق الحرية الفردية من الضوابط والقيود المادية والنفسية إلى أكبر حد ممكن"
"Individualistic Materialism","المادية الفردية"
"Industrialized Economics","الدول ذات الاقتصاد الصناعي"
"Inevitable Fate","التنبؤات الماركسية للمصير الحتمي"
"Infomedia Age","الحالي عصر الوسائط المعلوماتية"
"Informal","المستوى غير الرسمى"
"Informal","غير رسمي"
"Informal Groups","جماعات غير رسمية"
"Informercials","الإعلانات المعلوماتية الإعلانات المعلوماتية"
"Initiative","وفكر مبادر"
"Institutional Group","جماعة مؤسسية"
"Institutional Interest Groups","جماعات المصلحة المؤسسية"
"Intellectual Leader","الزعيم الفكري"
"Inter-State Politics","الدول"
"Inter-State Relations","الرسمي للعلاقات داخل الدولة"
"Interconnected World Society","ظهور المجتمع العالمي المترابط"
"Interdisciplinary Hyprid","العلوم"
"Interest Groups","جماعات ذات مصالح"
"Intergovernmetal Lobby","ظهور لوبي حكومي داخلي"
"Internal Brrain Drain","النزيف الداخلي للعقول"
"International Persons","المستقلة وحدها كأشخاص دوليين"
"Intra-Party Democracy","لتحقيق ديمقراطية أكبر داخله"
"Intuitive","وفكر حدسي"
"IRO","محل المنظمة الدولية للاجئين"
"It Is Possible To say","و هو أعلى مستوى يمكن أن يؤثر على صنع القرار والذي يمكن أن نقول فيه أن كذا وكذا قد قرر شيئا ما Decided Any Thing ” So-and-so “ ، ويصدر عنه أقوى القرارات التي تسمى القرارات الحكومية Government Decisions"
"Italietta","رفضت فكرة إيطاليا الصغرى"
"Journalism Sensational","صحافة الإثارة الإخبارية"
"Knowledgeable Policy Watchers","الذين يتمتعون بدراية كبيرة"
"Laisser Faire","أتركه يمر"
"Laisser Passer","ويعمل على الإعلاء من اللامساواة الاجتماعية والفروقات وغيرها من الأمور الشاذه التي يجسدها هذا الكائن الخيالي في نفوس العالم أجمع"
"Latent","الوظائف الكامنة"
"Least Developed","بأنها الأقل نموا"
"Legalism","شرعية"
"Linkage Politics","سياسة الترابط"
"LINZ","السياسي نادى به لنز"
"Literal","بتص رف"
"Ljeneratinal Age","العمر الجيلي"
"Local Politics","السياسة المحلية"
"Local Self Government","الحكم الذاتي المحلى"
"Logical Connection","رابطة منطقية"
"Loose","الترجمة حرفية"
"Macluhan","وضعها ماكلوهن"
"Maintaining Elections","ومنها الانتخابات الدائمة"
"Majority Opinion","رأي الأغلبية"
"Manageable Level","يمكن السيطرة عليه وإخضاعه"
"Maronite Military","جنوب لبنان والمليشيات المارونية"
"Mas Media","الوسائط الإعلامية الجماهيرية"
"Meat Is Murder","وسفك الدم اء سيان"
"Mechanical Or Machine Translation","الإلكترونية وتسمى الترجمة الآلية"
"Mechanical Social Solidarity","يحل محل التماسك الآلي"
"Medical Aid","ومثل المساعدة الطبية"
"Memory","نظام الذاكرة"
"Mental Will","القيم الروحية والإرادة الذهنية"
"Mentality","وإنما توجد عقلية سياسية"
"Mesognathous","العريضة والفك المتوسط البروز"
"Messages","الرسائل"
"Meta-Search","ويسبقها آليات البحث الفائق"
"Middle Class","طبقة متوسطة"
"Militancy","ولا تعترف بالأساليب النضالية"
"Military Method","للناخبين بالأسلوب العسكري"
"Minority Opinion","رأي الأقلية"
"Missiles","بوضع القذائف"
"Modern Nation-State","وجوهر الدولة القومية الحديثة"
"Modern Society","عليه المجتمع الحديث"
"Most Seriously Affected","ً والأكثر تأثرا"
"Mother Science","العلم الأم"
"National Sozialistishe Dentsche Arbeiter Partei","كلمة نازي مأخوذة من العبارة الألمانية)NSDAP(أي أي الإشتراكية القومية الألمانية، وهي حركة عرقية شمولية قادها هتلر وهيمنت على مقاليد الحكم في ألمانيا وعلى المجتمع الألماني بأسره، والحركة النازية حركة سياسية وفكرية ظهرت بعد الحرب العالمية الأولى، والسمة الأساسية للنازية هي علمانيتها الشاملة وواحديتها المادية الصارمة وأكدت التفوق العرقي للشعب الألماني على كل شعوب أوروبا وشعوب العالم وأنكروا الطبيعة البشرية"
"Nationalism","الخارج وتعبيرها السياسي القومية"
"Nationalism","مرحلة القومية"
"NATO","/ أنظر الناتو أنظر الناتو"
"Natural Order","أنه مجرد نظام طبيعي"
"Negative","مخرجات رمزية مخرجات سلبية"
"Negative Feedback","تغذية عكسية سلبية"
"Negretude","الزنجية"
"Neo-Nazi Parties","يل الأحزاب النازية الجديدة"
"NESCO","منظمة التربية والعلوم والثقافة التابعة للأمم المتحدة للأمم المتحدة United Nations Eductional, Scientific And Culture Organization"
"New Deal","والحد الجديد والنظام الجديد"
"Niagara Movement","١٩١٠ كامتداد لحركة نياجرا"
"Non-State Actor","لقب العامل غير الدولة"
"Non-Whites","معاناة غير البيض"
"Normal Vote","فكرة الأصوات الع ادية"
"Normative","الأنشطة التالية أنشطة معيارية"
"NSDAP","كلمة نازي مأخوذة من العبارة الألمانية) (أي National Sozialistishe Dentsche Arbeiter Partei أي الإشتراكية القومية الألمانية، وهي حركة عرقية شمولية قادها هتلر وهيمنت على مقاليد الحكم في ألمانيا وعلى المجتمع الألماني بأسره، والحركة النازية حركة سياسية وفكرية ظهرت بعد الحرب العالمية الأولى، والسمة الأساسية للنازية هي علمانيتها الشاملة وواحديتها المادية الصارمة وأكدت التفوق العرقي للشعب الألماني على كل شعوب أوروبا وشعوب العالم وأنكروا الطبيعة البشرية"
"Objectives","الغايات"
"Observable","ممارسات القوة يمكن ملاحظتها"
"Oeganized Groups","الجماعات المنظمة"
"Okuma","جمعية أسسها الكونت أوكوما"
"ONUCA","أمريكا الوسطى"
"Order","قرارات النظام"
"Organic Social Solidarity","السياسي فإن التماسك العضوي"
"Organized Groups","الجماعات المنظمة"
"Orthodoxos","كلمة أصلها أغريقي"
"Orthognathous","والفك غير با رز"
"Outputs Of Regime","اشباع عام بمخرجات النظام"
"Outsiders","هم خارجها"
"Over- Information","الوقت الحاضر إفراط المعلومات"
"Palestine","أنظر فلسطين"
"Pan-African Federation","الحركة اتحاد الجامعة الأفريقية"
"Patrimonial Government","الإدارة الوراثية"
"Peace Enforcement Units","إنشاء وحدات لفرض السلام"
"Peer Group","بريطانيا"
"Peoples Interests Are What They Say They Are","يقولون أنها مصالحهم"
"Permanent System Of General Security","نظام دائم للأمن العام"
"Personal Values","القيم الشخصية"
"Personality System","ومنها نسق الشخصية"
"Pet Of Sandor","الآخرين والسيادة عليهم"
"Planning","والتخطيط"
"Pluralism","إطار التعددية"
"Policies","شكل سياسات"
"Politburo","الأهمية المكتب السياسي"
"Political Activity Or Apathy","المبالاة"
"Political Doctrination","غرس عقيدة سياسية"
"Political Geography","الجيوبولوتيكا"
"Political Phenomenon","تفسير الظاهرة السياسية"
"Political Prop","دعاية سياسية"
"Politicians","الناس الس ياسيون"
"Positive","والمخرجات عادة مخرجات إيجابية"
"Positive Feedback","تغذية عكسية إيجابية"
"Possibility","الرغبة والإمكانية"
"Power And Space Relations","قوة الدولة وعلاقاتها المكانية"
"Power Elite","اتخذتها نخبة القوة"
"Power- Wielders","مستخدمي القوة"
"Practice","الممارسة"
"Prediction","التنبؤ"
"Predictive Model","أنه الأفضل كنموذج تنبؤي"
"President","نظام رئاسي يرأسه الرئيس"
"Pressure Groups","جماعات الضغط"
"Pressure oF Interest Groups","الجماعات ذات المصالح"
"Prince Of Wales","ظهر السفينة"
"Principle Of Nationality","مبدأ الجنسية"
"Private Bodies","هيئات خاصة"
"Probabilistic Generalization","ولذلك هناك التعميم الاحتمالي"
"Producers","المنتجين"
"Production,Distribution& Exchange","وسائل الإنتاج والتوزيع والتبادل"
"Profile","طريق التمثل العام"
"Progressive","وفكر استشرافي"
"Proletariat","طبقة البروليتاريا"
"Proper Health Care","المناسب والعناية الصحية الكاملة"
"Proxy Voting","التصويت التفويضي"
"Public","الجمهور مشترك المصالح"
"Public Intersts","رعاية المصالح العامة"
"Public Opinion, Actual","رأي عام موجود بالفعل"
"Quantitative & Inductive","كميا واستقرائيا"
"Quantitative Tools","القيم باستخدام أدوات كمية"
"Quantity Breeds","وأن الكم ينتج الكيف"
"Race Problem","فيها بوضوح قضية العنصر"
"Rationalization","يدرس أهمية العقلنة"
"Recall","الاستدعاء"
"Reception System","نظام الاستقبال"
"Red Cross","المساعدة الطبية كالصليب الأحمر"
"Reference Groups","جماعات مرجعية"
"Regulation Of Armaments","نزع السلاح وتنظيم التسليح"
"Renaissance","حركة النهضة"
"Renewal","التجدد"
"Representation System","ونظام التمثيل"
"Resilience","بالمرونة والتسامح واستعادة الحيوية"
"Resolution Of Conflicts","ويهدف لحل الصراعات"
"Retionalisation Of Law","العقلنة مسألة عقلنة القانون"
"Revolution","يطيح بالدولة فيسمى ثورة"
"Revolutionary Terrorism","الإرهاب الثوري"
"Right Of Recall","الانتخاب العام وحق الاستدعاء"
"Right To A Job","الحقوق حق العمل"
"Rule By Ellite Groups","الجماعة"
"Rulled Class","الطبقة المحكومة"
"SADCC","التنمية لدول الجنوب الأفريقي"
"SADR","الصحراوية المستقلة درص"
"Sanctioned Choice","اختيار محكوم مقيد"
"Sanctions","مفهوم القوة باستثناء العقوبات"
"Scientific","وفكر علمي"
"Self Concept","ذاته"
"Self-Fulfilling Assertion","نفوس المواطنين"
"Semantic Nets","هيئة شبكات دلالية"
"Semitism","أنظر السامية"
"Senate","مجلس الشيوخ الأمريكي"
"Separated Institutions Sharing Powers","السلطة"
"Settled","يسوى"
"Shopping","التسوق"
"Silver Jubilee","اليوبيل الفضي"
"Single Parties Mass-Based","الواحدة ذات الحشد الجماهيري"
"Slave State","دخول ولايات تبيح الاسترقاق"
"Slavery Per Se","الرق ذاته"
"So-and-so","و هو أعلى مستوى يمكن أن يؤثر على صنع القرار والذي يمكن أن نقول فيه أن كذا وكذا قد قرر شيئا ما Decided Any Thing ” “ It Is Possible To say ، ويصدر عنه أقوى القرارات التي تسمى القرارات الحكومية Government Decisions"
"Social Democratic","اشتراكية ديمقراطية"
"Social Equilibrium","حالة التوازن الاجتماعي الموجود"
"Social Norms","ومنها المعايير الاجتماعية"
"Social System","ومنها النسق الاجتماعي"
"Socialist Parties","أحزاب اشتراكية"
"Socio-Economic Structures","أبنية اجتماعية واقتصادية معقدة"
"Sociological Reduction Of Politics","تصغير سوسيولوجي للسياسة"
"Soose Bipolar System","نظام الاستقطاب الثنائي المرن"
"Sovereign State","الدولي يعتبر الدول المستقلة"
"Sovereignty","السيادة"
"Sovits","انتخابات مجالس السوفيت"
"Speculative & Normative","مدخل تأملي وم عياري"
"Spiritual Faith","القيم الروحية"
"Stable","نقطة الاستقرار"
"Stable Equilibrium","التوازن"
"State- Building","بناء الدولة"
"State-Centric Preception","الدولة مركز العالم"
"States","/ أنظر روسيا أنظر روسيا رابطة الدول المستقلة تضم جمهوريات الإتحاد السوفيتي السابق، وأنش ئت عقب انحلاله في ديسمير ١٩٩١م، وعدد الأعضاء ١٥ دولة، وتضمن اتفاقية الرابطة سيادة كل دولة، وتنص على التعاون في مجالات كثيرة، وفي عام ١٩٩٤م تم الاتفاق على إقامة منطقة للتجارة الحرة بين الدول الأعضاء"
"Structural Strain","التوتر البنائي"
"Sub- System","النظام الفرعي"
"Sufficient Empirical Confirmation","قابلة للإثبات التطبيقي الكافي"
"Super National","القيام بدور فوق دولي"
"Super- Ego","الطفل ناه الأعلى"
"Suspect","أما الظن"
"Syllabuses","طريق المناهج"
"Symbolic","مخرجات رمزية"
"Symbolic Leader","الزعيم الرمزي"
"Synthesis Thesis","ينبثق عنهما تركيب جديد"
"System","وعرفت النظام"
"System-Maintenance","للنظرية منها بقاء النظام"
"System-Persistence","للنظام الاجتماعي استمرار النظام"
"Systematic","وفكر منظومي"
"The Best Integrated Of All Mother Disciplines","النظم البشرية تكاملا"
"The Cops Got All The Power..Rock Aint Much Good Against Thanks","شيئا أمام الدبابات"
"The Public Will","الإرادة العامة"
"The Voice Of The People","صوت الشعب"
"Thesis","تشكل تأكيدا"
"Tight Bipolar System","نظام الاستقطاب الثنائي الم"
"Togetherness","ولديهم شعور بالجماعية"
"Tolerance","واتصف الحزب بالمرونة والتسامح"
"Torts","إلحاق الضرر"
"Totalitarianism","مرتبط بالشمولية"
"Trade Marks","البراءات العلامات التجارية"
"Traditional Society","المجتمع القديم التقليدي"
"Tragets","وعلى الأهداف"
"TRANGO","المنظمات تتخطى الحدود القومية"
"Transational Non - Governmental Organizations","هي المنظمات الدولية التي تضم أشخاص اعتباريين بصفتهم وبعملهم وبمؤسساتهم وليس عن طريق الدول، وهي هيئات خاصة Private Bodies وتقوم بتنظيم كل شيء مثل المناسبات الرياضية العالمية كالاتحاد الدولي لكرة القدم) الفيفا (واللجنة الأوليمبية الدولية، ومثل المساعدة الطبية Medical Aid كالصليب الأحمر Red Cross والهلال الأحمر، وهذه المنظمات تتخطى الحدود القومية TRANGO أو"
"Transformation","التحول"
"Transit Passage","وهناك المرور العابر) الترانزيت وهو ممارسة حرية الملاحة والتحليق وفق الأحكام الموضوعة لغرض واحد هو العبور المتواصل السريع في المضايق المختلفة بين رقعة من البحار العالية أو منطقة اقتصادية خالصة ورقعة أخرى من البحار العالية أو منطقة اقتصادية خالصة، فهو ليس سوى المرور الحر عبر الم ضايق لكافة السفن والطائرات مع عدم جواز إعاقته"
"Transnation","القومية"
"Transnational Phenomena","وخلقت ظاهرة الاتصال الأُممي"
"Transsocietal Politics","المجتمعات"
"Traumatic Psychological Infantilism","يشبه الحالة الطفولية"
"Treaty Ports","عرفت باسم مواني المعاهدات"
"Truce","للقانون الدولي فإن الهدنة"
"Unassembled Masses","تجتمع الجماهير"
"Underdeveloped","أوغير النامية الدول المتخلفة"
"Undeveloped","الدول النامية أوغير النامية"
"UNFE","ومنها قوات الطواريء الثانية"
"Unicameral","مجلس واحد أحادي"
"Unifisation","أجل التوحيد"
"Union-Republican","الوزارات الاتحادية الجمهورية"
"United Nations Eductional, Scientific And Culture Organization","للأمم المتحدة للأمم المتحدة"
"Universal Generalization","التعميم العالمي الكلي"
"Universal Government","وجود حكو مة عالمية"
"Use","مرادفا لمصطلح الاستخدام"
"Valley Of The Queens","وادي الملكات"
"Value Consensus","اتفاق القيم"
"Value System","نظام القيم"
"Virtual Forum","المنتدى الخائلي"
"Voters","فيه الناخبون"
"Voting Booth","حجرة الاقتراع"
"Want","الرغبة"
"War Is The Continuation Of Politics By Other Means","وهي حالة قيام صراع أو صدام عسكري بين قوتين أو دولتين أو جماعتين باستخدام أي نوع من أنواع الأسلحة سواء أكانت تقليدية أم متطورة أو نووية، وهناك عبارة شهيرة تقول عن العلاقة الكلاسيكية بين الغايات السياسية والوسائل العسكرية: ، أي أن القوة تستخدم بصورة عقلانية كوسيلة محدودة لتحقيق أهداف السياسة الخارجية للدولة، وهناك عبارة شهيرة في جميع الحروب التي تمت في العالم بأن هذه الحرب ستكون خاتمة لجميع الحروب War To End All Wars ولا يحدث ذلك أبدا لأن أى حروب تخلف من ورائها حروب أخرى، وهناك حروبا تدعي أنها من أجل الديمقراطية أو للد فاع عن الديمقراطية War For Democracy وهي حجة أو قناع أيدلوجي للقيام بالحرب يخفي حقيقة أسباب الحرب"
"Weighted Voting","التصويت المرجح"
"West Bank","والضقة الغربية لنهر الأردن"
"Women,s Hidden Fear Of Independence","الحياة المستقلة"
"Work Collegues","بريطانيا وزملاء العمل"
"World Economy","اقتصاد عالمي"
"World Empires","إمبراطوريات عالمية"
"Xenophobia","الأجانب والغرباء"
"Yellow Journalism","الصحافة الصفراء"
"Youngest Voters","الناخبين الشباب"
"Yurinki","لها هناك تحت اسم"
