english,arabic
Abecedarian,المبتدئ
Abecedarius,قصيدة شعرية
Abecedary,المبدأ الأوّل أو العضو البدائيّ لأي شيئ
Abed,في الفراش :: طريح الفراش
Abel,آبيل
Abele,نبات الحور الأبيض
Abelia,نبات الـ أبيليا
Abelian,أبيلايان
Abell,مدينة أبيل
Abelson,أبيلسون
Abend,نهاية غير متوقعة لعملية من عمليات الكومبيوتر
Abercrombie,مدينة أبيركرومبي
Aberdeen,أبردين
Aberdevine,عصفور أصفر و أخضر صغير
Abernathy,أبيرناثي
Aberr,يتّجوّل :: يتّوه :: ينحرف :: يضل
Aberrance,الإنحراف :: الضّلال
Aberrancy,الحالة الشّاذّة
Aberrant,شاذ :: زائغ :: ضال :: غاو
Aberrantly,بشذوذ :: بزيغ :: بضلال
Aberrate,الإنحراف عن الطريق السّوي :: الإنحراف عن المتوقّع
Aberration,الاضطراب :: الانحراف :: الشذوذ :: الضلال
Aberrational,متعلّق بالاضطراب
Aberrations,الاضطرابات :: الشّذوذ :: الزّيغ
Aberuncate,يتخلّص من
Abet,يغري :: يحرّض
Abetment,التحريض :: الإغواء
Abets,يحرّض :: يُغْوي
Abetted,حرّض :: أغوى
Abetter,المحرّض :: المُغْوي
Abetting,التّحريض :: الإغواء
Abettor,المحرّض :: المُغْوي
Abeyance,تعليق مؤقت :: توقيف لمدة محدودة
Abeyant,معطّل :: معلّق
Abhominal,غير إنساني
Abhor,يمقُت :: يشمئز من :: يمقُت بشدة
Abhored,مَقَتَ :: اشمئزّ من :: كره بشدّة
Abhores,يمقُت :: يكره بشدّة :: يشمئز من
Abhoring,المَقْت :: الكُرْه :: الإشمئزاز
Abhorred,مَقَتَ :: كَره بشدّة :: اشمئزّ من
Abhorrence,المَقْت :: الإشمئزاز :: الكُرْه
Abhorrent,ممقوت :: كريه :: مشمئز
Abhorrently,بشكل ماقت :: بشكل كريه :: بصورة مشمئزّة
Abhorrer,الماقت :: الكاره :: المشمئز
Abhorrible,كريه
Abhorring,المَقْت :: الكُرْه :: الإشمئزاز
Abhors,يمقُت :: يكره بشدّة :: يشمئز من
Abiathar,أبياثار - ابن أهيميليتش الكاهن الأكبر
Abib,أبيب - الشّهر الأوّل من السنة الكنائسيّة اليهوديّة
Abid,يستمر :: يبقى ثابتا :: يبقى مع
Abidance,التزام :: حرص :: تقيّد
Abide,يقيم :: يثبت
Abided,أقام :: التزم
Abider,الباقي :: الملتزم
Abides,يقيم :: يلتزم
Abiding,الإقامة :: الإلتزام :: دائم :: ثابت
Abidingly,بثبات :: بالتزام
Abidjan,أبيدجان
Abie,مدينة أبي
Abiel,أبيل - الإله الأب
Abience,الرّغبة في الإنسحاب :: الرّغبة في عدم التّعرض لموقف معيّن
Abient,إنسان يتجنّب المواجهة
Abies,شجرة الأبيس
Abietic,متعلق بشجرة الإبيس
Abiezer,مقدّم يد العون
Abigail,الجارية :: الوصيفة
Abijam,أب البحر
Abilene,أبيلين
Abilities,القدرات :: المؤهلات
Ability,القدرة :: اقتدار :: إمكان :: ملَكَة
Abime,الهاوية
Abington,مدينة أبينجتون
Abiogenesis,التطوّر المفترض للكائنات الحيّة من المادّة الميتة
Abiological,متعلّق بدراسة الأشياء الغير حيّة
Abirritation,الضّعف :: الوهن
Abital,أب النّدى
Abitub,أب الطّيبة
Abject,مُشفق :: مُذل :: مُقنط
Abjection,الحقارة
Abjectly,بذلّ :: بوضاعة
Abjectness,الإنحطاط :: الذّل
Abjudicate,يرفض بطريقة قانونية
Abjudication,الرّفض عن طريق القانون
Abjugate,يحرر
Abjunctive,متميّز :: إستثنائي
Abjuration,التّبرّؤ :: إنكار الفعلد السّابق
Abjure,انبذ :: تبرّأ من
Abjured,نبذ :: تبرّأ من
Abjurer,تبرّأ من فعل سابق :: نَبَذَ
Abjures,ينبذ :: يتبرّأ من فعل سابق
Abjuring,النّبذ :: التبرّؤ من فعل سابق
Ablactate,يفطم عن الرّضاعة :: فطم :: يفتصل
Ablate,يختفي خلال التّآكل أو التّبخّر
Ablated,ذاب :: تبخّر :: إختفى
Ablates,يذوب :: يتبخّر :: يختفي
Ablating,الذّوبان :: التّبخّر :: الإختفاء
Ablation,الاستئصال عن طريق الجراحة
Ablative,صيغة الجرّ :: متعلّق بصيغة الجر
Ablatively,بشكل إستئصالي
Ablaut,الحرف المتحرّك
Ablaze,مشتعل :: ملتهب :: متّقِد
Able,قادر :: مؤهّل :: القادر :: البارع
Able-bodied,يتمتّع بجسم سليم
Ablebodied,يتمتّع بجسم سليم
Ablegate,ممثّل عن البابا
Ableism,التمييز بين الناس بناء على المقدرة الجسمية
Ablen,أبلين - سمك نهريّ صغير
Ableness,القدرة :: قدرة الجسم او العقل :: قوّة الشّباب :: الحيويّة :: النّشاط
Ablepharia,غياب جفون العين
Abler,أكثر قدرةً :: أكثر نشاطاً :: أكثر حيويّةً
Ablest,الأكثر قدرة :: الأكثر حيوية :: الأكثر نشاط
Abligate,يقيّد
Abligurition,الإنفاق المفرط على الطّعام
Ablins,ربّما
Abloom,في حالة إزهار :: متفتّح :: مزدهر
Ablude,يختلف عن
Abluent,مُنظِّف :: دواء مطهر :: مطهر
Ablush,محمر خجلاً
Ablution,الوضوء - كما الضوء إستعداداً للصلاة لدى المسلمين
Ablutions,الوضوء - كما الضوء إستعداداً للصلاة لدى المسلمين
Ably,ببراعة :: بشكل متمكّن
Abmho,جرام-سنتيمتر-في الثانية :: وحدة التوصيل الكهربي
Abnegate,انكر :: حرم :: رفض :: تخلّى :: تنازل
Abnegated,انكر :: حرم :: رفض :: تخلّى :: تنازل
Abnegates,ينكر :: يحرم :: يتنازل :: يتخلّى عن
Abnegating,الإنكار :: التّخلى :: التّنازل عن
Abnegation,الزّهد :: التّنازل :: النّكران :: التّنسّك
Abnegator,المُنْكِر :: الزّاهد :: المُتنسّك
Abner,أبنر
Abnodate,يحل التداخلات والتشابكات
Abnormal,شاذّ :: غير طبيعي :: مختلّ العقل
Abnormalities,العيوب :: التّصرّفات الشّاذّة :: الغرابة :: التّخلّف :: الحالات الشّاذّة
Abnormality,العيب :: الشّذوذ :: الغرابة :: الخروج عن المعهود
Abnormally,على نحو شاذّ :: بشكل غير سوي :: بصورة شاذة
Abo,أحد السّكّان الأصليّين لأستراليا
Aboard,بالدّاخل :: بجانب :: على ظهر المركب :: قرب :: جزء من مجموعة
Abode,المنزل :: المسكن :: المقر
Abodes,المنازل :: المساكن :: البيوت
Aboding,النّذير
Abolish,ألغ :: يلغي :: يبطل :: يزيل
Abolishable,قابل للإلغاء :: ممكن إبطاله :: ممكن إلغاؤه :: ممكن القضاء عليه
Abolished,ألغى :: أبطل :: أزال :: قضى على
Abolisher,المبطل :: المُلغي :: القاضي على
Abolishes,يلغي :: يُبْطِل :: يقضي على
Abolishing,الإلغاء :: الإبطال :: القضاء على
Abolishment,الإلغاء :: الإبطال :: القضاء على
Abolition,الإلغاء :: الإبطال :: القضاء على
Abolitionism,سياسة إبطال الاسترقاق :: الإبطالية :: الإلغائية
Abolitionist,مؤيّد القضاء على العنصريّة
Abolitionists,المؤيّدون للقضاء على العنصريّة
Aboma,أبوما - حيّة كبيرة في جنوب أمريكا
Abomasum,القسم الرّابع من معدة حيوان مجتر حيث يتم الهظم
Abominable,رديء :: كريه :: بغيض :: مقيت
Abominably,بشكل عدائي وحاقد
Abominate,اكره :: كره :: مقت :: شائن
Abominated,كره :: مقت
Abominates,يكره :: يمقت
Abominating,الكره :: البغض :: المقت
Abomination,المكروه :: شيء بغيض :: شنعة :: استنكار :: فحشاء
Abominations,المكروهات :: الشّناعة :: الفحشاء
Aboon,فوق الشيء
Abor,أبور - أحد لغات كاماربان الغير معروفة
Aborad,بعيداً عن الفم
Aboral,ببعد عن الفم
Abord,يقترب :: يتّصل
Aboriginal,أحد السّكّان الأصليّين :: بدائي :: أولي :: أصلي
Aboriginally,بدائيا :: أصليا
Aborigine,أحد السّكّان الأصليّين في استراليا
Aborigines,السّكّان الأصليّين في استراليا
Aboriginess,الشعب الأصلي في قارة أستراليا
Aborning,أثناء الولادة
Abort,اجهض :: أحبط :: يجهض :: يضع حداً :: يوقف عن النمو
Aborted,أجهض :: أوقف عن النّمو :: وضع حدّاً
Aborter,مُجهض
Abortifacient,مصل يسبب الإجهاض
Aborting,الإجهاض :: إيقاف النّمو
Abortion,الإجهاض :: الإسقاط :: إسقاط الجنين :: الجهيض
Abortional,إجهاضي :: متعلّق بالإجهاض او إسقاط الجنين
Abortionist,إخصائيّ الإجهاض :: المُجْهض
Abortions,الإجهاض :: فشل الخطّة
Abortive,فاشل :: حابط :: مخفق :: ناقص
Abortively,على نحو فاشل :: بصورة غير مثمرة
Abortiveness,الإجهاض :: الإخفاق :: الفشل في إتمام المهمّة
Aborts,يجهض :: يتوقّف عن أداء المهمّة
Abortus,الجنين البشريّ الملفوظ من قبل رحم الأم
Abound,كثّر :: فاض :: يسود :: يغزر :: يكثر
Abounded,أكثر في :: ساد :: غزّر
Abounding,الكثرة :: متوفّر بكثرة :: غزير
Abounds,يُكثر :: يُوفّر :: يُغدق
About,تقريبًا :: حوالي :: حول :: زهاء :: عن
About-face,الإستدارة 180 درجة :: العدول عن رأي
Above,لأعلى :: أعلاه :: فوق :: وراء
Above-ground,حيّ يرزق
Above-mentioned,المذكور أعلاه
Aboveboard,صريح :: جهاراً :: صراحة :: علانية
Aboveground,سطحيّ :: حي :: فوق سطح الارض :: موجود
Abovementioned,المذكور أعلاه :: السّابق الذِّكر
Abovesaid,المذكور أعلاه
Abp,رئيس الأساقفة
Abr,معدّل سرعة الإتّصال الأوتوماتيكي
Abra,المجرى الضّيّق
Abracadabra,التّمتمة و الهراء :: تعويذة :: كلام غير مفهوم
Abradant,أداة تنعيم كما ورق الصنفرة
Abrade,ينكشط :: يفرك بقوّة :: يتوارى :: يضرب :: سحج :: برى :: كشط :: يبري
Abraded,انكشط :: حكّ :: ضرب :: برى
Abrader,كاشط :: الحاكّ :: الضّارب
Abrades,يكشطْ :: يحكّ :: يضرب
Abrading,الكشْط :: الحكّ :: الضّرب :: البريْ
Abraham,السيد إبراهيم أبو الأنبياء
Abrahamitic,متعلّق بإبراهام البطريرك
Abraid,يوقض :: ينبّه :: يثير
Abram,أبرام
Abrams,أبرامز
Abramson,أبرامسون
Abrase,يتآكل
Abrasion,الجرح :: الحك :: السحج :: الكشط
Abrasions,الجروح :: التآكلات :: الحك
Abrasive,المزيل :: الحاك :: الكاشط :: مادة كاشطة :: وقح
Abrasively,بخشونة :: بصورة كاشطة
Abrasiveness,الحكّ :: الخشونة :: الكشط
Abrasives,المزيلات :: المنظّفات :: الكواشط
Abraum,مادة الأبروم
Abraxas,تعويذة حظ لدى الفراعنة
Abray,يوقض :: ينبّه :: يثير
Abreact,حرّر :: إزال العقد :: نفّس :: صرّف :: تفريج نفساني
Abreacted,حرّر :: إزال العقد :: نفّس :: صرّف :: فرّج نفسياً
Abreacting,تخليص من العقد :: التّصريف النفسي :: التفريج النفسي
Abreaction,تحرّر من عقدة نفسيّة :: تفريج نفساني :: تنفيس
Abreactions,تحرّر من عقدة نفسيّة :: تفريج نفساني :: تنفيس
Abreacts,يحرّر :: ينفّس :: يتحرّر نفسيّاً
Abreast,جنبًا إلى جنب :: متمشياً مع :: من جانب واحد
Abridge,اختصر :: أوجز :: قصّر :: يختصر :: يقصر :: يقلل من :: حرم :: فصل :: لخّص
Abridged,اختصر :: مختصر :: مقصَّر :: ملخص :: موجز
Abridgement,الاختصار :: الموجز :: الملخّص
Abridgements,الاختصارات :: الموجز :: الملخّص
Abridger,المُلخّص :: المُوجز :: المُقصّر
Abridges,يختصر :: يوجز :: يلخّص
Abridging,الاختصار :: الإيجاز :: التلخيص
Abridgment,الاختصار :: الإيجاز :: الإختزال
Abroach,مبزول :: مفتوح :: مثقوب
Abroad,بالخارج :: باتساع :: خارج البلاد :: في كل اتجاه :: فوق مساحة واسعة
Abrogate,ألغ :: أبطل :: يبطل :: يلغي :: فسخ
Abrogated,ألغى :: فسخ :: أبطل
Abrogates,يلغي :: يبطل :: يفسخ
Abrogating,الإلغاء :: الفسخ :: الإبطال
Abrogation,الإلغاء :: الفسخ :: الإبطال :: إنقطاع مفاجيء
Abronia,شجيرة الـ أبرونيا
Abrupt,مفاجئ :: متقطع :: غير مرتبط :: شديد الإنحدار
Abruption,الانقطاع :: توقف مفاجئ
Abruptly,فجأةً :: على عجل
Abruptness,المفاجأة :: فظاظة :: مباغتة :: عدم ترابط
Abrus,شجيرة الـ أربس
Abruzzi,منطقة جبليّة في وسط إيطاليا
Absalom,أبسالوم - إبن الملك داود
Abscess,الدّمّل :: خرّاج
Abscessed,مصاب بخرّاج :: فيه خرّاج
Abscesses,الدّمامل
Abscession,الفصل :: العزل :: الخرّاج :: الإزالة
Abscind,يعزل :: يفصل
Abscise,يفصل :: يعزل :: يزيل
Abscision,الفصل :: العزل :: القطع :: البتر
Abscissa,الإحداثيّ السّينيّ
Abscissae,الإحداثيات
Abscissas,الإحداثيّات السّينيّة
Abscission,الفصل :: العزل :: البتر :: القطع :: إنقطاع مفاجيء
Abscond,اهرب :: هرب :: فرّ :: فرّ سرّاً :: إستخفى
Absconded,هرب :: فرّ :: فرّ سرّاً :: إستخفى
Abscondence,الإختباء :: الإخفاء :: الإختفاء سرّاً
Absconder,المختفي :: الهارب
Absconding,الهروب :: الإختفاء سرّاً
Abscondment,الهروب خفية :: الإختفاء
Absconds,يهرب سرّاً :: يختفي
Absence,الغياب :: انعدام :: فقدان :: شرود
Absences,الغياب :: انعدام :: فقدان :: شرود
Absent,غائب :: مفقود :: غير موجود :: معدوم
Absent-minded,شارد الذّهن :: المذهول :: مشغول البال
Absent-mindedly,بذهن شارد :: ببال مشغول :: بذهول
Absented,غاب عن
Absentee,الغائب :: المتغيّب
Absenteeism,الغياب :: التغرب :: التغيب :: حالة التّغيّب عن العمل او أداء الواجب
Absentees,الغائبون :: المتغيّبون
Absentia,عن غيب كما النّطق بالحكم والمتّهم غير حاضر
Absenting,الغياب :: عدم الحضور او الظّهور
Absently,بذهول :: بذهن شارد
Absentminded,شارد الذّهن :: تائه :: غافل
Absentmindedly,بذهول :: بذهن شارد :: بتيه
Absentmindedness,الشّرود :: الذهول (السهو) :: العقل الشّارد
Absents,يغيب :: لايظهر :: لايحضر
Abset,أبسيت - لغة للبرمجة
Absinth,نبات الأبسنث
Absinthe,شراب مسكر :: نبتة تستعمل كعقار طبّي
Absinthium,نبات الأبسنث
Absis,القبا :: جزء ناتيء مزخرف :: مبنى نصف دائري
Absist,يقف بعيداً عن :: يغادر :: يقلع عن :: يتخلّى عن
Absolute,مطلق :: حتمي :: خالص :: كامل :: مُطبق
Absolutely,تماماً :: إطلاقاً :: تماماً :: حتماً :: على نحو جازم
Absoluteness,الحقيقة المطلقة
Absolution,الغفران :: إعفاء :: حل من واجب :: تبرئة
Absolutism,الاستبداد :: حكم ديكتاتوري مطلق :: نظريّة سياسيّة
Absolutist,المستبدّ :: الطّاغية :: المؤيّد للإستبداد
Absolutory,إعفائي :: غفراني
Absolvable,قابل للغفران :: قابل للتّبرئة او العفو
Absolve,أعف :: برأ :: يبرئ :: يحلل :: غفر
Absolved,أعفى :: برّأ :: غفر :: حلّل
Absolver,المبرئ :: العافي عن :: الغافر
Absolves,يعفي :: يبرّيء :: يغفر
Absolving,الإعفاء :: الغفران :: التّبرأة
Absonous,نشاز :: متضارب :: متنافر النغمات :: متعارض
Absorb,امتصّ :: تشرّب :: يتشرب :: يمتص
Absorbability,قابليّة الامتصاص :: الامتصاصية :: التشربية
Absorbable,قابل للامتصاص :: قابل للتشرب
Absorbed,امتصّ :: تشرّب :: مستغرق :: منهمك
Absorbedly,بانشغال :: بانهماك
Absorbency,القدرة على التشرب :: ممتصية
Absorbent,ممتصّ :: ماص :: نشاف
Absorbents,الأعضاء الماصة :: المواد القابلة للإمتصاص
Absorber,الممتصّ :: مادة تقوم على إمتصاص الإشعاع النووي في المفاعل الذّري
Absorbing,مشوّق :: مستحوذ عليه :: مستغرق للاهتمام
Absorbingly,بصورة قابلة للامتصاص :: بصورة شادّة للإنتباه
Absorbition,الانهماك :: استغراق :: استيعاب :: امتصاص :: انشغال
Absorbs,يمتصّ :: يستوعب :: يتحمّل تكاليف
Absorptance,قياس لمعدّل انخفاض الإشعاع الكهرومغناطيسي
Absorption,الانهماك :: عمليّة كيميائيّة حيث تقوم مادّة بتخلل مادّة اخرى :: الإمتصاص :: الإستيعاب
Absorptive,ماصّ :: ذو قدرة او خاصّية لإمتصاص السّوائل
Absorptiveness,صفة الكائن ذو الخاصّيّة الماصّة للسوائل او المستوعبة
Absquatulate,سرق شيئاً وفرّ هارباً
Abstain,امتنع :: يمتنع :: ينفك
Abstained,امتنع عن تناول كذا وكذا :: امتنع عن التّصويت
Abstainer,الممتنع عن تناول كذا وكذا :: محجم :: ممتنع :: ممسك
Abstaining,الامتناع عن :: الإحجام عن
Abstains,يمتنع عن تناول كذا وكذا :: يمتنع عن التّصويت
Abstemious,متقشّف :: متعفف :: متقلل
Abstemiously,بصورة متقشّفة :: بتعفّف
Abstemiousness,الزّهد :: التّقشّف :: التّعفّف
Abstention,الامتناع :: إقلاع عن :: إمساك :: انقطاع :: زهد
Abstentions,الامتناع :: إقلاع عن :: إمساك :: انقطاع :: زهد
Abstentious,ممتنع :: امتناعي :: إمساكي
Absterge,طهّر :: يطهر :: ينظف
Abstergent,المادّة المنظّفة :: مطهر
Abstersion,التنظيف :: التطهير
Abstersive,منظّف :: مطهّر
Abstinence,التّقشّف :: تعفف :: عفّة
Abstinency,التّقشّف :: التّعفّف :: العفّة
Abstinent,متقشّف :: متعفّف
Abstinently,بتقشّف :: بتعفّف
Abstract,الخلاصة :: تجريدي :: مثالي :: مجرد
Abstracted,مذهول :: شارد الذهن
Abstractedly,على نحو شارد :: بذهول :: بشرود ذهن
Abstractedness,الشّرود :: التّركيز على شيئ معيّن ونسيان كل شيئ اخر
Abstracter,المُلخِّص :: المُختزل :: القائم على عمليّة الإختصار
Abstracting,التّلخيص :: الإزالة :: العزل
Abstraction,الفكرة المجرّدة :: تجريد :: اختلاس :: تلخيص :: شرود الذهن
Abstractionism,التّجريديّة :: عرض الشيئ بدون الإستدلال بأي مرجع
Abstractionist,متخصص في الفن التّجريدي
Abstractions,الأفكار المجرّدة :: الاختلاس :: التجريد :: تجريد الفكرة :: التلخيص :: الذهول
Abstractive,تجرّديّ :: تلخيصي
Abstractly,على نحو تجرّديّ :: بصورة تجريدية :: من وجهة نظرية
Abstractness,التّجريديّة :: التّجرّد
Abstractor,القائم على تلخيص المعلومات او الوثائق
Abstracts,الخلاصة :: يلخّص :: يجرّد :: يختلس
Abstruse,صعب :: عميق :: عويص :: مبهم
Abstrusely,بصعوبة
Abstruseness,الصّعوبة :: عدم الوضوح
Absumption,الإستهلاك :: اندثار :: فناء :: إخماد :: إطفاء :: انقراض
Absurd,أحمق :: باطل :: لامعقول
Absurdities,السّخف :: الحماقة
Absurdity,السّخف :: حماقة :: سخافة
Absurdly,بصورة غير طبيعيّة :: بسخف :: بحماقة
Absurdness,السّخف :: منافاة العقل
Absys,أبسيس - لغة برمجية
Abu,أبو
Abuilding,قيد البناء :: قيد الإنشاء
Abulia,فقدان الإرادة :: فقدان القوة
Abulic,فاقد الإرادة :: فاقد القوة
Abuna,أبونا القسيس :: عميد الكنيسة الحبشيّة
Abundance,الكثرة :: غزارة :: وفرة
Abundant,وفير :: غزير :: كثير
Abundantly,بوفرة :: بغزارة
Abusable,قابل لإساءة الإستعمال
Abuse,سوء الاستغلال :: ابتذال :: شتيمة :: يسيء استعمال :: يشتم :: عابث
Abused,استغلّ :: أساء استعمال :: عبث :: شتم
Abuser,المستغلّ :: الشّاتم :: العابث
Abusers,المستغلّون :: العابثون :: الشّاتمون
Abuses,سوء الاستغلال :: يشتم :: الشّتيمة
Abusing,الاستغلال :: الشتيمة :: العبث
Abusion,إساءة الإستعمال :: يخدع :: يسيئ استعمال :: الخديعة :: خطأ
Abusive,بذيء :: سفيه :: فاسد :: مؤذ
Abusively,على نحو بذيء :: بسفالة :: بأذى :: بفساد
Abusiveness,الوقاحة :: سفاهة :: بذاءة
Abut,يتاخم :: يرتكز على
Abutilon,نبات الأبوطيلون
Abutment,متاخمة :: محاذاة :: ملتقى شيئين
Abutments,الدّعائم
Abuts,يتاخم :: يرتكز على
Abuttal,أطراف أو حدود اﻷرض
Abutted,تاخم :: شارك في نفس الحدود
