"English Term","Arabic Term","Category"
"Adam","آدم","religious_names"
"Eve","حواء","religious_names"
"Cain","قابيل (قايين)","religious_names"
"Abel","هابيل","religious_names"
"Noah","نوح","religious_names"
"Jonah","يونس (يونان)","religious_names"
"Job","أيوب","religious_names"
"Terah","أزر (تارح)","religious_names"
"Abraham","إبراهيم","religious_names"
"Lot","لوط","religious_names"
"Isaac","إسحق","religious_names"
"Ishmael","إسماعيل","religious_names"
"Jacob (Israel)","يعقوب (إسرائيل)","religious_names"
"Joseph","يوسف","religious_names"
"Moses","موسى","religious_names"
"Aaron","هارون","religious_names"
"Korah","قارون","religious_names"
"Joshua","يوشع","religious_names"
"Judas Iscariot","يهوذا الاسخريوطي","religious_names"
"Saul","شاؤول","religious_names"
"David","داود","religious_names"
"Solomon","سليمان","religious_names"
"Zacharias","زكريا","religious_names"
"Peter","بطرس","religious_names"
"John","يوحنا","religious_names"
"Mark","مرقس","religious_names"
"Matthew","متى","religious_names"
"Luke","لوقا","religious_names"
"John the Baptist","يحيى (يوحنا المعمدان)","religious_names"
"Alexander (The Great)","الإسكندر الأكبر","historical_figures"
"Ptolemy","بطليموس","historical_figures"
"Menes","مينا","historical_figures"
"Cheops","خوفو","historical_figures"
"Chefren","خفرع","historical_figures"
"Menkau Ra","منقرع","historical_figures"
"Amenophis IV (Akhnaton)","أمنحتب الرابع (أخناتون)","historical_figures"
"Heraclius","هرقل","historical_figures"
"Hippocrates","أبقراط","historical_figures"
"Herodotus","هيرودوت","historical_figures"
"Caesar","قيصر","historical_figures"
"Galen","جالينوس","historical_figures"
"Cicero","شيشرون","historical_figures"
"Hathor","حتحور","historical_figures"
"Horus","حورس","historical_figures"
"Amasis","أحمس","historical_figures"
"Averroes","ابن رشد","historical_figures"
"Avicenna","ابن سينا","historical_figures"
"Alhazen","ابن الهيثم","historical_figures"
"Avenzoar","ابن زهر","historical_figures"
"Avenpace","ابن باجة","historical_figures"
"Abulcasis","الزهراوي","historical_figures"
"Saladin","صلاح الدين (الأيوبي)","historical_figures"
"Nebuchadnezzar","نبوخذنصر","historical_figures"
"Darius","دارا","historical_figures"
"Cyrus","قورش","historical_figures"
"Cambyses","قمبيز","historical_figures"
"Xerxes","أخشورس","historical_figures"
"Chosroes","خسرو (كسرى)","historical_figures"
"Genghis Khan","جنكيز خان","historical_figures"
"Hulago","هولاكو","historical_figures"
"Achilles","أخيل","historical_figures"
"Homer","هوميروس","historical_figures"
"Socrates","سقراط","historical_figures"
"Plato","أفلاطون","historical_figures"
"Aristotle","أرسطو","historical_figures"
"Pythagoras","فيثاغورث","historical_figures"
"Plotinus","أفلوطين","historical_figures"
"the Franks","الفرنجة","nations_dynasties"
"the Romans","الروم","nations_dynasties"
"the Persians","الفرس","nations_dynasties"
"the Visigoths","القوط الغربيون","nations_dynasties"
"the Mongols","المغول","nations_dynasties"
"the Shiites","الشيعة","nations_dynasties"
"Sunnis","السنة","nations_dynasties"
"Kharijites","الخوارج","nations_dynasties"
"Rightly-Guided (Orthodox) Caliphs","الخلفاء الراشدون","nations_dynasties"
"Omayyads","الأمويون","nations_dynasties"
"Abbassids","العباسيون","nations_dynasties"
"Fatimids","الفاطميون","nations_dynasties"
"Ottomans","العثمانيون","nations_dynasties"
"Karmatians","القرامطة","nations_dynasties"
"Hashemites","الهاشميون","nations_dynasties"
"Norman Conquest","الفتح النورماندي","wars_battles"
"First World War","الحرب العالمية الأولى","wars_battles"
"Second World War","الحرب العالمية الثانية","wars_battles"
"Korean War","الحرب الكورية","wars_battles"
"Vietnamese War","حرب فيتنام","wars_battles"
"the Tripartite Aggression","العدوان الثلاثي","wars_battles"
"the Six-Day War","النكسة","wars_battles"
"War of Attrition","حرب الاستنزاف","wars_battles"
"Yom Kippur War","حرب أكتوبر","wars_battles"
"the First Gulf War (Invasion of Kuwait)","غزو الكويت","wars_battles"
"the Second Gulf War","حرب تحرير الكويت","wars_battles"
"the Third Gulf War (Invasion of Iraq)","غزو العراق","wars_battles"
"Battles of the Prophet","غزوات الرسول","wars_battles"
"Battle of Badr","غزوة بدر","wars_battles"
"Expedition of Mu'tah","سرية مؤتة","wars_battles"
"Conquest of Makkah","فتح مكة","wars_battles"
"Wars against Apostasy","حروب الردة","wars_battles"
"War against the Kharijites","الحرب ضد الخوارج","wars_battles"
"Wars of Conquest","حروب الفتح","wars_battles"
"The Arab Conquest","الفتح العربي","wars_battles"
"the Crusades","الحروب الصليبية (حرب الفرنجة)","wars_battles"
"Guerilla Warfare","حرب العصابات","wars_battles"
"Hit and Run Tactics","الكر والفر","wars_battles"
"Battle of the Nile","معركة أبوقير البحرية","wars_battles"
"Battle of Trafalgar","معركة الطرف الأغر","wars_battles"
"Austria","النمسا","places"
"Switzerland","سويسرا","places"
"Hungary","المجر","places"
"Bosnia and Herzegovina","البوسنة والهرسك","places"
"Mesopotamia","بلاد ما بين النهرين","places"
"Russia","روسيا","places"
"Belarus","روسيا البيضاء","places"
"Sri Lanka","سيلان (سريلانكا)","places"
"Egypt","مصر","places"
"Cairo","القاهرة","places"
"Alexandria","الإسكندرية","places"
"Hurghada","الغردقة","places"
"Luxor","الأقصر","places"
"Damietta","دمياط","places"
"Rosetta","رشيد","places"
"Algeria","الجزائر (الدولة)","places"
"Algiers","الجزائر (العاصمة)","places"
"Gibraltar","جبل طارق","places"
"Casablanca","الدار البيضاء","places"
"Pacific Ocean","المحيط الهادي","places"
"Montenegro","الجبل الأسود","places"
"Greece","اليونان","places"
"Sicily","صقلية","places"
"Cyprus","قبرص","places"
"Oxus","(نهر) سيحون","places"
"Jaxartes","(نهر) جيحون","places"
"Euphrates","(نهر) الفرات","places"
"Tigris","(نهر) دجلة","places"
"Alhambra","(قصر) الحمراء","places"
"Toledo","طليطلة","places"
"Seville","أشبيلية","places"
"Granada","غرناطة","places"
"Cordova","قرطبة","places"
"Lisbon","لشبونة","places"
"Castile","قشطالة","places"
"Ctesiphon","المدائن","places"
"Constantinople","الأستانة (القسطنطينية)","places"
"Venice","البندقية (فينيسيا)","places"
"Lebanon","لبنان","places"
"Syria","سوريا","places"
"Damascus","دمشق","places"
"Antioch","أنطاكية","places"
"Jerusalem","القدس (أورشليم)","places"
"Hebron","الخليل","places"
"Jericho","أريحا","places"
"Aleppo","حلب","places"
"Latakia","اللاذقية","places"
"Tyre","صور","places"
"Acre","عكا","places"
"Beersheba","بئر سبع","places"
"Tiberias","طبرية","places"
"Tangier","طنجة","places"
"Morocco","المغرب","places"
"Tripoli","طرابلس","places"
"Oran","وهران","places"
"Persian Gulf","الخليج العربي","places"
"Burma → Myanmar","بورما → ميانمار","country_renames"
"Moldavia → Moldova","مولدافيا → مولدوفا","country_renames"
"Upper Volta → Burkina Faso","فولتا العليا → بوركينا فاسو","country_renames"
"Ceylon → Sri Lanka","سيلان → سريلانكا","country_renames"
"British Honduras → Belize","هندوراس البريطانية → بليز","country_renames"
"Dahomey → Benin","داهومي → بنين","country_renames"
"Belgian Congo → Zaire → Congo","الكونغو → زائير → الكونغو","country_renames"
"Urundi → Burundi","أوروندي → بوروندي","country_renames"
"Byelorussia → Belarus","روسيا البيضاء → بيلاروس","country_renames"
"Ivory Coast → Côte d'Ivoire","ساحل العاج → كوت ديفوار","country_renames"
"come a cropper","يقابل بكارثة، ينكفي على وجهه","idioms"
"of no avail","بلا طائل، بدون جدوى","idioms"
"in cold blood","مع سبق الإصرار والترصد","idioms"
"bury the hatchet","ينسى الخلافات السابقة","idioms"
"in the cart (basket)","في موقف حرج","idioms"
"catch someone napping","يفاجئه، يأخذه على غرة","idioms"
"rain cats and dogs","يمطر بغزارة","idioms"
"Hobson's choice","إرغام، إجبار","idioms"
"clear as crystal","واضح جداً (واضح كالشمس)","idioms"
"with flying colours","منتصراً","idioms"
"cool as a cucumber","هادئ تماماً","idioms"
"cudgel (rack) one's brains","يعتصر مخه","idioms"
"at daggers drawn with","في نزاع مع","idioms"
"on the horns of a dilemma","حائر (في حيص بيص)","idioms"
"in the doldrums","مكتئب","idioms"
"at loose ends","لا يجد ما يشغله","idioms"
"on edge","عصبي، متوتر","idioms"
"make the grade","ينجح","idioms"
"rub shoulders with","يخالط","idioms"
"at one's fingertips","في متناول يده","idioms"
"yellow livered","جبان","idioms"
"flat denial","إنكار تام","idioms"
"to get the better of someone","غلبته، انتصرت عليه","idioms"
"to weather the storm","يتحمل العاصفة","idioms"
"snowed under by","مقهور، مغلوب على أمره","idioms"
"by fits and starts","بطريقة متقطعة","idioms"
"in black and white","كتابةً","idioms"
"the apple of someone's eye","قرة عينه","idioms"
"to turn someone out bag and baggage","طرده بقضه وقضيضه","idioms"
"to blow the gaff","يفشى السر","idioms"
"kick the bucket","مات، توفى","idioms"
"a chip on one's shoulder","نقطة ضعف يتخفى وراءها بالاستعداد الدائم للعراك","idioms"
"murder of the first degree","قتل مع سبق الإصرار والترصد","legal_terms"
"manslaughter","قتل خطأ / قتل دفاعاً عن النفس","legal_terms"
"summary trial","محاكمة صورية قصيرة","legal_terms"
"summary dismissal","فصل فوري","legal_terms"
"the ruling junta","الطغمة الحاكمة","political_terms"
"repatriation","إعادة الشخص إلى بلاده","political_terms"
"desertification","تصحير","political_terms"
"privatisation","خصخصة","political_terms"
"globalisation","عولمة","political_terms"
"Islamophobia","الخوف من الإسلام","political_terms"
"satire","فن السخرية الأدبي","literary_terms"
"sarcasm","التهكم","literary_terms"
"lambasting","الهجوم المباشر","literary_terms"
"pillorying","الفحص المقذع أو التشهير","literary_terms"
"irony","التورية الساخرة / المفارقة الساخرة","literary_terms"
"paradox","المفارقة أو التناقض الظاهري","literary_terms"
"cynicism","السخرية بالقيم / الاستخفاف بالقيم","literary_terms"
"euphemism","تلطيف الكلام / الكناية لتخفيف وقع الكلمة","literary_terms"
"comedy","كوميديا (الملهة)","literary_terms"
"tragedy","تراجيديا (المأساة)","literary_terms"
"drama","دراما (التمثيل/المسرح)","literary_terms"
"farce","الفارس (المهزلة)","literary_terms"
"sophistication","حنكة","literary_terms"
"sophisticated","محنك","literary_terms"
"quixotic","خيالي، وهمي، غير عملي","literary_terms"
"Caesarean section","العملية القيصرية","eponyms"
"Chauvinism","الشوفينية (الوطنية المتطرفة)","eponyms"
"Dolby","نظام دولبي (الصوت)","eponyms"
"Gladstone","حقيبة جلادستون","eponyms"
"Derby (hat)","قبعة دربي","eponyms"
"Silhouette","رسام سيلويت","eponyms"
"platonic love","حب أفلاطوني (الحب العذري)","eponyms"
"Pyrrhic victory","انتصار مكلف جداً","eponyms"
"Pierian springs","نبع المعرفة","eponyms"
"Archimedean screw","طنبور أرشميدس","eponyms"
"USA (United States of America)","الولايات المتحدة الأمريكية","abbreviations"
"FBI (Federal Bureau of Investigation)","مكتب التحقيقات الفيدرالي","abbreviations"
"a.m. (ante meridiem)","صباحاً (قبل الظهر)","abbreviations"
"p.m. (post meridiem)","مساءً (بعد الظهر)","abbreviations"
"BC (before Christ)","قبل الميلاد (ق.م)","abbreviations"
"AD (anno Domini)","من سنة ميلاد المسيح (ميلادية)","abbreviations"
"CIA (Central Intelligence Agency)","وكالة المخابرات الأمريكية","abbreviations"
"UK (The United Kingdom)","المملكة المتحدة (البريطانية)","abbreviations"
"EEC (European Economic Community)","المجموعة الاقتصادية الأوروبية","abbreviations"
"PLO (Palestinian Liberation Organisation)","منظمة التحرير الفلسطينية","abbreviations"
"PNA (Palestinian National Authority)","السلطة الوطنية الفلسطينية","abbreviations"
"WTO (World Trade Organisation)","منظمة التجارة العالمية","abbreviations"
"MP","عضو البرلمان / شرطة عسكرية (حسب السياق)","abbreviations"
"PM","رئيس الوزراء / مدير البريد / الصراف / المدعي العام العسكري (حسب السياق)","abbreviations"
"ppm","جزء في المليون / باوند في الدقيقة / تضمين موضع النبضة (حسب السياق)","abbreviations"
"GATT","الاتفاقية العامة للتعريفة الجمركية والتجارة (الجات)","acronyms"
"OPEC","منظمة البلدان المصدرة للبترول (الأوبك)","acronyms"
"AWACS","نظام الإنذار والتحكم المبكر المحمول جواً (الأواكس)","acronyms"
"UNICEF","صندوق الأمم المتحدة للطفولة (اليونيسيف)","acronyms"
"UNIDO","منظمة الأمم المتحدة للتنمية الصناعية (اليونيدو)","acronyms"
"AIDS","مرض نقص المناعة المكتسب (الإيدز)","acronyms"
"NATO","منظمة حلف شمال الأطلسي (الناتو)","acronyms"
"UNESCO","منظمة الأمم المتحدة للتربية والعلم والثقافة (اليونسكو)","acronyms"
"A drowning man will catch at a straw","الغريق يتعلق بقشة","proverbs"
"All is not gold that glitters","ليس كل ما يبرق ذهباً","proverbs"
"Better alone than in bad company","الوحدة خير من جليس السوء","proverbs"
"Dead men tell no tales","الموتى لا يفشون الأسرار","proverbs"
"Don't count your chickens before they are hatched","لا تحص دجاجك قبل أن يفقس","proverbs"
"Don't cut your nose to spite your mother-in-law","لا تجدع أنفك لتغيظ حماتك","proverbs"
"Don't build castles in the air","لا تبنِ قصوراً في الهواء","proverbs"
"Don't defer till tomorrow what must be done now","لا تؤجل عمل اليوم إلى الغد","proverbs"
"Fortune is blind","الحظ أعمى","proverbs"
"Necessity is the mother of invention","الحاجة أم الاختراع","proverbs"
"Rather death than shame","الموت ولا العار","proverbs"
"The end justifies the means","الغاية تبرر الوسيلة","proverbs"
"To err is human, to forgive is divine","الخطأ من الإنسان والعفو من الرحمن","proverbs"
"Better be silent than speak ill","لنقل خيراً أو لتصمت","proverbs"
"Diamond cut diamond","لا يفل الحديد إلا الحديد","proverbs"
"Homer sometimes nods","لكل جواد هفوة ولكل حصان كبوة","proverbs"
"Learn young; learn fair","التعلم في الصغر كالنقش على الحجر","proverbs"
"Let sleeping dogs lie","دع الفتنة نائمة","proverbs"
"Life is full of ups and downs","الأيام دول","proverbs"
"Make hay while the sun shines","اضرب الحديد وهو ساخن / اغتنم الفرصة عند سنوحها","proverbs"
"Every tide has its ebb","لكل مدّ جزر","proverbs"
"A bad bush is better than an open field","شجرة جرداء خير من العراء","proverbs"
"Affection blinds reason","آفة الرأي الهوى / الحب أعمى","proverbs"
"After black clouds clear weather","إن بعد العسر يسراً","proverbs"
"All truths are not to be told","ما كل حق يقال","proverbs"
"At daggers drawn","بينهم ما صنع الحداد","proverbs"
"Bad money drives out good","أذهب الحرام الحلال","proverbs"
"General Secretary of the UN","الأمين العام للأمم المتحدة","institutional_titles"
"General Assembly (UN)","الجمعية العامة (للأمم المتحدة)","institutional_titles"
"International Court of Justice","محكمة العدل الدولية","institutional_titles"
"House of Lords","مجلس اللوردات","institutional_titles"
"House of Commons","مجلس العموم (مجلس النواب البريطاني)","institutional_titles"
"The Home Office (Britain)","وزارة الداخلية (بريطانيا)","institutional_titles"
"Ministry of the Interior (Egypt)","وزارة الداخلية (مصر)","institutional_titles"
"The Security Council","مجلس الأمن","institutional_titles"
"Foreign Minister (Britain)","وزير الخارجية","institutional_titles"
"Secretary of State (USA)","وزير الخارجية الأمريكي","institutional_titles"
"Deputy Minister (Britain)","وكيل وزارة","institutional_titles"
"Under Secretary (USA)","وكيل وزارة","institutional_titles"
"a herd (of cattle)","قطيع (من الماشية)","collective_nouns"
"crew","طاقم (طائرة أو سفينة)","collective_nouns"
"team","فريق","collective_nouns"
"deck","مجموعة (أوراق لعب)","collective_nouns"
"flock","قطيع (من الأغنام)","collective_nouns"
"pack","قطيع (ذئاب) / علبة (سجائر) / مجموعة (أوراق لعب)","collective_nouns"
"swarm","سرب (نحل)","collective_nouns"
"school / shoal","سرب (أسماك)","collective_nouns"
"crowd","حشد، جمع (من الناس)","collective_nouns"
"gaggle","سرب (من الإوز)","collective_nouns"
"band","عصابة (اللصوص) / فرقة (المغنيين)","collective_nouns"
"bouquet","باقة (زهور)","collective_nouns"
"bunch","حزم (عنب)","collective_nouns"
"horde","جحفل (المتوحشين)","collective_nouns"
"staff","جماعة (الموظفين) / هيئة (التمريض)","collective_nouns"
"flight","سلسلة (درجات) / سرب (طيور)","collective_nouns"
"herd","قطيع (الجاموس)","collective_nouns"
"fleet","أسطول (السفن)","collective_nouns"
"collection","مجموعة (لوحات)","collective_nouns"
"set","طقم (صيني)","collective_nouns"
"match-box","علبة ثقاب","compound_terms"
"dog catcher","صياد كلاب","compound_terms"
"lion-tamer","مروض أسود","compound_terms"
"cat lover","محب للقطط","compound_terms"
"scissors","مقص","number_terms"
"trousers","بنطلون أو سروال","number_terms"
"glasses / spectacles","نظارة","number_terms"
"pincers","كماشة أو بنسة أو زردية","number_terms"
"tweezers","ملقاط","number_terms"
"shears","مقص كبير (مجزّة)","number_terms"
"lodgings","مسكن","number_terms"
"billiards","بلياردو","number_terms"
"library","مكتبة عامة (للاطلاع والقراءة)","ambiguous_terms"
"stationery","قرطاسية / مكتبة بيع الأدوات الكتابية","ambiguous_terms"
"bookshop","مكتبة بيع الكتب / دكان كتب","ambiguous_terms"
"skins","جلود الحيوانات الصغيرة","ambiguous_terms"
"hides","جلود الحيوانات الكبيرة","ambiguous_terms"
"leather","الجلود المدبوغة (المصنعة)","ambiguous_terms"
"uncle","عم أو خال أو زوج العمة أو زوج الخالة (حسب صلة القرابة في السياق)","ambiguous_terms"
"aunt","عمة أو خالة (حسب السياق)","ambiguous_terms"
"niece","بنت الأخ أو الأخت","ambiguous_terms"
"nephew","ابن الأخ أو الأخت","ambiguous_terms"
"cousin","ابن/بنت العم أو الخالة أو العمة أو الخال","ambiguous_terms"
"shot","طلقة نارية","ambiguous_terms"
"insecticide","مبيد حشري","ambiguous_terms"
"stool","مقعد عديم الظهر والذراعين","ambiguous_terms"
"finch","حسون","bird_names"
"starling","الزرزور","bird_names"
"coot","الزقة / دجاجة الماء","bird_names"
"Siamese cat","قط سيامي","cat_breeds"
"Persian cat","قط فارسي","cat_breeds"
"Manx cat","قط مانكس (القط عديم الذيل)","cat_breeds"
"Chinchilla cat","قطة شينشيللا","cat_breeds"
"Van cat","قطة فان (السباحة)","cat_breeds"
"telephone","الهاتف / المسرة / التليفون","arabized_terms"
"radio","المذياع / الراديو","arabized_terms"
"microscope","مجهر / ميكروسكوب","arabized_terms"
"microphone","مجهار / ميكروفون","arabized_terms"
"telegraph","برقية / تلغراف","arabized_terms"
"computer","الحاسوب / الكمبيوتر","arabized_terms"
"antenna","الهوائي / الإريال","arabized_terms"
"genes","المورثات / الجينات","arabized_terms"
"chromosomes","الصبغيات / الكروموسومات","arabized_terms"
"electron","كهيرب / إلكترون","arabized_terms"
"the White House","البيت الأبيض (مقر الرئيس الأمريكي)","periphrases"
"the Capitol (Congress / Senate)","الكابيتول (مقر البرلمان الأمريكي)","periphrases"
"the Pentagon","البنتاجون (مقر قيادة القوات المسلحة الأمريكية)","periphrases"
"the Duma","الدوما (البرلمان الروسي)","periphrases"
"Alexander the Great","ذو القرنين (الاسكندر الأكبر)","periphrases"
"Hippocrates","أبو الطب (أبقراط)","periphrases"
"Aristotle","المعلم الأول (أرسطو)","periphrases"
