english,arabic
Achronic,ليلي، كما النجم يسطع في الليل ويغيب في النهار
Achy,متألّم
Acicular,ضيّق و طويل
Aciculate,مدبّب
Acid,الحمض
Acid-fast,مقاوم للأحماض
Acida,حمضي
Acidalia,أسيداليا - اله الحب والجنس. الأساطير اليونانية
Acidemia,مرض في الدم
Acidic,حمضيّ
Acidification,التحمّض
Acidified,تحوّل إلى حمض
Acidifier,المحمض
Acidifies,يتحوّل إلى حمض
Acidify,حوّل إلى حمض
Acidifying,تحوّل إلى حمض
Acidities,الحموضة
Acidity,الحموضة
Acidly,بشكل لاذع
Acidness,الحموضة
Acidophile,الكائن الحيّ الذي يزدهر في بيئة حمضيّة
Acidophilic,الكائن الحيّ الذي يزدهر في بيئة حمضيّة
Acidophilous,الكائن الحيّ الذي يزدهر في بيئة حمضيّة
Acidosis,الحماض
Acids,الأحماض
Acidulate,حمّض، يحمّض
Acidulated,حمضيّ
Acidulous,حمضيّ
Acing,التّفوّق
Acinos,نبات الـ أسينوس
Acis,أ سيس
Ack,يقر
Ack-ack,مدفع مضاد للطائرات
Ackee,فاكهة الـ أكي
Ackerman,أكيرمان
Ackley,أكلي
Acknow,يقر
Acknowledge,أقرّ
Acknowledgeable,مشكور
Acknowledged,أقرّ
Acknowledgedly,بشكل إقراري
Acknowledgement,الاعتراف
Acknowledgements,الاعترافات
Acknowledger,معترف
Acknowledgers,معترفون
Acknowledges,يقرّ
Acknowledging,الإقرار
Acknowledgment,الاعتراف
Acknowledgments,الاعترافات
Acl,قائمة تحكم في الدخول
Aclinic,بلا ميلان، بلا ميل
Acme,القمّة
Acne,حبّ الشّباب
Acned,أكنيد
Acnode,نقطة معزولة
Acockbill,جاهز للإنطلاق
Acold,مريض، مصاب بالحمّى
Acologic,متعلق بـ علم العلاجات
Acology,علم العلاجات
Acolothist,المساعد
Acolyte,المساعد
Acolytes,المساعدون
Acolythist,المساعد
Acom,أكوم - نظام قديم على آي بي إم 705
Acommodation,الاستيعاب
Aconcagua,أكونكاجوا - أعلى جبل في نصف الكرة الغربيّ
Aconite,البيش
Aconitum,الأقونيطن - نبات سام
Acopic,المنشّط
Acorn,الجوزة
Acorn-shell,الإوزّة
Acorned,امتلأ بالجوز
Acorns,الجوز
Acos,اللّجنة العربيّة للدّراسات العثمانيّة
Acosmism,عدم التّصديق في وجود العالم الأبدي
Acoumbo,التّعبير عن التّهديد، أو السخط، متوعّد
Acoustic,صوتيّ
Acoustical,صوتيّ
Acoustically,سمعيّاً
Acoustician,مهندس الصّوت
Acoustics,سمعيّات
Acousto-optical,صوتي-ضوئي
Acoustoelectric,سمعيّ-كهربائي
Acp,إفريقيا، الكاريبي و الهادئ
Acquaint,استكشف
Acquaintance,المعرفة
Acquaintances,المعارف
Acquaintanceship,المعرفة
Acquaintant,المعرفة
Acquainted,استكشف
Acquainting,الاستكشاف
Acquaints,يستكشف
Acquest,يكتسب
Acquiesce,اقبل
Acquiesced,قبل
Acquiescence,القبول
Acquiescent,مذعن
Acquiescently,بإذعان
Acquiesces,يقبل
Acquiescing,القبول
Acquiet,يهدّيء
Acquirable,ممكن الامتلاك
Acquire,احصل
Acquired,حصل
Acquirement,الاكتساب
Acquirer,المحصّل
Acquires,يحصل
Acquiring,الحصول
Acquiry,الاكتساب
Acquisite,حصل على
Acquisition,الاكتساب
Acquisitions,الاكتساب
Acquisitive,مولع بالاقتناء
Acquisitively,بغريزة حبّ الاقتناء
Acquisitiveness,حبّ الاقتناء
Acquisitivenesses,الكسبية
Acquisitor,المحصّل
Acquit,برّئ
Acquits,يبرّئ
Acquittal,حكم البراءة
Acquittals,أحكام البراءة
Acquittance,التّبرئة
Acquittances,مستندات تسديد الدّين
Acquitted,برّأ
Acquitter,أككوتر
Acquitting,التّبرئة
Acra,مدينة أكرا
Acrania,غياب كلّي او جزئي للجمجمة
Acrasia,المغالاة، الإفراط
Acrasy,المغالاة، الإفراط
Acre,الفدّان
Acre-foot,كمّيّة الماء الذي سيغطّي فدّان واحد
Acreage,مساحة الفدّان
Acres,الأفدنة
Acrid,لاذع
Acridid,الجراد
Acridity,القسوة الشّديدة
Acridly,بصورة لاذعة
Acridness,الحدّة
Acridnesses,الحدّة
Acrimonies,الشّدّة
Acrimonious,لاذع
Acrimoniously,بفظاظة
Acrimony,الشّدّة
Acris,ضفدع
Acrita,الحيوانات الدّنيا التي لاتملك جهاز عصبي
Acritude,حرارة مقرونة بحدّة
Acrity,الحدّة
Acroamatic,شفهي
Acroatic,شفهي
Acrobacy,البهلوانيّة
Acrobat,البهلوان
Acrobatic,بهلوانيّ
Acrobatically,بصورة بهلوانيّة
Acrobatics,الألعاب البهلوانيّة
Acrobats,البهلوانات
Acrocephalic,متعلق بالرأس
Acrocephaly,تشوّهات الجمجمة
Acrogen,أي نبات غير مزهر
Acrogenous,متعلق بالنبات الغير مزهر
Acrolein,مادّة الـ أكرولين
Acrolith,تمثال حجري
Acromegalia,تضخّم عضام اليد والقدمين
Acromegalic,متضخّم - عادة متعلقة بعظام الأطراف
Acromegaly,تضخّم عضام اليد والقدمين
Acromial,متعلق بعظمة الكتف
Acromion,عظمة الكتف
Acronyc,ليلي، قمري، مسائي
Acronym,الاختصار
Acronymic,يعتمد على الإختصارات :: مميّز باستخدام الاختصارات
Acronymous,اختصاريّ
Acronyms,الاختصارات
Acropetal,قمّي التعاقب
Acrophobia,خوف من المرتفعات
Acrophobic,رهبة المرتفعات
Acropolis,الأكروبولس
Across,عرضًا
Across-the-board,متوسّع
Acrostic,سلسلة كلمات متساوية الطول مرتبة بحيث تكون قراءتها عمودياً، مطابقة لقرائتها أفقياً
Acrostically,على شكل سلسلة كلمات متساوية الطول مرتبة بحيث تكون قراءتها عمودياً، مطابقة لقرائتها أفقياً
Acroterium,ركيزة توضع بأعلى وأسفل الأعمدة
Acrotic,سطحيّ
Acrotism,انعدام النبض أو ضعفه
Acrylate,أكريليت
Acrylic,أكريلي
Acrylonitrile,أكريلونتريل (نيتريل غير مشبع)
Acse,عنصر خدمة التحكّم بالترابط
Act,العمل
Acta,أكتا
Actability,القدرة التمثيلية
Actable,ممكن تمثيل
Actaeon,أكْتِيُن
Acted,عمل
Acth,هرمون Adrenocorticotropic (محفّز للغدة الكظرية)
Actin,شعاع، أشعة
Actinal,شعاعي
Acting,العمل
Actinia,شُقَّار، شقائق النعمان وأشباهها
Actiniae,شُقَّار، شقائق النعمان وأشباهها
Actinic,أكتيني
Actinide,أكتينايد
Actinidia,الأكتينيديا (كرمة آسيوية خشبية صغيرة)
Actinism,الأكتينيّة (قدرة في الطاقة المشعة على إحداث التغييرات الكيميائية)
Actinium,الأكتينيوم
Actinolite,أكتينولايت
Actinometer,مقياس قوة أشعة الشمس
Actinometers,مقاييس قوة أشعة الشمس
Actinomyces,الحارش (طفيلي بكتيري)
Actinomycetales,بكتيريا خُييطية
Actinomycete,بكتيريا من نوع الخُييطية
Actinomycetes,بكتيريا من نوع الخُييطية
Actinomycin,أكتينوميسين (مضاد حيوي)
Actinomycosis,مرض الحارش
Actinotherapy,العلاج بالإشعاع
Action,العمل
Actionable,موجب لإقامة دعوى قضائيّة
Actions,الأفعال
Actis,مشعّ
Actium,معركة أكتيوم البحرية
Activatable,قابل للنتشيط
Activate,نشّط
Activated,نشّط
Activates,ينشّط
Activating,التّنشيط
Activation,التّنشيط
Activations,التّنشيط
Activator,المنشّط
Activators,المنشّطات
Active,الصّيغة المعلوم
Actively,بنشاط
Activeness,الفعاليّة
Activex,أكتف إكس
Activism,الفعّاليّة
Activisms,النشاط
Activist,النّاشط
Activistic,ناشط، فعّالي
Activists,النّاشطون
Activities,الأنشطة
Activity,النّشاط
Actomyosin,ميوسين مشعّ
Acton,أكتون
Actor,الممثّل
Actors,الممثّلون
Actress,الممثّلة
Actresses,الممثّلات
Acts,الأعمال
Actual,فعليّ
Actualisation,التّحقيق
Actualist,تحقيقيّ
Actualities,الحقائق
Actuality,الحقيقة
Actualization,الإدراك
Actualizations,التحقيقات
Actualize,حقّق
Actualized,حقّق
Actualizes,يحقّق
Actualizing,التّحقيق
Actually,في الحقيقة
Actuals,الحقيقيّات
Actuarial,متعلّق بحسابات التّأمين
Actuarially,من ناحية الحسابات التّأمينيّة
Actuaries,خبراء التّأمين
Actuary,الخبير بشؤون التأمين
Actuate,شغّل
Actuated,شغّل
Actuates,يشغّل
Actuating,التّشغيل
Actuation,التّنفيذ
Actuator,المحرّك
Actuators,المحرّكات
Acture,العمل
Acturience,الرغبة في العمل
Actus,مَوْقِف، أكتس (مقياس روماني)
Acuate,يجعله حادّ، يشحذ، يبري
Acuation,الشّحذ، السّن
Acuities,البراعة
Acuition,الشّحذ، السّن
Acuity,البراعة
Acular,أكيولار (الاسم التجاري لدواء مثبّط)
Aculeata,شوائك، لوادغ
Aculeate,شائك، شوكي، لادغ
Aculeatum,اللدغ، الشّوك
Aculeatus,لادغ، شائك
Aculei,رؤوس مدبّبة (نحل مثلاً)
Aculeus,رأس مدبّبة (رأس النحلة مثلا)
Acumen,الذّكاء، الفطنة
Acuminate,مستدِقّ الطرف (كورقة النبات)، حادّ
Acumination,ذو الطرف الحادّ
Acupressure,العلاج بالإبر
Acupuncture,علاج بالإبر
Acupunctures,الوخز بالأبر
Acushnet,أكيوشنيت
Acute,حادّ، قاسي، شديد
Acute-angled,حاد الزاوية
Acutely,بشدّة
Acuteness,الحدّة
Acutenesses,الحدّة
Acuter,أشدّ
Acutest,الأشدّ
Acyclic,أسيكليك
Acyclically,أسيكليكالي
Acyclovir,أسيكلوفر (مضاد للفيروس)
Acyl,أسيل
Ad,الإعلان
Ad hoc,خاصّ
Ad-,مقارب، شبيه
Ad-lib,عفوي، ارتجالي
Ada,أدا
Ada-o,تفرّع من لغة أدا
Adabas,أداباس (قاعدة بيانات علائقية)
Adact,يقود، يجبر
Adad,أداد (إله الطقس عند البابليين)
Adage,المثل
Adages,الأمثال
Adagio,المقطوعة الموسيقيّة
Adagios,المقطوعات الموسيقيّة
Adah,أداه
Adair,أدير
Adaline,الخلايا العصبية الطولية التكيّفية
Adam,آدم
Adamance,غير مرن، صعب التعديل
Adamant,عنيد
Adamantean,أدمَنْتيّ
Adamantine,صلب
Adamantly,بعناد
Adami,آدميّ، بشريّ، رجل
Adamic,آدميّ، من آدم
Adamite,من سلالة آدم
Adamo,أدامو (نظام إدارة بيانات)
Adams,أبناء آدم
Adamson,آدامسون
Adance,يرقص
Adapa,البابلية :: بابليّ :: مُترَف
Adapt,كيّف
Adaptability,التّكيّف
Adaptable,متكيّف
Adaptation,التّحويل
Adaptational,تحويليّ
Adaptationally,بشكل تحويلي
Adaptations,التّحويلات
Adaptative,تكيّفي
Adapted,كيّف
Adaptedness,التكيّف
Adapter,المحوّل
Adapters,المحوّلات
Adapting,التّكييف
Adaption,التّأقلم
Adaptive,تكيّفيّ
Adaptively,بتكيّف
Adaptiveness,التكيّف
Adaptivenesses,التكيّفات
Adaptor,المحوّل
Adaptors,المحوّلات
Adapts,يكيّف
Adar,آذار، مارس
Adatis,قماش قطني هندي
Adaw,يُفزِع، يوقظ
Adaxial,مجاور محور العضو
Aday,أداي
Adc,المحوّل من الموجات الأحادية إلى الرقميّة
Adccp,بروتوكول التحكّم المتقدّم بالاتصالات البيانية
Add,أضف
Add-on,الملحق
AddNewPage,أضف صفحة جديدة
AddSet,اضافةضبط
Addax,المهاة (بقرة وحش كبيرة)
Addd,مستودع الوثائق التطويريّة
Added,إضافيّ
Addend,المضاف
Addenda,الإضافات
Addendum,الإضافة
Adder,الأفعى
Adders,الأفاعي
Addi,مساعد مدير المنطقة للتحقيقات
Addibility,إمكانيّة الجمع
Addict,المدمن
Addicted,جعل مدمنًا
Addictedness,الإدمان، التكرّس
Addicting,جعل مدمنًا
Addiction,الإدمان
Addictions,الإدمان
Addictive,مسبّب الإدمان
Addictively,بادمان
Addictiveness,الإدمان
Addicts,المدمنون
Adding,الإضافة
Addis,أديس
Addis Ababa,أديس أبابا - عاصمة أثيوبيا
Addison,إديسون
Additament,مُضاف، مجموع
Addition,الإضافة
Additional,إضافيّ
Additionally,بالإضافة لذلك
Additions,الإضافات
Additive,الإضافة
Additively,بإضافة
Additives,الإضافات
Additivity,قابلية الجمع
Addle,شوّش
Addle-pate,شخص فاسد
Addle-pated,غبيّ
Addlebrained,غبيّ ومُرتبك
Addled,فاسد
Addlepate,شخص فاسد
Addlepated,غبيّ
Addles,يشوّش
Addling,التّشويش
Addorsed,موضوع ظهر لظهر (كالشعارات)
Address,العنوان
Addressability,قابلية العنونة
Addressable,قابل للتّخاطب
Addressbook,دفتر العناوين
Addressed,خاطب
Addressee,مرسل إليه
Addressees,مرسلون إليه
Addresser,المعنون
Addressers,المعنونون
Addresses,العناوين
Addressing,المخاطبة
Addressless,بلا عنوان
Addressograph,ماكنة العناوين
Adds,يضيف
Adduce,قدّم
Adduced,قدّم
Adducent,مقرِّب، مقرِّب نحو المحور
Adducer,أدسير
Adduces,يقدّم
Adducible,ممكن تقريبه
Adducing,التّقديم
Adduct,قرّب
Adducted,قرّب
Adducting,التّقريب
Adduction,التّقريب
Adductive,أدكتايف
Adductor,المقرّب
Adducts,يقرّب
Addy,عنوان
Ade,مشروب فواكه محلّى مخفف
Adeem,يُبطِل
Adel,نبيل من أصل شهير
Adelaide,أديليد
Adele,أديل
Adelia,أديليا
Adelie,بطاريق متوسطة الحجم
Adeline,أديلين
Adell,أدلّ
Adelphi,أدلفي
Adelphia,أخوّة
Adempt,يُبعِد
Ademption,إبعاد
Aden,عدن
Aden-,غدّة
Adena,أدينا
Adenine,أديناين
Adenitis,إلتهاب
Adeno,غدّة
Adeno-,غدّة
Adenocarcinoma,أدينوكارسينوما (مرض خبيث ينشأ من نسيج الغدة)
Adenoid,ليمفاويّ
Adenoidal,غددي
Adenoids,اللّحميّة
Adenoma,الورم الحميد
Adenomatous,وَرَمِيْغُدِّي :: متعلّق بورم غدِّي
Adenopathy,تضخّم الغدّة اللمفاوية
Adenose,يحتوي على غدد :: متعلق بالغدد :: يشبه الغدد
Adenosine,الأدينوساين
Adeps,دهن حيواني :: شحم خنزير
Adept,الخبير
Adeptly,ببراعة
Adeptness,المهارة
Adepts,الخبراء
Adequacies,الكفاءات
Adequacy,الكفاءة
Adequate,كافي
Adequately,على نحو كافي
Adequateness,الكفاية
Adequation,الكفاية :: الملائمة
Adfected,متأثّر :: مصاب
Adfiliated,دمج :: انضمّ :: انتسب
Adh,الهرمون المضاد لإدرار البول
Adhamant,متعلّق بـ :: متمسّك بـ
Adhere,التصق :: تماسك :: يخلص الولاء
Adhered,التصق :: أخلص بالولاء :: تماسك
Adherence,التزام :: الإلتصاق :: الإخلاص بالولاء
Adherent,المؤيّد :: تابع :: نصير :: ملتحق :: ملتصق
Adherently,بشكل متمسّك :: بشكل تابع :: بصورة مؤيدة
Adherents,المؤيّدون :: شِيعة :: أتباع
Adherer,مؤيّد :: النصير :: التابع
Adheres,يلتصق :: يناصر :: يؤيّد
Adhering,التصاق :: التأييد :: النّصرة
Adhesion,التصاق :: التحام :: تلاصق :: موالاة
Adhesions,التصاق :: التحام :: تلاصق :: موالاة
Adhesive,الصّمغ :: دبق :: لاصق :: لزج
Adhesively,بشكل لاصق :: بشكل دبق
Adhesiveness,الإلتصاق :: لزوجة
Adhesives,الصّمغ :: المواد اللاصقة :: المواد اللزجة
Adhocracy,عكس البيروقراطية :: بلا هرمية وظيفية :: الكل بمقدوره إتّخاذ قرار
Adhort,حثّ :: انصح :: يحذر :: يحض
Adiabatic,ثابت الحرارة :: ذو حرارة غير متغيرة
Adiabatically,بصورة لا يتم معها فقدان او زيادة في الحرارة
Adiaphoristic,يخصّ المسائل الغير متعلقة بالإيمان والعُرف
Adiaphory,اللا مبالاة :: خمول :: عدم أهمية :: لا تحيز
Adieu,الوداع :: وداعاً
Adieus,وداعاً :: الوداع :: مع السلامة
Adige,نهر أديجي الإيطالي
Adight,نظّم :: صفّ :: رتّب
Adina,أدينا
Adino,أدينو
Adios,وداع :: وداعاً :: مع السلامة
Adipic,سمني :: دهني :: مشتق من الدهون
Adipocere,المادة الشمعية الناتجة من إختلاط الشحم مع عضلات الجسم الميت
Adipoma,ورم دهني :: كيس دهني
Adipose,دسم :: يحتوي على شحم الحيوان
Adiposeness,السّمنة :: الدهنية
Adiposity,السّمنة :: الدهنية
Adirondack,مدينة أدرُندَك
Adirondacks,جبال أدرُندَك السياحية
Adit,مدخل المنجم
Adj,الصّفة
Adjacence,تجاور :: تماس :: متاخمة :: محاذاة
Adjacency,المتاخمة :: التّجاور :: التّماس :: المحاذاة
Adjacent,مجاور :: محاذي :: متاخم
Adjacently,بشكل مجاور :: بشكل محاذي :: بشكل متاخم
Adject,يلحق :: يظم :: يضيف
Adjection,عمليّة الإضافة :: الشّيئ المضاف
Adjectival,وصفيّ :: نعتي
Adjectivally,كصفة :: كنعت
Adjective,الصّفة :: النعت
Adjectively,بشكل نعتي :: على شكل صفة
Adjectives,الصّفات :: النعوت
Adjoin,جاور :: حاذى :: يجاور :: يحاذي :: يضم
Adjoined,جاور :: حاذى :: ضمّ
Adjoining,الجوار :: المحاذاة :: الضمّ
Adjoins,يجاور :: يحاذي :: يضم
Adjoint,المساعد :: الملحق :: إضافي
Adjourn,انفضّ :: أرجأ :: يؤجل :: يرجئ
Adjourned,انفضّ :: أجّل :: أرجأ
Adjourning,الانفضاض :: التأجيل :: الإرجاء
Adjournment,إرجاء :: تأجيل :: تأخير :: الإنهاء
Adjourns,ينفضّ :: ينهي :: يؤجّل
Adjudge,يحكم بالقضاء :: يفصل :: ينطق بالحكم
Adjudged,حكم :: نطق بالحكم :: فصل في القضية
Adjudges,ينطق بالحكم :: يحكم
Adjudging,الحكم :: النطق بالحكم :: الفصل
Adjudicate,حكم :: فصل
Adjudicated,حكم :: فصل
Adjudicates,يحكم :: يفصل
Adjudicating,الحكم :: الفصل
Adjudication,التّحكيم :: الفصل :: محاكمة
Adjudications,التّحكيم :: الفصل :: المحاكمة
Adjudicative,قضائيّ :: متعلق بالقضاء
Adjudicator,المحكّم :: القاضي
Adjunct,يُلحق :: يُضيف :: يُساعد
Adjunctive,مُلحق :: إضافي :: مُساعد
Adjunctly,بشكل ملحق :: بشكل مساعد :: بشكل إضافي
Adjuncts,الملاحق :: الإضافات :: المساعدات
Adjure,استحلف :: يستحلف :: يناشد
Adjured,استحلف :: ناشد
Adjures,يستحلف :: يناشد
Adjuring,الاستحلاف :: المناشدة
Adjurnment,الاستحلاف :: المناشدة
Adjust,كيّف :: ضبط :: عدّل :: يكيف :: ينظم
Adjustability,قابلية التعديل :: قابلية التّكيّف :: قابلية التضبيط
Adjustable,قابل للضّبط :: قابل للتعديل :: قابل للتكيف
Adjustably,بشكل قابل للتعديل :: بشكل قابل للضبط
Adjusted,تكيّف :: عدّل :: كيّف :: ضبط
Adjuster,الضّابط :: المعدّل :: المكيّف
Adjusters,الضّبّاط :: المعدّلون :: المكيّفون
Adjusting,التّكيّف :: التّعديل :: التضبيط
Adjustive,تكيّفي :: تعديلي :: ضبطي
Adjustment,التّعديل :: التضبيط
Adjustments,التّعديلات :: التّضبيطات
Adjustor,المكيّف :: المعدّل :: المضبّط
Adjustors,مكيّفون
Adjusts,يتكيّف :: يعدّل :: يضبّط
Adjutant,الضّابط الإداريّ
Adjutants,الضّبّاط الإداريّون
Adkins,أدكينز
Adler,أدلر
Adman,وكيل الإعلانات :: المُعلِن
Admin,الإدارة
Administer,أدر :: يدبر :: يدير :: يعاقب
Administered,أدار
Administering,الإدارة
Administerings,الإدارات
Administers,يدير
Administrable,قابل للإدارة
Administrate,تولّ
Administrated,تولّى
Administrates,يتولّى
Administrating,التّولّي
Administration,الإدارة
Administrations,الإدارة
Administrative,إداريّ
Administratively,إداريًّا
Administrator,المدير
Administrators,المديرون
Administratorship,الإدارة
Administratrix,المديرة
Admint,أدمينت
Admirable,جدير بالإعجاب
Admirableness,الجدارة بالإعجاب
Admirably,على نحو جدير بالإعجاب
Admiral,قائد البحريّة :: أمير البحر :: أميرال :: أميرة الفَراش
Admirals,القادة البحريّات
Admiralty,قوّات البحريّة
Admiration,الإعجاب
Admirations,الإعجاب
Admire,أعجبت
Admired,أعجب
Admirer,المعجب
Admirers,المعجبون
Admires,أعجب
Admiring,معجب
Admiringly,بإعجاب
Admissibility,القبول
Admissibillity,القبول
Admissible,مصدّق
Admissibleness,مصداقيّة
Admission,الاعتراف
Admissions,الاعترافات
Admissive,مدخل
Admit,اعترف
Admits,يعترف
Admittance,الدّخول
Admittances,الدّخول
Admitted,اعترف
Admittedly,باعتراف الجميع
Admitting,الاعتراف
Admix,اخلط
Admixed,خلط
Admixes,يخلط
Admixing,الخلط
Admixture,المادّة
Admixtures,الموادّ
Admonish,عاتب
Admonished,عاتب
Admonisher,النّاصح
Admonishes,يعاتب
Admonishing,المعاتبة
Admonishingly,بشكل عتابي
Admonishment,اللّوم
Admonishments,اللّوم
Admonition,العتاب
Admonitions,العتاب
Adnexus,شبه متلاصقين مع بعض :: شبه ملتحمين مع بعض
Ado,أدو
Adobe,اللّبنة
Adolescence,المراهقة
Adolescent,المراهق
Adolescently,بشكل مراهق
Adolescents,المراهقون
Adolph,أدولف
Adolphus,أدولفس
Adonis,أدونيس
Adopt,تبنّ
Adoptabilities,قدرات التبنّي
Adoptability,قدرة التبنّي
Adopted,إقامة
Adopter,المتبنّي
Adopters,المتبنّون
Adopting,التّبنّي
Adoption,التّبنّي
Adoptions,التّبنّي
Adoptive,بالتّبنّي
Adoptively,بالتبني
Adopts,يتبنّى
Adorability,الجاذبيّة
Adorable,جذّاب
Adorableness,الجاذبيّة
Adorably,بإعجاب
Adoration,العشق
Adore,اعشق
Adored,عشق
Adorer,أدورر
Adores,يعشق
Adoring,العشق
Adorn,زيّنّ
Adornation,تزيين :: زخرفة :: حِلية
Adorned,زيّن
Adorner,أدورنر
Adorning,التّزيين
Adornment,الزّينة :: تزيين :: زخرفة :: حِلي
Adornments,الزّينة
Adorns,يزيّن
Adposition,حرف مساعد
Adrenal,الغدّة الكظريّة
Adrenaline,أدرينالاين
Adrenally,كظريا
Adrian,أدرايان
Adriatic,أدرياتيكي
Adrienne,أدرين
Adrift,على غير هدي
Adroit,بارع
Adroitly,ببراعة
Adroitness,البراعة
Adroitnesses,الدهاء
Ads,الإعلانات
Adsl,خط الهاتف الرقمي للإتصالات
Adsorb,كثّف
Adsorbate,كثّف
Adsorbed,كثّف
Adsorbent,مكثّف
Adsorbing,التّكثيف
Adsorbs,يكثّف
Adsorption,الادمصاص
Adsorptive,ادمصاصي
Adsorptively,بادمصاصية
Adulate,تملّق
Adulated,تملّق
Adulates,يتملّق
Adulating,التّملّق
Adulation,التّملّق
Adulations,التّملّق
Adulator,المتملّق
Adulatory,متملّق
Adult,البالغ
Adulterant,الغاشّة
Adulterate,غشّ
Adulterated,غشّ
Adulterates,يغشّ
Adulterating,الغشّ
Adulteration,الغشّ
Adulterator,الغشّاش
Adulterators,الغشّاشون
Adulterer,الزّاني
Adulterers,الزّناة
Adulteress,الزّانية
Adulteresses,الزّناة
Adulteries,الزّنًا
Adulterous,فاسق
Adulterously,متعلّق بالزّنا
Adulterousness,التعلّق بالزّنا
Adultery,الزّنًا
Adulthood,البلوغ
Adultly,بشكل بالغ
Adultness,سن الرشد
Adults,البالغون
Adumbrate,أشر
Adumbrated,أشار
Adumbrates,يشير
Adumbrating,الإشارة
Adumbration,الإشارة
Adumbrative,إشاريّ
Adumbratively,بإشارة
Adumbrativeness,الإشارة
Aduncous,أعقف :: معقوف
Adunque,أعقف :: معقوف
Advance,التّقدّم
Advanced,تقدّم
Advancement,التّقدّم
Advancements,التّقدّم
Advancer,المتقدّم
Advancers,المتقدّمون
Advances,التّقدّم
Advancing,التّقدّم
Advantage,الميزة
Advantaged,مفاد
Advantageous,مفيد
Advantageously,على نحو مفيد
Advantageousness,الفائدة
Advantages,الميزات
Advantaging,الإفادة
Advantagious,إفاديّ
Advent,الحلول
Adventist,السبتي -مجيئي
Adventists,السبتي -مجيئي
Adventitious,عرضيّ
Adventitiously,على نحو عرضيّ
Adventitiousness,العرضية
Adventive,الغير بلديّ
Adventively,بشكل غير بلدي
Adventure,المغامرة
Adventured,غامر
Adventurer,المغامر
Adventurers,المغامرون
Adventures,المغامرات
Adventuresome,مغامر
Adventuresomely,بشكل مقدام
Adventuress,المغامرة
Adventuring,المغامرة
Adventurous,مغامر
Adventurously,بمخاطرة
Adventurousness,المغامرة
