"English Term","Arabic Term"
"Allegiance oath or","قُسم الولاء للوطن"
"Allegiance oath or","قَسَم الولاء للوطن"
"Allegiance oath","والسياسة"
"Allegiance oath","يمين الولاء للوطن"
"Allegiance to the state","ولاء للدولة"
"Allegiance","ولاء - طاعة"
"Alliance forces","قوّات التحالف"
"Alliance treaty","معاهدة تحالفيه"
"Alliance treaty","مُعَاهَدَة تَحَالِفِيَّة"
"Alliance","تحالف"
"Allied states","دول التحالف"
"Amass (to) arms","يُكَدَّس الأسلحة"
"Ambassador","سفير"
"Amelioration of political prisoners situation","تحسين وضع السجناء السياسيين"
"Amelioration of political prisoners","تحسين وضع السجناء"
"Amelioration of refugees situation","تحسين وضع اللاجئين"
"Amelioration of refugees","تحسين وضع اللاجئين"
"Amnesty","عفو عام"
"Analogous rules","قواعد مُماثلة"
"Analogy in decisions making","أسلوب القياس في اتخاذ القرارات"
"Analyze (to) world problems","يُحلّل المشكلات الدولية"
"Analyze (to) world problems","يُحَلِّل المشكلات الدولية"
"Anarchism","مذهب الفوضويين"
"Anarchist system","نظام حكم فوضوي"
"Anarchist","فوضوي"
"Anarchy","فوضى"
"and political parties","السياسية"
"Annihilate (to) mankind","يقضي على الجنس البشري"
"Annihilation","إبادة شعب"
"Announce (to) political decision","يُعلن القرار السياسي"
"Announce (to) victory","يُعلن الانتصار"
"Annual diplomatic report","تقرير دبلوماسي سنوي"
"Anti constitutional","مُضاد للدستورية"
"Anti government","مُناوئ للحكومة"
"Anti social acts","أعمال تمسّ المجتمع"
"Anti- Semitism","ضدّ السامية"
"Appeal (to) succor","يطلب النجدة"
"Appeal to cease-fire","دعوة لوقف إطلاق النار"
"Appease (to) protests","يُهدئ الاحتجاجات"
"Appease (to) protests","يُهَدِّئ الاحتجاجات"
"Apply (to) emergency procedures","يُطبّق إجراءات الطوارئ"
"Apply (to) international law","يُطبّق القانون الدولي"
"Apply (to) laws","يُطبّق القوانين"
"Appointment by election","تعيين بالانتخاب"
"Appointment of governmental organs","تعيين الأجهزة الحكومية"
"Appointment of","تعيين الأجهزة الحكومية"
"Appointments of ministers","تعيين الوزراء"
"Appropriate body","الهيئة المختصة"
"Appropriate with norms","متوافق مع الأنظمة"
"Appropriate with norms","مُتَوَافِق مَعَ الأَنْظِمَة"
"Approval by acclamation","موافقة بالهتاف"
"Approve (to) diplomatic suggestions","يُوافق على التوصيات الدبلوماسية"
"Arab League Charter","ميثاق الجامعة العربية"
"Arab League Council","مجلس الجامعة العربية"
"Arab League","الجامعة العربية"
"Arab nationalism ideology","مفهوم القومية العربية"
"Arab Nationalism","القومية العربية"
"Arab Union","الوحدة العربية"
"Arabic-English","أ"
"Arbitrary intervention","تدخل تعسفي"
"Arbitration","تحكيم"
"Armament race","سباق التسلح"
"Armament race","سباق التسلّح"
"Armament","قوة عسكرية"
"Armament","قوّة عسكرية"
"Armed conflict","نزاع مسلح"
"Armed conflict","نِزاع مسلّح"
"Armed forces","قوّات عسكرية"
"Armed neutrality","حياد مُسلّح"
"Armed neutrality","حياد مُسلَّح"
"Armed rebellion","تمرد مُسلَّح"
"Armed rebellion","تمرّد مُسلّح"
"Armed revolution","ثورة مُسلّحة"
"Armed revolution","ثورة مُسلَّحة"
"Armed zone","منطقة مُسلّحة"
"Armistice commission","لجنة الهدنة"
"Armistice or truce","هدنة"
"Armless zone","منطقة عزاء - منزوعة السلاح"
"Armless zone","منطقة عزلاء"
"Armory","ترسانة الأسلحة"
"Army corps","قوّات الأمم المتحدة للإغاثة United Nations Relief Forces"
"Army corps","فيلق عسكري"
"Army spokesman","ناطق عسكري"
"As observer","بصفة مراقب"
"Ascending circumstances","ظروف مُتصاعدة"
"Ascending circumstances","ف"
"Assembly chamber","قاعة الاجتماعات"
"Assistant member","عضو مساعد"
"Assume (to) political post","يتولى المنصب السياسي"
"Assume (to) power","يتولى زمام الحكم"
"Atomic arms","أسلحة ذرية"
"Atomic bomb","قنبلة ذرية"
"Attach (to) importance on diplomatic talks","يُعلق أهمية على المحادثات الدبلوماسية"
"Attach (to) importance on diplomatic talks","يُعلِّق أهمية على المحادثات الدبلوماسية"
"Attack (to) the enemy","يُغير على العدو"
"Attack (to) the enemy","يُغيّر على العدو"
"Attain (to) majority","يُحقق الأغلبية"
"Attain (to) majority","يُحقّق الأغلبية"
"Attain (to) public domains","يمس بالممتلكات العامة"
"Attain (to) public domains","يمسّ بالممتلكات العامة"
"Attain (to) the quorum","يُحقق النصاب القانوني"
"Attain (to) the quorum","يُحقّق النصاب القانوني"
"Attempt against the security of state","مُحاولة المساس بأمن الدولة"
"Attitude of the state towards subjects","موقف الدولة تجاه رعاياها"
"Audience","جلسة استماع"
"Auditorium","قاعة الاجتماعات الرسمية"
"Auspices","رعاية"
"Austerity policy","سياسة التقشف"
"Austerity policy","سياسة التقشّف"
"Austerity","تقشف"
"Authoritarianism","حكم استبدادي"
"Authority domain","نطاق السلطة"
"Authority immunity","حصانة السلطة"
"Authority representative","ممثل السلطة"
"Authority representative","مُمثّل السلطة"
"Authorized agent","وكيل مفوض"
"Authorized agent","وكيل مفوّض"
"Authorized source of information","مصدر مُخَوَّل بإعطاء المعلومات"
"Autocracy","حكم مطلق"
"Autocracy","حكم مُطلق"
"Autocrat or totalitarian","حاكم مطلق"
"Autocratic theory","نظرية الحكم المطلق"
"Autonomy law","قانون الحكم الذاتي"
"Autonomy","حكم ذاتي"
"Auxiliary member","عضو احتياطي"
"Avoid ( to ) the confrontations","يتجنب المواجهات"
"Avoid ( to) the confrontations","يتجنب المواجهات"
"Axis powers","دول الأقطاب"
"Axis states","دول المحور"
"B","نشر"
"Backward diplomatic reports","تقارير دبلوماسية عن فترة سابقة"
"Bacteriological war","حرب جرثومية"
"Balance of forces","توازن القوى"
"Balance of justice","ميزان العدالة"
"Balance of powers","توازن السلطات"
"Balanced diplomatic representation","تمثيل دبلوماسي مُتكافئ"
"Balanced diplomatic representation","تمثيل دبلوماسي مُتَكَافِئ"
"Balanced withdrawal of military forces","انسحاب متوازن للقوات العسكرية"
"Balanced withdrawal of military forces","انسحاب مُتوازن للقوّات العسكرية"
"Ballot box","صندوق الاقتراع"
"Ballot","اقتراع"
"Basic discussions","مباحثات أساسية"
"Basis of constitutional laws","أسس القوانين الدستورية"
"Battles areas","مواقع القتال"
"Battles field","ميدان المعارك"
"Behind bars","خلف القضبان"
"Belford Declaration","وعد بلفور"
"Besiege (to) cities","يُحاصر المدن"
"Betray (to) nation","يخون الأمة"
"Betray (to) nation","يَخُونُ الأُمَّةُ"
"Betrayal","إفشاء الأسرار - خيانة"
"between states","الدول"
"between states","بين الدول"
"Bi- nationality or dual nationality","ازدواجية الجنسية"
"Bi- nationality or dual","ازدواجية الجنسية"
"Bi-national","مُزدوج الجنسية"
"Bilateral negotiations","مفاوضات ثنائية"
"Binding political resolutions","قرارات سياسية ملزمة"
"Black minority","أقلية سوداء"
"Block vote","تصويت إجمالي"
"Blockade (to) buildings","يُحاصر الأبنية"
"Blockade","حصار"
"Blood and race ties between people","روابط الدم والعرق بين الشعوب"
"Blood and race ties between","روابط الدم والعرق بين"
"Blood massacre","حمّام دمّ"
"Bloodless revolution","ثورة بيضاء"
"Bloody political events","أحداث سياسية دامية"
"Blow up (to) airplanes","يُفجّر الطائرات"
"Board of Governors","مجلس المحافظين (نظام بريطاني)"
"Board of inquiry","هيئة التحقيق"
"Boarders clashes","صِدامات الحدود"
"Boarders clashes","صِدَامات الحدود"
"Bomb (to) cities","يَقصف المدن"
"Bomb (to) cities","يَقْصِفُ المدن"
"Bombing of cities","قصف المدن"
"Bombing plot of the infrastructure","مُخطط لتفجير البنية التحتية"
"Bombing plot of the infrastructure","مُخَطَّط لتفجير البنية التحتية"
"book","المجلس النيابي"
"Boundaries treaties","معاهدات الحدود"
"Boundaries treaties","مُعَاهَدَات الحُدُود"
"Brain drainage","هجرة الأدمغة"
"Brains washing","غسيل الأدمغة"
"Breach of diplomatic etiquette","خرق آداب السلوك الدبلوماسي"
"Breach of international law","خرق القانون الدولي"
"Breach of peace","خرق السلام"
"Breach of promise","نقض العهد"
"Breach of security","إخلال بالأمن"
"Break (to) the space","يخترق المجال الجوي"
"Breaking political news","آخر الأنباء السياسية"
"Briefing session","جلسة تمهيدية"
"Broad casting war","حرب الإذاعات"
"Buffer zone","منطقة فاصلة بين الحدود"
"Burn (to) foreign flags","يحرق أعلام الدول الأجنبية"
"Burned land policy","سياسة الأرض المحروقة"
"By diplomatic channels","عن طريق القنوات الدبلوماسية"
"By hierarchical channels","عن طريق التسلسل"
"C","نشر"
"Cabinet statement or ministerial statement","بيان وزاري"
"Cabinet","مجلس الوزراء"
"Call on (to) international intervention","يطلب التدخل الدولي"
"Call on (to) international intervention","يطلب التدخّل الدولي"
"Call on (to) international protection","يُناشد الحماية الدولية"
"Call on (to) international","يُناشد الحماية الدولية"
"Camp","معسكر"
"Campaign","حملة عدائية"
"Campaign","حَملة عدائية"
"Cancel (to) diplomatic mission","يُلغي المهمة الدبلوماسية"
"Cancel (to) official visit","يُلغي الزيارة الرسمية"
"Candidate for elections","مُرشح للانتخابات"
"Capital","عاصمة"
"Capitalism","رأسمالية"
"Capitalist government","حكومة رأسمالية"
"Capitalist ideology","عقلية رأسمالية"
"Capitalist state","دولة رأسمالية"
"Capitulations","تنازلات بموجب اتفاقيات"
"Captives rights","حقوق الأسرى"
"Carry out (to) political authorities","يتولى السلطات السياسية"
"Carry out (to) political responsibilities","يتولى المسؤوليات السياسية"
"Categorical political decision","قرار سياسي حاسم"
"Cause (to) damages","يتسبب بالأضرار"
"Ceasefire","وقف إطلاق النار"
"Celebration","احتفال رسمي"
"Censorship","رقابة على المطبوعات"
"Center of gravity","مركز الخطورة"
"Center of gravity","ن"
"Central authority","سلطة مركزية"
"Central forces","قوات مركزية"
"Central government","حكومة مركزية"
"Central office","مكتب مركزي"
"Central party","حزب الوسط"
"Central planning","تخطيط مركزي"
"Centralization of authority","تمركز السلطة"
"Centralization tendency","ميل إلى المركزية"
"Centralization tendency","مَيْل إلى المركزية"
"Centralization","مركزية"
"Centralize (to) authority","يُمركز السلطة"
"Centralized state","دولة مركزية"
"Centralized state","دولة مركزيّة"
"Ceremonial order","نظام المراسم"
"Chain of diplomatic communications","سلسلة الاتصالات الدبلوماسية"
"Chain of political communications","سلسلة الاتصالات السياسية"
"Chairmanship","رئاسة الجلسة"
"Challenges of diplomatic post","مُقتضيات المنصب الدبلوماسي"
"Chamber of Communes","مجلس العموم ( نظام بريطاني )"
"Chamber of Deputies","مجلس النواب"
"Chamber of Lords","مجلس اللوردات (نظام بريطاني )"
"Chancellery","مقرّ البعثة الدبلوماسية"
"Character of diplomatic talks","طابع المحادثات الدبلوماسية"
"Chargé d'affaires","قائم بالأعمال"
"Charter","ميثاق أو عهد"
"Chauvinism","نعرة قومية"
"Chauvinism","نُعرَة قومية"
"Chemical arms","أسلحة كيميائية"
"Chief of diplomatic delegation","رئيس الوفد الدبلوماسي"
"Chief of protocol","مدير المراسم"
"Circulate (to) the diplomatic report","يُعمّم التقرير الدبلوماسي"
"Circulate (to) the diplomatic report","يُعمِّم التقرير الدبلوماسي"
"Circulate (to) the political report","يُعمّم التقرير السياسي"
"Circulate (to) the political report","يُعمِّم التقرير السياسي"
"Circulated diplomatic note","مذكرة دبلوماسية مُعمّمة"
"Circulated diplomatic note","مُذكرة دبلوماسية مُعمّمة"
"Circulated political note","مذكرة سياسية مُعمّمة"
"Circulated political note","مُذكرة سياسية مُعمّمة"
"Citizen","مقيم"
"Citizen","مُقيم"
"Citizens rights","حقوق المواطنين"
"Citizenship","صفة المواطنة"
"Civil commotion","فتنة داخلية"
"Civil damages","أضرار مدنية"
"Civil defense","دفاع مدني"
"Civil liberty","حرية مدنية"
"Civil rights","حقوق مدنية"
"Civil rights","حقوق مدنيّة"
"Civil war","حرب أهلية"
"Civilians safety","سلامة المدنيين"
"Civilians safety","سَلَامَة المدنيين"
"Civilized states","دول مُتحضّرة"
"Class society","مجتمع طبقي"
"Class society","مُجْتَمَع طَبَقِيّ"
"Classification of diplomatic functions","تصنيف المهام الدبلوماسية"
"Classless society","مجتمع غير طبقي"
"Clear up (to) political situation","يوضح الموقف السياسي"
"Close cooperation between states","تعاون وثيق بين الدول"
"Closed meeting","اجتماع مُغلق"
"Closed session","جلسة مغلقة"
"Closed session","جلسة مُغلقة"
"Closing session","جلسة ختامية"
"Closure of boarders","إغلاق الحدود"
"Closure of diplomatic talks","اختتام المباحثات الدبلوماسية"
"Closure of session","إغلاق الجلسة"
"Coalition forces","قوات الائتلاف"
"Coalition ministry","وزارة ائتلافية"
"Cochairman","نائب رئيس الجلسة"
"Code of diplomatic behavior","قانون السلوك الدبلوماسي"
"Code of nations","قانون الأمم"
"Code of political parties","قانون الأحزاب السياسية"
"Coercive order","نظام حكم ديكتاتوري"
"Coercive power","سلطة قسرية"
"Cold war","حرب باردة"
"Collaboration between authority and political parties","تعاون بين السلطة الأحزاب السياسية"
"Collaboration between authority","تعاون بين السلطة الأحزاب"
"Collective negotiations","مفاوضات جماعية"
"Collective negotiations","مُفاوضات جماعية"
"Collective resignation","استقالة اجتماعية"
"Collectivism","مبدأ الجماعية - المشاعة"
"Collectivism","مبدأ الجماعية – المشاعة"
"Colonization forces","قوات استعمارية"
"Colonization","احتلال"
"Colony","مستعمرة"
"Colony","مُستعمرة"
"Combatant","محارب"
"Combatant","مُحارب"
"Commando","فدائي"
"Commemorate (to) martyrs","يُخلّد ذكرى الشهداء"
"Commemoration","احتفال لتخليد ذكرى"
"Comment (to) on political discourse","يُعقّب على الخطاب السياسي"
"Comment (to) on political","يُعقّب على الخطاب السياسي"
"Commentary on the discourse","تعقيب على الخطاب"
"Committee for the examination of political problems","لجنة دراسة المشكلات السياسية"
"Common aspirations of communities","التطلّعات المشتركة للمجتمعات"
"Common aspirations of","التطلّعات المشتركة"
"Common defense","دفاع مُشترك"
"Common human interests","المصالح الإنسانية المشتركة"
"Common political organs","هيئات سياسية مُشتركة"
"Common wealth states","دول الكومنولث (الشعوب البريطانية ذات الثروات المشتركة)"
"Commotion","فتنة"
"Communications between political committees","اتصالات بين اللجان السياسية"
"Communism","شيوعية"
"Communism","ص"
"Communist acquisitions","مكاسب اشتراكية"
"Communist cell","خلية شيوعية"
"Communist cell","خليّة شيوعية"
"Communist government","حكومة شيوعية"
"Communist party","حزب شيوعي"
"Communist","شيوعي"
"communities","للمجتمعات"
"Community","جماعة - جالية"
"Complain (to) of ill-","يشكو من سوء المعاملة"
"Complication of international problems","تعقد المشكلات الدولية"
"Complicity","اشتراك في مؤامرة"
"Comply (to) with diplomatic customs","يلتزم بالأعراف الدبلوماسية"
"Comply (to) with rules","يتقيد بالأنظمة"
"Compromised policy","سياسة مُتشدّدة"
"Compulsory political decision","قرار سياسي ملزم"
"Compulsory rules","قواعد مُلزمة"
"Concentration camp","مُعسكر اعتقال"
"Concession right حقّ الامتياز","نشر"
"Concession right","حَقّ الامتياز"
"Concise diplomatic statement","بيان دبلوماسي مُوجز"
"Conclude (to) a truce","يعقد هدنة"
"Conclude (to) strikes","يُنهي الإضراب"
"Concordance of political opinions","توافق الآراء السياسية"
"Concordance of political points of view","توافق وجهات النظر السياسية"
"Condemn (to) firmly","يُندد بشدة"
"Condemn (to) violence","يُندد بالعنف"
"Condemn (to)","يُندد - يُدين"
"Conditional acceptance","قبول شرطي"
"Conditional clause","بند شرطي"
"Conditional neutrality","حياد مشروط"
"Conduct (to) diplomatic talks","يُوجّه المحادثات الدبلوماسية"
"Confederation","تحالف بين مجموعة من الدول - كونفدرالية"
"Conferences palace","قصر المؤتمرات"
"Confidential diplomatic note","مذكرة دبلوماسية سرية"
"Confidential diplomatic reports","تقارير دبلوماسية سرية"
"Confidential diplomatic reports","تقارير دبلوماسية سرّية"
"Confidential political reports","تقارير سياسية سرية"
"Confidential political reports","تقارير سياسية سرّية"
"Confirm (to) political situation","يُؤكد على الموقف السياسي"
"Confirm (to) political situation","يُؤكَّد على الموقف السياسي"
"Confirmation note","مذكرة تأكيد"
"Confirmation note","مُذكّرة تأكيد"
"Conflict of political interests","تنازع المصالح السياسية"
"Conflict of world interests","تنازع المصالح الدولية"
"Conflicted zone","منطقة مُتنازع عليها"
"Conflicts of international laws in space","تنازع القوانين الدولية في الحيز المكاني"
"Conformity of political opinions","انسجام الآراء السياسية"
"Confrontation policy","سياسة المواجهة"
"Connection between law and custom","الصلة بين القانون والعرف"
"Connection between law and","الصلة بين القانون والعرف"
"Conquerors rights","حقوق الفاتحين"
"Consensus","إجماع في التصويت"
"Conservation of peace","الحفاظ على السلام"
"Conservatism","مبدأ المحافظين"
"Conservative parties","أحزاب مُحافظة"
"Conservative system","نظام حكم مُحافظ"
"Consider (to) world situation","يتدارس الوضع الدولي"
"Consideration of political circumstances","مُراعاة الظروف السياسية"
"Consideration of political","مراعاة الظروف السياسية"
"Consolidation of diplomatic relations","تعزيز العلاقات الدبلوماسية"
"Consolidation of international relations","تعزيز العلاقات الدولية"
"Conspiracy against the state security","مؤامرة ضدّ سلامة الدولة"
"Conspiracy against the state","مؤامرة ضدّ سلامة الدولة"
"Constitution functions","مهام الدستور"
"Constitution oath","قُسم الدستور"
"Constitution oath","قَسَم الدستور"
"Constitutional control","رقابة دستورية"
"Constitutional dispositions","إجراءات دستورية"
"Constitutional elections","انتخابات دستورية"
"Constitutional government","حكومة دستورية"
"Constitutional law","قانون دستوري"
"Constitutional oath","يمين الولاء للدستور"
"Constitutional rights","حقوق دستورية"
"Constitutionalism","دستورية"
"Constitutive council","مجلس تأسيسي"
"Constitutive elements of states","العناصر التأسيسية للدول"
"Constraint","قسر - إلزام"
"Constructive negotiations","مُفاوضات بناءة"
"Consular immunity","حصانة قنصلية"
"Consular service","السلك القنصلي"
"Consular services","خدمات قنصلية"
"Consular","قنصل"
"Consulate","قنصلية"
"Consult (to) international experts","يستشير الخبراء الدوليين"
"Consult (to) the international community","يستشير المجتمع الدولي"
"Consultant","مستشار"
"Consultative council","مجلس استشاري"
"Contemporary political regime","أنظمة سياسية مُعاصرة"
"Conterminous states","دول مُشتركة الحدود"
"Contesting states","دول مُتنازعة"
"Contribute (to) in political decision making","يساهم في اتخاذ القرارات السياسية"
"Contribute (to) in political decision making","يُساهم في اتخاذ القرارات السياسية"
"Contribute (to) in solving international problems","يُساهم في حلّ المشكلات الدولية"
"Contribute (to) in solving international problems","يُساهم في حلِّ المشكلات الدولية"
"Contribute (to) in world progress","يُساهم في التطوّر العالمي"
"Contribute (to) in world progress","يُساهم في التطوُّر العالمي"
"Control (to) frontiers","يضبط الحدود"
"Control of frontiers between states","ضبط الحدود بين الدول"
"Control of frontiers","ضبط الحدود بين الدول"
"Controller","مُراقب"
"Controller","مُرَاقِب"
"Controversy points in negotiations","نقاط الخلاف في المفاوضات"
"Controversy political points","نقاط الخلاف السياسية"
"Conventicler","جمعية سريّة"
"Convention – treaty","اتفاقية"
"Convention protocol","بروتوكول - وثيقة المعاهدة"
"Conventional law","قانون اتفاقي"
"Convergence of political points of views","تقارب في وجهات النظر السياسية"
"Convocation of the ambassador","رسالة باستدعاء السفير"
"Convoke (to) political meeting","يدعو لاجتماع سياسي"
"Convoke (to) political meeting","يَدْعُو لِاجْتِمَاعِ سِيَاسِي"
"Convoke (to) to an urgent meeting","يدعو إلى اجتماع عاجل"
"Convoke (to) to an urgent meeting","يَدْعُو إِلَى اجْتِمَاعِ عَاجِلٍ"
"Coordination committee","لجنة الارتباط"
"Cordial cooperation","تعاون ودي"
"Cordial cooperation","تعاون ودّي"
"Cordial relations between states","علاقات ودية بين الدول"
"Cordial relations between","علاقات ودية بين الدول"
"Coronation","تتويج"
"Corrupted government","حكومة فاسدة"
"Council member","عضو في مجلس"
"Council of nobles","مجلس الأعيان ( نظام بريطاني)"
"Council statement","بيان المجلس النيابي"
"Counselor","مستشار قانوني"
"Counselor","مُستشار قانوني"
"Counter attack","هجوم معاكس مضاد"
"Counter attack","هجوم معاكس مضادّ"
"Counter diplomatic declaration","تصريح دبلوماسي معاكس - مُضاد"
"Counter diplomatic declaration","تصريح دبلوماسي معاكس"
"Counter espionage","مُكافحة الجاسوسية"
"Counter proposal","اقتراح مُضادّ"
"Counter protest","احتجاج مُضادّ - معاكس"
"Counter protest","احتجاج مُضادّ – معاكس"
"Counter reform","معارضة الإصلاح"
"Counter reform","مُعَارِضَة الإِصْلَاح"
"Coup d'état","انقلاب"
"Course of events","مَجرى الأحداث"
"Courtesy visit","زيارة مُجاملة"
"Courtesy visit","نشر"
"Covenant of the League of Nations","صكّ عصبة الأمم"
"Covenant","عهد - ميثاق"
"Cover (to) political news","يُغطي الأنباء السياسية"
"Covering of armies withdrawal","تغطية انسحاب الجيوش"
"Covering of armies","تغطية انسحاب الجيوش"
"Covering of political events","تغطية الأحداث السياسية"
"Covering of political facts","تغطية الوقائع السياسية"
"Create (to) anarchy","يخلق الفوضى"
"Create (to) panic","يخلق الذعر"
"Create (to) panic","يُخلق الذعر"
"Create (to) troubles","يخلق الاضطرابات"
"Creditability of external policy","مصداقية السياسة الخارجية"
"Creditability of external policy","مِصداقية السياسة الخارجية"
"Critical diplomatic situation","وضع دبلوماسي دقيق أو حرج"
"Critical political circumstances","ظروف سياسية حرجة"
"Critical political","ظروف سياسية حرجة"
"Critical world situation","وضع دولي دقيق أو حرج"
"Cultivation of uranium","تخصيب اليورانيوم"
"Cultural attaché","ملحق ثقافي"
"Cultural counselor","مستشار ثقافي"
"Custom concept","مفهوم العرف"
"Custom constitution","دستور عرفي"
"Cut off (to) oil supplies","يقطع إمدادات النفط"
"D","نشر"
"Dead date for forces withdrawal","آخر موعد لانسحاب القوات"
"Dead date for forces","آخر موعد لانسحاب القوات"
"Deal (to) with international claims","يتعامل مع الشكاوى الدولية"
"Debasement of captives","تحقير الأسرى"
"Debasement of political prisoners","إهانة السجناء السياسيين"
"Decentralization","إلغاء المركزية"
"Decide (to) by unanimity","يُقرّ بالإجماع"
"Decision making committee","اللجنة المكلفة باتخاذ القرارات"
"decision","ض"
"Declaration of independence","إعلان الاستقلال"
"Declaration of the state of siege","إعلان الأحكام العرفية"
"Declaration of the state of","إعلان الأحكام العرفية"
"Declare (to) the state of war","يُعلن حالة الحرب"
"Decline (to) political post","يرفض (يُعرض) المنصب السياسي"
"Decolonization","إنهاء الاحتلال"
"Decree","مرسوم"
"Defeat","هزيمة"
"Defend (to) human rights","يُدافع عن حقوق الإنسان"
"Defend (to) human rights","يُدَافِعُ عَنْ حُقُوقِ الإِنْسَانِ"
"Defend (to) national interests","يُدافع عن المصالح الوطنية"
"Defend (to) national interests","يُدَافِعُ عَنِ المَصَالِحِ الوَطَنِيَّةِ"
"Defend (to) territories","يُدافع عن الأراضي"
"Defend (to) territories","يُدَافِعُ عَنِ الأَرَاضِي"
"Defense alliance","تحالف دفاعي"
"Defense arms","أسلحة دفاعية"
"Defense lines","خطوط الدفاع"
"Defense pact","ميثاق الدفاع"
"Defense strategy","استراتيجية الدفاع"
"Defensive alliance","حلف دفاعي"
"Defer (to) consideration","يُؤجل النظر"
