"English Term","Arabic Term"
"classified document","وثيقة سرّية"
"cliché","رَوَسَم"
"cliffhanger","رواية مسلسلة (على حلقات وغالبا ما تنتهي الحلقة بموقف مثير أو مشوِّق انتظاراً للحلقة التالية)"
"clip; clipping","قصاصات الصحافة"
"clips","شريط مقطوعات (فلم قصير مؤلف من لقطات سريعة غالبا ما يصور قطعة غنائية)"
"close captioning","عنونة إلكترونية للصمّ"
"close medium shot","لقطة نصفية مقرّبة، لقطة أمريكية (لقطة تظهر شخصا أو أكثر من أعلى الركبتين إلى الرأس)"
"close shot","لقطة مقرّبة"
"close up","لقطة مقرّبة"
"closed circuit","دارة مغلقة"
"closed circuit TV","دارة تلفزة مغلقة (نظام تصوير وعرض للصورة في دائرة مغلقة يستعمل في الغالب لمراقبة المحلات التجارية والمؤسسات)"
"code","شفرة، رمز"
"coded; scrambled","مرمز"
"collection","مجموعة"
"collective page","صفحة جماعية"
"color","لون"
"color film","1- فلم بالألوان (في السينما) 2- شريط بالألوان (لآلة التصوير)"
"color printing","طباعة بالألوان"
"color TV","تلفاز بالألوان"
"color xerox copy","نسخة بالألوان"
"colored story","مقال مُعرّض"
"column","عمود"
"columnist","محرّر عمود"
"combined issues","عدد مزدوج"
"comedian","ممثل"
"comedy","ملهاة (تمثيلية هزلية)"
"comic artist","مؤلف شرائط رسوم هزلية"
"comic strip; comics","شرائط رسوم هزلية"
"comics book","كتاب شرائط رسوم هزلية"
"community antenna","هوائي مشترك"
"coming attractions","عروض (ال...) المقبلة"
"community viewing; community listening","استقبال جماعي (مشاهدة أو استماع)"
"comment; commentary","تعليق"
"commentator; narrator","معلق"
"commercial","وصلة إشهارية، وصلة إعلانية، صفحة إشهارية"
"commercial announcement","بلاغ إعلاني، بلاغ إشهاري"
"commercial break (radio-TV)","فاصل إعلان، فاصل إشهار"
"commercial radio","إذاعة تجارية"
"commercial television","تلفزة تجارية، قناة تجارية"
"communication","اتصال"
"communications","فن الاتصال، وسائل الاتصال"
"communicator","وكيل الاتصال"
"communique","بلاغ"
"composition","تلحين"
"computer","حاسوب"
"computer animation","رسوم متحركة بالحاسوب"
"computer-aided instruction (CAI)","تعليمات بالحاسوب"
"conference","مؤتمر"
"conference call","مناظرة عن بعد"
"connection","ربط"
"conscience clause","استقلال الرأي"
"console","لوحة المفاتيح"
"consultant","مستشار"
"consumer; user","مستهلك"
"consumer profile","مواصفات المستهلك"
"consumerism","حماية المستهلك"
"contempt","إهانة"
"content analysis","تحليل المضمون"
"content(s)","محتوى"
"continuity","ترابط"
"continuity advertising","حملة إعلانية متصلة"
"continuity clerk","مقطع المشاهد (السيناريو)"
"continuity cutting","تقطيع المشاهد (السيناريو)"
"continuity title","عنوان الربط"
"continuous performance","غرض متصل"
"continuous survey","تحقيق متصل، سير متصل"
"contract","عقد"
"contract film","منتج أفلام"
"contract player","ممثل متعاقد"
"contrast","تضاد"
"contre jour","ضوء معاكس (تصوير في مواجهة الشمس أو ضوء اصطناعي)"
"contributing editor","مستشار التحرير"
"contribution","مقال معاون، مساهمة"
"contributor","مستكث (كاتب من خارج العاملين في الصحيفة)"
"control console","مكتب المراقبة"
"control room","حجرة المراقبة"
"control track","مصوت المراقبة"
"controller of","programmes; 1- مبرمج"
"convenience sample","عينة عشوائية"
"copvention","اتفاقية"
"conventional media","وسائل الإعلام المعروفة"
"conversation","محادثة"
"cooperative","إعلان جماعي"
"co-production","إنتاج مشترك"
"copublication","نشر مشترك"
"copy","نسخة"
"copy approach; copy","معالجة النص"
"copy block","دفتر التسيير"
"copy boy","موزع الصحف"
"copy date; deadline","أجل الإبداع"
"copy department","قسم التحرير"
"copy desk","مكتب المراجعة"
"copy edit","مراجعة النص"
"copy editor","مصحح"
"copy schedule","برنامج المواد (جدول المقالات التي ستصدر في أعداد الصحيفة المقبلة)"
"copyguard; copy","مفتاح التأمين"
"copyright","حق المؤلف (وهو حق الملكية الفكرية، وهذه تشمل كل إنتاج في أو أدنى له)"
"copyright notice","ذكر حق المؤلف"
"copyrighting","تسجيل المؤلفات (إيداع المؤلفات لدى مكتب حقوق التأليف)"
"copywrite","محرر مقالات"
"cordless sync","تزامن لا سلكي للصوت والصورة"
"corporation","شركة"
"correction","تدقيق (مراجعة نصّ وتصحيحه)"
"corrective","تصويب (بيان لتصحيح خبر، أولاً سندراك خطأ في تصريح نشر من قبل)"
"correspondent","مراسل"
"corrigendum","تصويب (الأغلاط المطيعة)"
"cost","كلفة"
"costume film","فلم تاريخي"
"costumes","ملابس"
"countdown","عدّ تنازلي"
"country of publication","بلد الإصدار"
"coupon","قسيمة"
"cover; cover page","غلاف"
"cover model","قناة الغلاف (صورة على الغلاف تظهر قناة تستجيب لمقاييس الأزياء)"
"cover photograph","صورة الغلاف"
"cover price","سعر(ال..) المعلن، ثمن النسخة"
"cover story","موضوع الغلاف، مقالة المجلة"
"cover title","عنوان الغلاف"
"coverage","تغطية"
"crabs","مُرجّعات"
"crane","رافعة"
"creative department","قسم الإبداع"
"creativity","إبداع"
"credible","موثوق"
"credit line","بيان المصدر"
"credits; credit titles","مقدمة القلم"
"creeping titles","عناوين مُنسّابة (عناوين مقدمة قلم تُنسّاب متتابعة على شاشة العرض)"
"crew","فريق عمل"
"critic","ناقد(ال..)"
"critical view","وجهة نظر نقدية"
"criticism","نقد(ال..)"
"cross media","قطب صحفي (شخص يمتلك عدة أجهزة في ميدان الإعلام، صحافة، مطابع، محطات إذاعية وتلفزة، إعلان، إلخ)"
"crosslighting","إضاءة متقاطعة"
"cue","إشارة البدء"
"cue card; flip card","بطاقة تذكير (بطاقة تذكر بعناصر البرنامج المتلفز)"
"cue light","إضاءة التصوير"
"cue line","إشارة الربط (إشارة بين صحفي الاستوديو وتقني المحافظة للربط بين برنامجين أو خبيرين أو فاصلين)"
"cue sheet; running","دليل التوقيت (ورقة تتضمن توقيت كل فقرة من فقرات البرنامج وتفاصيلها)"
"cultural programme","برنامج ثقافي"
"current events","حوادث(ال..) الجارية"
"current number","عدد اليوم (في الصحافة المكتوبة)"
"curtain","ستار"
"curtain raiser","فقرة الافتتاح (في المسرح، هو البرنامج الذي يعرض بعد رفع الستار مباشرة)"
"customer service","قسم الزبائن"
"cut","فاصل (واصل)"
"cut version","نسخة مختصرة"
"cutaway","لقطة فاصلة (صورة أو لقطة تفصل بين مشهدين أو موضوعين في قلم)"
"cut-in","عنوان فاصل (صحافة مكتوبة)، فاصل إعلاني (إذاعة، تلفزة)، فاصل إشهاري(إذاعة تلفزة)"
"cut-in scene; keying","دمج (نص في الصورة)"
"cutline; caption","اسم المؤلف (مقالات صحفية)، اسم المرسيل (قصاصات الأخبار)"
"cut-offs","فواصل إعلانية، فواصل إشهارية"
"cutout","مناظر محذوفة"
"cutting copy","نسخة العمل ( النسخة التي يشتغل عليها المخرج أو مهندس الصوت أو فريق الدبلجة لإخراج القلم)"
"dailies; daily papers","صحف يومية"
"daily circulation","توزيع يومي"
"daily evening paper","صحيفة مسائية يومية"
"daily morning paper","صحيفة صباحية يومية"
"daily newspaper","صحيفة يومية"
"daily press conferences","مؤتمرات صحفية يومية"
"daily programme","برنامج يومي"
"daily report","تقرير يومي"
"daily returns","مرجعات يومية"
"daily-news","أخبار يومية"
"darkroom","غرفة مظلمة"
"data","معطيات إخبارية"
"data communications","اتصال إلكتروني"
"data gathering","جمع المعلومات"
"data processing; information processing","معالجة المعلومات"
"database; databank","قاعدة معلومات"
"date","تاريخ"
"date of issue; date of publication","تاريخ الصدور"
"dateline","برقيات الأخبار، بيانات العدد (في صحيفة هي تاريخ العدد، ورقمه، ورقم المجلد، والسنة، الخ...)"
"dayshift","فريق النهار (العاملون في النهار في مقابل العاملين في الليل)"
