"English Term","Arabic Term"
"Demonopathy","الديمونوباثيا"
"Dependance","التبعية"
"Depoliticized Democracy","الديمقراطية غير المسيسة"
"Development","التنمية"
"Development Of Under-Development","تنمية التخلف"
"Dialecticalism","ديالكتيكية"
"Differentiation","التباين"
"Digitization","الرقمنة"
"Diplomacy","دبلوماسية"
"Diplomatic","دبلوماتيك"
"Disarmament","نزع السلاح"
"Discourse","خطاب"
"Discrimination","التمييز والمحاباة"
"Disorder / Dysergy","التفكك"
"Distributive Changes","الظواهر التوزيعية المتغيرة"
"Divide And Rule Policy","فرق تسد"
"Domestic & International Politics","السياسة الداخلية والسياسة الدولية"
"Domination","السيطرة"
"Dynastic States","الدول الأسرية"
"Dysfunctions","المعوقات الوظيفية للنظام"
"E Pluribus Unum","من الكثير واحد"
"E Pluribus Unum","واحد من كثير"
"East African Common Services Organization (EACSO)","منظمة الخدمات المشتركة لشرق أفريقيا"
"Eastern Question","المسألة الشرقية"
"Economic Community European (EEC)","السوق الأوربية المشتركة / أنظر المجموعة الأوربية المشتركة"
"Economic Community European (EEC)","المجموعة الأوروبية المشتركة"
"Efficiency","الكفاءة"
"Egaliterianism","المساواة"
"Egypt","مصر"
"Einfuchlung","التغلغل"
"Elections","الانتخابات"
"Electorate","الهيئة الانتخابية"
"Electronic Mail","البريد الا لكتروني"
"Elite Theory","نظرية النخبة أو الصفوة"
"Emanicipation","الرغبة في التحرر"
"Enclosed And Semi-Enclosed Seas","البحار المغلقة وشبه المغلقة"
"Encryption Information","تعمية المعلومات"
"Enemity","عداء"
"Enforcement Meachanism","قوة ردع عنيفة"
"Enlightenment","التنوير)) التوعية ("
"Enlightenment","التوعية"
"Envirnment","البيئة"
"Epuration","التطهير السياسي"
"Equnilbrium","التوازن"
"Esquipulas ٢","اتفاقيةاسكيبولاس الثانية"
"Estuary","لسان"
"Et Cetera","قاعدة إلى آخره قاعدة إلى آخره الخالخ)..(.."
"Etatism","الدوللة"
"Ethical Codes","المواثيق الأخلاقية"
"Ethics","الأخلاق"
"Ethnocentrism","التحيز العنصري"
"Ethnology","الأثينية"
"Excessive Participation","المشاركة المفرطة"
"Exclusive Rights","حقوق خالصة"
"Executives","السلطة التنفيذية"
"Existentialism","و جودية"
"Factions","أجنحة سياسية"
"False Consciousness","الوعي الم زيفزيف)) الفالصو ("
"Family Relationships","العلاقات العائلية"
"Fascim","الفاشية"
"Fast Food","الوجبات السريعة"
"FBI / Federal Bureau Of Investigation","مكتب التحقيقات)) المباحث ((الفيدرالي"
"Federalism","الفيدرالية"
"Feed Back Process","التغذية الإسترجاعية"
"FifthColumn","الطابور الخامس"
"Fjord","شرم"
"Fjord","فيورد / أنظر شرم"
"Flash Back","النكوص إ لى الماضي"
"Folksgeist","روح الشعب"
"Food And Agriculture Organization (FAO)","منظمة الأغذية والزراعة"
"Formal & Symbolic","رسمي ورمزي"
"Formal And Institutional","المستوى الرسمي والمؤسسي"
"Fourteen Points","النقاط الأربعة عشرة"
"Free Market","السوق الحرة"
"Free Trade Unions","اتحادات عمال حرة"
"Free Tribune","منبر حر"
"Freedom Of Expression","حرية التعبير"
"Freedom Of Fishing","حرية الصيد"
"Freedom Of Flay Over The High Seas","حرية الطيران فوق أعالي البحار"
"Freedom Of Navigation /  / Mare Liberum","حرية الملاحة في البحار"
"Freedom Of The High Seas","حرية أعالي البحار"
"Freedom With Leadership","الحرية ذات الهدف"
"Frontier","تخوم"
"Fulbright Resolution","فولبرايت)) مشروع ("
"Fulton Committee","لجنة فولتون"
"Function","الوظيفية"
"Functional Commissions","اللجان الوظيفية)) لجان العمل ("
"Game Theory","نظرية اللعب"
"GATT","الاتفاقية العامة الخاصة بالتعرفة والتنمية"
"GATT General Agreement Of Tariffs And Trade","الجات الجات)) الإتفا قية العامة للتعريفات الجمركية والتجارة ("
"Gaullism","الديجولية"
"Gaza Strip","قطاع غزة"
"Gender & Development","الجندر والتنمية"
"General Assembly","الجمعية العامة للأمم المتحدة"
"General Opinion","رأي الإجماع"
"Generalization","تعميم)) تعميمية ("
"Gestapo","الجستابو"
"Ghetto","الجيتو"
"Gheyyo Resident","سكان الجيتو"
"Gibraltar (GIB )","جبل طارق"
"Gieopolitical Codes","المباديء الجيوبولوتيكية"
"Glasnost","الجلاسنوست"
"Gliechschaltung","النازية وبرنامجها"
"Global Negotiations","مفاوضات شاملة"
"Global Village","القرية العالمية"
"Globalist","الرأي الكوني"
"Globalization","العولمة أو الكوكبة"
"Globalization","الكوكبة"
"Goal Attainment","إنجاز الأهداف"
"Gold Jubilee","اليوبيل الذهبي"
"Government","الحكومة"
"Grand Theory","النظرية الكبرى"
"Green Book","الكتاب الأخضر"
"Green Movements","الخضر) حركات ("
"Gross Domestic Product / GDP","الناتج المحلي"
"Gross National Product / GNP","الناتج القومي"
"Group Dynamics","ديناميكية الجماعة"
"Group Of Seven (G- ) ٧","مجموعة السبع"
"Groups Idea","جماجما عات الأفكار"
"Growth","النمو"
"Gulf","خليج كبير"
"Gulf Co-Operation Council (GCC )","مجلس التعاون الخليجي"
"Gulf War","حرب الخليج"
"Gunboat Diplomacy","دبلوماسية الزوارق الحربية"
"Gunnar Mrdal","عبارة ميردال"
"Habits","عادات"
"Headwaters","منبع النهر"
"Hegemony","هيمنة"
"Heroes And Outsixe Men","أبطال وأفذاذ"
"Heuristic Function","الوظيفة الكشفية أو التوجيهية"
"Hierarchy","هرمية"
"Hierarchy Of Values","مدرج القيم"
"Hieratic","هيراطيقية"
"Historic Waters","المياه التاريخية"
"History","التاريخ"
"Home Rule","الحكم الذاتي"
"Homo Caucasicus","القوقازية)) أجناس ("
"Homo Mongoticus","المغولية)) أجناس ("
"Homou Aethiopicus","الزنوج)) أجناس ("
"House Of Commons","مجلس العموم البريطاني"
"House Of Lords","مجلس اللوردات"
"House Of Representatives (H.R.)","مجلس النواب الأمريكي"
"Human Rights","حقوق الإنسان"
"Hunter College","هنتر كوليج"
"Hyper-Organizers","منظمات المعلومات الفائقة"
"Hyperfactualism","فوق الواقعية"
"Ideal Type","نمط مثالي"
"Idealism","المثالية"
"Identification","التوحد"
"Identity","الهوية"
"Ideological Beliefs","المعتقدات الأيديولوجية"
"Ideologist","المحلل الأيدلوجي"
"Ideology","أيدلوجية"
"IGAD Partners Forum (IPF )","منتدى شركاء الإيجاد"
"Imaginering","هندسة الخيال"
"Imperialism","إمبريالية"
"Imperium","إمبراطور"
"Independents","المستقلون"
"Individualism","الفردية"
"Indoctrination","التوعية المذهبية"
"Inference Theory Of Empathy","نظرية الاستنتاج في التقمص الوجداني"
"Inferiority","الدونية"
"Influence","النفوذ"
"Info-Ethics","أخلاقيات عصر المعلومات"
"Infomedia","إنفوميديا"
"Information Age","عصر المعلومات"
"Information Superhighway","الطريق السريع للمعلومات"
"Information-Processing System","النظام لمعالجة المعلومات"
"Infornation Seeking","نظرية التماس المعلومات"
"Infrastructure","هياكل البنية الأساسية"
"Initiator And Final Arbiter","المبادر والحكم الأخير"
"Innocent Passage","المرور البريء"
"Inputs","المدخلات"
"Instrumentalists","الذرائعيين"
"Integration","التكامل"
"Intellectuals","المثقفون"
"Intelligence","استخبارات"
"Intelligentsia","الأنتلجنسيا"
"Intensification","التالت كثيف"
"Interdependent Culture","الثقافات الاتكالية"
"Interest","المصلحة"
"Interest Special","مصلحة خاصة"
"International","الدولية ال ثالثةثالثة)) الكمنترن ("
"International Atomic Energy Agency (IAEA)","الوكالة الدولية للطاقة الذرية"
"International Bank For Reconstruction And Development (IBRD)","البنك الدولي للإنشاء والتعمير"
"International Bill Of Human Rights / The Universal Declaration Of Human Rights","الإعلان العالمي لحقوق الإنسان"
"International Civil Aviation Organization (ICAO )","المنظمة الدولية للطيران المدني"
"International Committee Of Baleines (ICB)","لج نة دولية للحوت"
"International Committee Of The Red Cross (ICRC )","اللجنة الدولية الأولمبية"
"International Court Of Justice (ICJ)","محكمة العدل الدولية"
"International Cultivation Analysis","تحليل الإنماء الدولي"
"International Détente","الانفراج الدولي"
"International Labour Drganisation (ILO )","م نظمة العمل الدولية"
"International Law","القانون الدولي"
"International Maritime Organization (IMO)","منظمة الملاحة الدولية"
"International Non-Governmental Organizations(INGO)","المنظمات الدولية غير الحكومية"
"International Olymbic Committee (IOC)","اللجنة الدولية للصليب الأحمر"
"International Order","النظام الدولي"
"International Organization For Migration (IOM)","المنظمة الدولية للهجرة"
"International Organizations","المنظمات الدولية"
"International Relations","العلاقات الدولية"
"Internet-Ethics","أخلاقيات الإنترنت"
"Interview","مقابلة شخصية"
"Iron Law Of Oligarchy","القانون الحديدي للأوليجاركية"
"Islamic Conference","المؤتمر الإسلامي"
"Isolationism","زلة الع"
"Isthmus","برزخ"
"Jew (Jewish) Agence","الوكالة اليهودية"
"Joint Ventures","المشروعات المشتركة"
"Kidnapping & Ransom (K&R)","الاختطاف والفدية"
"Kio Min Tang","كيومنتانج"
"Kneecapping","تعذيب"
"Knowledge Bases","قواعد المعرفة"
"Kokuryukai","جمعية نهر آمون"
"Kondratieff","كوندراتيف"
"Ksassebaum Amendement","تعديل كاسيبوم"
"Kulak","الكولاك"
"Labour Movement","الحركة العمالية"
"Labour Party","حزب العمال"
"Laissez Faire","الباب المفتوح)) سياسة ("
"Laissez Faire... Laissez Passez","دعه يعمل دعه يمر"
"Lake","بحيرة"
"Land Reform / The Agrarians","الإصالإص لاح الزراعي"
"Landlocked Country","بلد حبيس"
"Large Scale Investments","الاستثمارات الكبرى"
"Latency","الكِمون"
"Latin America","أمريكا اللاتينية"
"Laws","القوانين"
"Learning","التعلم"
"Legal Authority","السلطة القانونية"
"Legitimacy","الشرعية"
"Levels Of Political Activity","مستويات النشاط السياسي"
"Liberal","الاتجاهات الليبرالية"
"Liberal Democracy","الديمقراطية الليبرالية"
"Liberalisim","الليبرالية"
"Liberty","الحرية"
"Lobbies","لوبي"
"Lobbying","مناورات الأروقة"
"Lobbyists","لوبيات"
"Logistics","لوجيستي"
"Loss Of Control","فقدان السيطرة"
"Luddites","اللوطيدس"
"Lumpers & Splitters","الربط والحل)) أهلأهل ("
"Lutheran Church","الكنيسة البروتستنتية"
"Mac World","عالم ماك"
"Macluhanism","الماكلوهاتية"
"Macro-Studies","الدراسات الكبرى"
"Magna Charta","العهد الأعظم / أنظر الماجنا كارتا"
"Magna Charta","الماجنا كارتا"
"Magul / Moghul","مغولي"
"Mainland","اليابسة"
"Majority Government","حكومة أغلبية"
"Manifest","الوظائف الظاهرة"
"Manifestations","المظاهرات"
"Marshall (Plan )","مارشال)) برنامج ("
"Marxism","الماركسية"
"Mas Media","الوسائط الإعلامية الجماهيرية"
"Mass","جمهرة"
"Mass Customization","وسائط إعلامية حسب طلب الجماهير"
"Mass Movement","الحركة الجماهيرية"
"Mass Participation","المشاركة الجماهيرية"
"Mass Political Movements","الحركات السياسية الجماهيرية"
"Mass Society","مجتمع جماهيري"
"Material Benefits","المنافع المادية"
"Materialism","المادية"
"Mc-Carthism","الماكارثية"
"Media Pirates","قراصنة الوسائط الإعلامية"
"Media-Ethics","أخلاقيات الإعلام"
"Mediation","الوساطة"
"Medieval Times / Mediaevalism","العصور الوسطى"
"Megalomania","جنون العظمة"
"Men Genocide","إبادة الجنس البشري"
"Menials","العبيد"
"Mentalist","النظرة الذهنية"
"Merchantilism","المذهب التجاري / أنظر المركانتيليي"
"Michigan School","مدرسة ميتشيجن"
"Middle Levels Of Power","المستويات الوسطى للقوة"
"Military Juntas","الأنظمة العسكرية"
"Missionaries","المبشرون"
"Modern Customs","التقاليد الحديثة"
"Modernism","الحداثة"
"Modernization","التحديث"
"Modernization","العصرنة أو المعاصرة"
"Monopoly","احتكار"
"Moral Dilemmas","المعضلات الأخلاقية"
"Multi-Media","الوسائط المتعددة"
"Multi-Media","مالتي ميديا"
"Multilateral Aid","المساعدات الخارجية المشتركة"
"Multinational","الشركات متعددة الجنسية"
"Multipolae System","نظام تعدد القوى"
"Muslim Brotherhood","الإخوان المسلمين"
"Mutual Veto","الفيتو) الاعتراض ((المتبادل"
"N E P A D","نيباد"
"Narmalization","التطبيع"
"Nation","الأمة"
"Nation-state","الدولة القومية"
"Nation-State System","النظام الدولي الأُممي"
"National Association For The Advancement Of Colored People (NNAACP)","الرابطة الوطنية لتقدم الملونين"
"National Character","الشخصية القومية"
"National Character","الطابع القومي للشخصية"
"National Home","وطن قومي"
"National Integration","التكامل القومي"
"National Minorities","الأقليات القومية"
"National Salvation","الإنقاذ الوطني"
"National Security Council (NSC )","مجلس الأمن الوطنى"
"National Spirit","الروح القومية"
"National-Building","بناء الأمة"
"Nationalism","قومية"
"Nationality Movements","حركة الجنسيات"
"Nationalization","التأميم"
"Nationhood","فكرة الأمة"
"Nations League","عصبة الأمم"
"NATO","الناتو"
"NATO","حلف الناتو"
"Navel Blockade","حصار بحري"
"Nazism","النازية"
"Negotiated Order","النظام التفاوضي"
"Negotiations","مفاوضات"
"Neighbourhood Councils","مجالس جوار"
"New Atlantis","أطلانطا الجديدة"
"New Frontier","الحد الجديد"
"New Frontier","الميدان الجديد"
"New Nations","الدول الج ديدة"
"New Temporist","الحركة الجديدة نح والاعتدال"
"New – Thomism","القومية الجديدة / أنظر نيوتومزم"
"New – Thomism","نيوتومزم"
"Nobel (Alfred)","نوبل"
"Noems & Ideals","ثلعادات وم ثل عادات وم"
"Nomination","الترشيح"
"Non- Governmental Organization (NGO )","منظمة غير حكومية"
"Non-Aligned & Positive Neutrality","عدم الانحياز والحياد الإيجابي"
"Non-Central","لا مركزية"
"Non-Entanglement","سياسة العزلة"
"Non-Liberal","غير ليبرالي"
"Non-Violence","عدم العنف والدفاع السلبي"
"Normal Channels","القنوات العادية"
"Norms","القواعد"
"Norms","المعايير"
"North Atlantic Treaty Organization","منظمة معاهدة حلف شمال الأطلنطي"
"Nouveaux Philosophes","الفلاسفة الجدد"
"Nuclear Deterrence","الردع النووي"
"O.C.D.E","منظمة التعاون والتنمية الاقتصادية"
"OAPEC","أوابك"
"Oasis","الواحة"
"Objective Responsibility","المسئولية الموضوعية"
"Office For The Co-Ordination Of Humaniterian Affairs(OCHA)","مكتب تنسيق الشئون الإنسانية"
"Official Government Policy","سياسة رسمية حكومية"
"Official Propaganda","الدعاية الرسمية"
"Operations","العمليات"
"Opinion","الرأي"
"Opinion Leader","قائد الرأي"
"Organization Of American States (OAS)","منظمة الدول الأمريكية"
"Organization Of Arab Petroleum Exporting Countries (OAPEC) / أنظر","منظمة الدول العربية المصدرة للبترول"
"Organization Of The Islamic Conference (OIC)","منظمة المؤتمر الإسلامي"
"Organization Of The Petroleum Exporting Countries (OPEC )","منظمة الدول المصدرة للبترول"
"Organization Public","الجمهور المنظم"
"Organized Interest","المصالح المنظمة"
"Orthodoxy","الأرثوذوكسية"
"Orthodoxy","التراثية"
"Outputs","المخرجات"
"Overdetermination","الحتمية المفرطة"
"P L O / Palestine Liberation Organization","منظمة التحرير الفلسطينية"
"Pact","ميثاق أو عهد"
"Palestine","فلسطين"
"Palestine National Authority (PNA)","السلطة الوطنية الفلسطينية"
"Pan German League","الجامعة الجرمانية"
"Pan-African Connnngress Movement","حركة مؤتمر الجامعة الأفريقية"
"Pan-Asiatic Association","جمعية الوحدة الآسيوية"
"Paradigm","نهج عام"
"Parish Councils","مجالس الأبرشيات"
"Parliamentary Government","الحكم البرلماني"
"Parliamentary Groups","الجماعة أو الهيئة البرلمانية"
"Participation","التأييد والرضا الشعبي"
"Particular Fact","الحقيقة الخاصة) التخصيصية ("
"Party","الحزب"
"Party Bias","التحيز الحزبي"
"Party Govt","الحكومة الحزبية"
"Party Of People","حزب الشعب"
"Pastiche","الباستيش"
"Pastiche","المحاكاة بقصد السخرية"
"Patents","برابرا ءات اختراع"
"Paternalism Liberal","الأبوية الليبرالية"
"Patrimonialism","النزعة الوراثية"
"Patriotism","الوطنية"
"Peace","السلام"
"Peace Keeping","حفظ السلام"
"Peace Making","صنع السلام"
"Peninusla","شبه جزيرة"
"Penitos","بنتيوس"
"People","الشعب"
"Peoples Administration","إدارة الشعب"
"Peoples Will","إرادة الشعب"
"People’s Identity","هوية الشعب"
"Perceptions / Spiritual","معتقدات"
"Perestroika","البرسترويكا"
"Performance Evaluation","تقييم الأداء"
"Periodizaton Of History","التحقيب"
"Peripheral Areas","مناطق الأطراف"
"Personality Cult","عبادة الفرد"
"Persuasion","الإقناع"
"Petah Tikvah","باب الأمل"
"Phalangists","المليشيات"
"Phenomenology","الظاهراتية / أنظر فينومينولوجيا"
"Physical Force","القوة المادية"
"Physiocracie","الفيزيوقراطية"
"Planned Socialist Society","المجتمع الاشتراكي المخطط"
"Planning","التخطيط"
"Platt Amendement","تعديلات بلات"
"Pluralism","التعددية"
"Pogrome","بوجروم) السخط ضد اليهود ("
"Polarization","استقطاب"
"Policy Ineffectiveness Theorm","عدمعدم فاعلية السياسة"
"Policy-Initation","المبادرة السياسية"
"Policy-Making Process","عملية صنع القرار"
"Political","السياسة"
"Political & Information Planning","التخطيط السياسي والإعلامي"
"Political Activity","النشاط السياسي"
"Political Behaviour","السلوك السياسي"
"Political Centralization","المركزية السياسية"
"Political Change","التغير السياسي"
"Political Communication","الاتصال السياسي"
"Political Corruption أو أوPolitical Squalor","الفساد السياسي"
"Political Culpable","الإدانة السياسية"
"Political Culture","الثقافة السياسية"
"Political Culture Approach","منهج الثقافة السياسية"
"Political Development","التنمية السياسية"
"Political Devices","وسائل سياسية"
"Political Economy","الاقتصاد السياسي"
"Political Envy And Despair","الحقد واليأس السياسي"
"Political Feelings","أحاسيس ومشاعر سياسية"
"Political Feelings","مشاعر سياسية"
"Political Focal Institutional","تنظيم سياسي واحد"
"Political Geography / Geopolitics","الجغرافيا السياسية)) الجيوبولوتيكا ("
"Political Idea","الفكرة السياسية"
"Political Indoxication","التسميم السياسي"
