"English Term","Arabic Term"
"activation","تنشيط، تفعيل"
"active, efficient","فعال، تنشيط، مؤثر"
"activities, illegitimate","نشاط غير شرعي أو غير قانوني، (مهيّج أو تحريضي)"
"acts to stabilize security","إجراءات لتحقيق الإستقرار"
"actualities","أحداث حالية، أحداث الساعة، حاليات، الأخبار"
"actually, realistic","تحقيقية، بواقعية، بفعالية"
"ad-libitum","حسب المراد، كما يشاء"
"ad-verbum contract","نص (حرفي) للعقد"
"add (to) to the file","يُضع في الملف، يُضيف إلى الملف"
"add to the files","يضع أو يضيف إلى الملفات"
"addendum agreements","معاهدة (اتفاقية) إضافية (أو ملحقة)"
"addition, annex, addendum","إضافة، ملحق"
"addition","إضافة، علاوة، إلحاق، زيادة"
"additional agreement","اتفاقية فرعية (جانبية أو إضافية)"
"additional allocation","ميزانية إضافية (لاحقة)"
"additional approval","موافقة إضافية"
"additional clause","بند إضافي، فقرة إضافية"
"additional clause","فقرة إضافية"
"additional office","وظيفة إضافية"
"additional protocol","بروتوكول (محضر) إضافي"
"additional question","سؤال إضافي"
"additional request","طلب إضافي"
"additional seats","مقاعد إضافية"
"additional section","فقرة إضافية"
"additional, supplementary","إضافي، تكميلي (صفة)"
"address","عنوان"
"adherence to the parliament","تابعة المجلس النيابي (انتماء أو انتساب برلماني)"
"adherence treaty","معاهدة انضمام (الدخول إلى حلف)"
"adherence, membership demand","طلب العضوية (طلب انتساب)"
"adherence","انضمام، التحاق، انتساب"
"adhesion declaration, statement","إعلان الانضمام"
"adjacent state","بلد مجاور"
"adjoin (to)","يُتاح، يُحَدّ"
"adjourn (to) on uncertain time","أجل إلى زمن غير محدد"
"adjourn (to)","أرجاء، أجل"
"adjournment committee","لجنة اتخاذ القرارات، الهيئة المقررة"
"adjournment decision","قرار تأجيل أو إرجاء"
"adjournment proposition","طلب تأجيل أو إرجاء"
"adjournment","تأجيل، تأخير، إرجاء"
"adjustment","إحكام، تسوية، مطابقة"
"administration agreement","اتفاقية إدارية"
"administration autonomy","استقلال إداري"
"administration branch","فرع إداري"
"administration com- plaint","شكوى إدارية"
"administration committe","لجنة إدارية"
"administration control","رقابة (مراجعة) إدارية"
"administration dis- posal","تصرف إداري"
"administration field","مجال إداري"
"administration function","عمل إداري"
"administration hierarchy","الهرمية الإدارية، التسلسل الإداري"
"administration infra- structure","البنية التحتية الإدارية"
"administration personnel","الموظفين أو العاملين الإداريين"
"administration reform","إصلاح إداري"
"administration rules","تعليمات إدارية"
"administration sector","قطاع إداري"
"administration structure","البنية الإدارية"
"administration tasks","مهام (أعمال، وظائف) إدارية"
"administration unit","وحدة إدارية"
"administration work","العمل الإداري"
"administration, govern- ment","إدارة، حكومة"
"administration","مصلحة (دائرة) حكومية"
"administrative act, exe- cutive action","عمل (فعل) إداري"
"administrative agreement","اتفاقية إدارية"
"administrative body","جهاز إداري"
"administrative budget","ميزانية إدارية"
"administrative centrali- zation","المركزية"
"administrative compe- tence","كفاءات إدارية"
"administrative court of justice","المحكمة الإدارية العليا"
"administrative court","محكمة القضاء الإداري"
"administrative employee","مُوَظَّف إداري"
"administrative experience","خبرة (عمل) إدارية"
"administrative formalities","تعليمات إدارية، تشكيلات إدارية"
"administrative law","قانون إداري، القانون الذي ينظم عمل الإدارة"
"administrative legislation","التشريع الإداري"
"administrative matters","شؤون إدارية"
"administrative means","الطريق الإداري، الوسائل الإدارية"
"administrative procedure","إجراء إداري"
"administrative procedures","إجراءات إدارية"
"administrative service","مصلحة إدارية"
"administrative specialization","إختصاص إداري"
"administrative structure","التركيب الإداري، التنظيم الإداري"
"administrative work","العمل الإداري، التَّوْظُّف"
"administrative, executive instructions","تعليمات إدارية"
"administrative, executive","خاص بالإدارة"
"administrative","إداري"
"administrator, director","مدير"
"admiral","مشير، أميرال، أمير البحر"
"admiralty","إمارة البحر"
"admission demand","طلب القبول"
"adopt (to) a policy opposed to war","ينتهج سياسة مناهضة للحرب"
"adopt (to) a policy to resist the foreign rule","حارب (قاوم) ضد الحكم الأجنبي"
"adopt (to) a policy to strike the government","وجّه ضربة إلى الحكومة"
"adopt (to)","انتهج"
"adopt a law","أقرّ (اعتمد) قانوناً"
"adoption of a project in the federal council","إقرار (مشروع) في المجلس الإتحادي"
"adoption of credit","اعتماد القرض"
"advance (to)","تحرك، لحق بـ، تقدّم على، سبق، أخذ مكان"
"adventure","مغامرة"
"adversary","خصم، منافس، معارض، غريم"
"advice council","مجلس، مستشار"
"advice groups","الفرق الإستشارية، المجموعات الإستشارية"
"advice protocol","محضر المناقشة أو المشاورات"
"advice result","نتيجة المناقشة أو المشاورة"
"advice","مشاورة، مداولة، مشورة"
"adviser","مستشار، مُقرّر، خطيب"
"advisor, consultant","خبير إستشاري"
"advisor, consultant","مستشار"
"advisory commission","لجنة استشارية"
"advisory committee or board","هيئة إستشارية"
"advisory committee","هيئة المستشارية"
"advisory council","مجلس إستشاري"
"advisory function","وظيفة (مهمة) إستشارية"
"advisory meeting","اجتماع استشاري"
"aerial defense (defence)","الدفاع الجوي"
"aeronautics fleet","أسطول جوي، السلاح الجوي"
"aeronautics ministry","وزارة الطيران (وزارة الملاحة الجوية)"
"affair, issue","قضية، شأن"
"affiliate (to)","يضم، يدمج، يتصل بـ"
"affiliated (to)","تابع لـ"
"affiliated to the party","مُنتسب (متمم أو مُتضمم) إلى الحزب"
"affiliation to an organization","تبعية لمُنظمة، عضوية مُنظّمة"
"Afghanistan","أفغانستان"
"Africa","إفريقيا"
"afro-asiatic conference","المؤتمر الأفروآسيوي"
"afro-asiatic group","المجموعة الأفروآسيوية"
"afro-asiatic solidarity council","مجلس التضامن الأفرو آسيوي"
"afro-asiatic","الأفرو-آسيوي"
"after a while","بَعْدَ، عَقَبَ (في أعقاب)، عند نهاية الشهر"
"against antagonist","معادي، مناهض، معارض (صفة)"
"against, opposed","ضد، عكس"
"agency to represent the foreign policy","تمثيل السياسة الخارجية"
"agency","مفوضية، تمثيل"
"agenda (project for work)","مشروع جدول الأعمال"
"agenda of the cabinet","جدول أعمال مجلس الوزراء"
"agenda","جدول أعمال، مذكرة أعمال، أجندة، مفكرة"
"agent secret","رجل مخابرات، عميل سري، تجري"
"agent, spy","عميل، وكيل، (جاسوس)"
"agent","عميل، وكيل"
"aggravated situation","حالة متأزمة، وضع مخرج"
"aggravated","دقيق، متأزم، مشكوك به،"
"aggravation of the situation","تدهور الموقف"
"aggravation","تفاقم، تدهور"
"aggression policy","سياسة عدوانية"
"aggression war","حرب عدوانية"
"aggression","اعتداء، عدوان"
"aggressive action","عمل عدواني"
"aggressive intents","أغراض عدوانية"
"aggressive","عدواني، عدائي، تهجمي"
"aggressively","هجومي، عسكري (صفة)"
"aggressor","معتد، مهاجم"
"agitate (to)","حرض، آثار الفتن أو القلاقل"
"agitation, incitment","إثارة تحريض، هياج"
"agitator","محرض، مثير للفتن، مشاغب، مثير للقلاقل"
"agrarian reform","إصلاح زراعي"
"agree (to)","وافق، واءم، تجاوب، إتفق مع (على)"
"agreement (termination of the...)","إلغاء (فسخ) الإتفاق"
"agreement (to get the approval)","حصل على الموافقة (سفارة)"
"agreement against discrimination in the instruction nature","اتفاقية ضد التمييز في التعليم"
"agreement for prevention of war","معاهدات تحريم الحرب"
"agreement of the judicial cooperation","إتفاقية التعاون القضائي"
"agreement over acknowledgment and execution foreign awards","اتفاقية الاعتراف وتنفي الأحكام القضائية الأجنبية"
"agreement over right of the agreements","اتفاقية فيينا حول قانون المعاهدات"
"agreement over the organization for economic cooperation and development","اتفاقية منظمة التنمية والتعاون الاقتصادي"
"agreement to the settlement of investment disputes between states and people of other states","اتفاقية حول تسوية نزاعات الاستثمار بين الدول ورعايا دول أخرى"
"agreement, consent","وفاق، انسجام، تفاهم"
"agreement, treaty of Potsdam","معاهدة بوتسدام"
"agriculture ministry","وزارة الزراعة"
"agriculture, agrarian","الزراعة"
"agriculture","الزراعة، الإقتصاد الزراعي"
"aid","معونة، أمانة، مساعدة، إمداد"
"aide-Memoire","مذكرة (مفكرة) مساعدة"
"aim at","إستهدف، قصد، هدف إلى"
"air atmosphere","جو، هواء"
"air attaché","ملحق عسكري جوي"
"air attack or raid","غارة جوية، هجوم جوي"
"air base","قاعدة جوية"
"air basis","قاعدة جوية"
"air battle","معركة جوية"
"air command","قيادة السلاح الجوي"
"air country troop","فرقة جنود المظلات"
"air defence (against air attacks)","الدفاع الجوي (ضِدُّ الغارات الجوية)"
"air defence system","نظام دفاع جوي"
"air defence","الدفاع الجوي"
"air defense","مدفعية مضادة للطائرات، الدفاع الجوي"
"air defensive system","نظام دفاع جوي"
"air embargo","الخطر الجوي (خطر الغارات الجوية)"
"air fight","معركة جوية"
"air fired rocket","صاروخ مطلق (مقدوف) من الجو"
"air force base","قاعدة عسكرية جوية"
"air force officer m.","ضابط طيار"
"air force officer","ضابط طيار، ضابط في سلاح الطيران"
"air force","سلاح الطيران"
"air highness region","منطقة السيادة الجوية"
"air highness","السيادة الجوية"
"air incident","قضية اختراق المجال الجوي"
"air land rocket","صاروخ جو بحر"
"air manoeuvre","مناورة جوية"
"air navigation","الملاحة الجوية"
"air piracy","قرصنة جوية"
"air pirate","قرصان الجو"
"air pollution","تلوث (تلويث) الجو"
"air power","القوة الجوية"
"air raid protection bunkers","ملحاً (للحماية من الغارات)"
"air raid protection cellar","ملحاً، مخبأ (عادةً يكون تحت العمارات)"
"air raid protection siren","صفارة الإنذار"
"air raid protection","الحماية (الوقاية) الجوية"
"air raid warning","إنذار بغارة جوية"
"air raid","غارة جوية"
"air raid","غارة جوية، هجوم جوي"
"air reconnaissance","استكشاف (استطلاع) جوي"
"air reign","السيطرة الجوية"
"air resistance","مقاومة جوية، مقاومة طيران العدو"
"air rocket","صاروخ جو جو"
"air scouting","رحلة استكشاف (بالطائرة)"
"air superiority","التفوق العسكري الجوي"
"air supervision","مراقبة جوية، مراقبة الأجواء"
"air torpedo","طوربيد جوي (يقذف به من الجو)"
"air traffic m.","المواصلات الجوية، حركة الطائرات"
"air transport conventions","معاهدة النقل الجوي"
"air troops","القوات الجوية"
"air unit","وحدة السلاح الجوي"
"air war","حرب جوية"
"air warning","الإنذار بالغارات الجوية"
"air weapon","القوات الجوية (السلاح الجوي)"
"air weapon","سلاح الطيران"
"air","هواء"
"aircraft carrier","حاملة طائرات"
"airlift","جسر جوي"
"airplane carrier","حاملة طائرات"
"airport, air base","مطار، قاعدة جوية"
"airspace","مجال جوي"
"Akka","عكّا"
"alarm system","جهاز تحذير، آلة إنذار"
"alarming","إنذاري (صفة)"
"Albania","ألبانيا"
"alert","حالة التأهب (الإستعداد)"
"Alexandria","الإسكندرية"
"Algeria","الجزائر"
"all around the world","في كل البلاد (في جميع النواحي)"
"all of the efforts failed","فشلت جميع المساعي"
"all parties government","حكومة جميع الأحزاب (تتألف من جميع الأحزاب)، حكومة اتحاد وطني"
"alley","حليف"
"alliance for the advance","تحالف من أجل التقدم"
"alliance","تحالف، حلف، اتحاد"
"allied military forces","قوات الحلفاء"
"allied nations","أمة (دولة) شقيقة"
"allied parties","حزب شقيق، حزب توأم"
"allied, united government","حُكُومَةٌ مُتَحَالِفَةٌ (حَلِيفَةٌ)"
"allotment committee","لجنة التموين"
"allotment plan","خطة التموين"
"allotment right","قانون التموين"
"allotment, distribution","حصة، تموين، إفراز، حصة من المواد (الأموال)"
"allotment","توزيع، تموين"
"ally (to), to combine","تخالف، إلتلف (مع)"
"ally (to)","تحالف، اتحاد (مع)"
"ally","حليف"
"almost official","شبه رسمي (صفة)"
"alternative, substitute","بديل (إمكانية، خيار)"
"alternative","بالتناوب، بالتعاقب، بالتبادل"
"ambassador position, office","منصب سفير"
"ambassador's conference","مؤتمر السفراء"
"ambassador","سفير"
"ambassadors conference","مؤتمر السفراء"
"ambition","طموح، مطمح؛ مطامع، أطماع"
"ambush","كمين، شرك"
"amend (to)","عَدْل، غَيْر، حَوْر"
"amended law","قانون مُعَدَّل"
"amendment in the federal government","تعديل (في) الحكومة الاتحادية"
"amendment","تعديل، تصحيح (قانون ما)"
"America","أمريكا"
"amiability","حفاوة، لُطف"
"Amman (capital of Jordan)","عَمَّان (عاصمة الأردن)"
"ammunition","ذخيرة، عناد حربي، مؤونة"
"amnesty (on the political prisoners)","عَفْو (عن السجناء السياسيين)"
"amnesty international","لجنة العفو الدولية"
"amount of troops","قوة (حجم) القوات"
"analysis","تحليل"
"analytically, adj","تحليلي (صفة)"
"analyze (to)","يحلل"
"anarchism","الفوضوية (نظرية إلغاء الحكومات بأي شكل)"
"anarchist communism","شيوعية فوضوية"
"anarchist","فوضوي (الفوضويين)"
"anarchy in the production","فوضى في الإنتاج"
"anarchy, chaos","الفوضى، الإباحية"
"anchor (n)","نص، شرع (في القانون)"
"anchored in the constitution","حق منصوص عليه في الدستور"
"anchored in the law","منصوص في القانون"
"anchored","منصوص (صفة)"
"Angola","أُجُولاً"
"animosity","عداوة، بغضاء"
"Ankara","أنقرة"
"annex (to)","ضَمّ (إلى)"
"annex","مُلْحَق العقد، عقد إضافي"
"annexation","الضم، الإلحاق"
"annihilation arms","أسلحة الإبادة والفتك، أسلحة الدمار والخراب"
"annihilation war","حرب الإبادة"
"annihilation","ضَمّ الأرض (ألحاقها) إلى البلدية"
"anniversary","ذكرى سنوية (عيد أو يوم الطفل إلخ)"
"announce (to)","أعلن، نطق ب، أذاع، نشر، أصدر"
"announce an amnesty","أعلن العَفْو"
"announcement","إعلان، بلاغ، تصريح"
"annoying war","حَرْبُ الأَعْصَابِ"
"annual balance sheet","تسوية الحساب السنوية، موازنة سنوية"
"annual general meeting","إجتماع سنوي عام"
"annual statement report","تقرير سنوي"
"annual","سنوي"
"annul (to) the law","إلغاء قانون"
"annul (to) the parliamentary immunity","رفع الحصانة البرلمانية (عن أحد النواب)"
"annul (to) the private property","رفع الحظر (عن السفن الموجودة في المياه الإقليمية)"
"annul (to) the trade barriers","رفع القيود التجارية"
"annulation","تعطيل، إبطال"
"annulment of the federal parliament","إلغاء (نقض) مجلس النواب الاتحادي"
"annulment of the immunity","رفع الحصانة (عن فلان)"
"annulment of the martial laws","رفع الأحكام العرفية"
"annulment the embargo","رفع الحظر (عن السفن الموجودة في المياه الإقليمية)"
"annulment, lift","رفع، إلغاء، إزاحة، قضاء على إلغاء الملكية الخاصة"
"antagonism","تنافس، تناقض"
"antagonistically","تنافسي، تناقضي"
"anthrax","الجمرة الخبيثة"
"anti Lebanon mountains","سلسلة جبال لبنان الشرقية"
"anti-aircraft defense","الدفاع المضادّ للطائرات"
"anti-constitutional law","قانون مخالف للدستور"
"anti-democratic party","حزب مضاد (مناوئ) للديمقراطية"
"apodictically, crucially","قاطع، حازم، لاجدال في (صفة)"
"apostolic administrator","المدير الرسولي"
"apostolic-delegate","القاصد الرسولي، الموفد البابوي"
"apparatus of state","جهاز الدولة، أداة الحكم"
"appeal (to) on (somebody)","وجه النداء إلى (فلان)"
"appeal, call","نداء، دعوة، رجاء"
"appearance, confrontation","المثول، استقبال، مواجهة، مقابلة (رسمية)"
"appearance","مظهر، ظاهري"
"appease (to)","هدأ، سكن"
"appeasement policy","سياسة التهدئة"
"appeasement strategy","إستراتيجية التهدئة"
"appeasement, easiness","انفراج، تهدئة، تراخي (تخفيف حدة التوتر) تسكين"
"appeasement","تهدئة، تخفيف، تعديل"
"appliance, instrument (of the judgment)","جهاز، أداة (الحكم)"
"application of the violence","ممارسة العنف، استعمال القوة"
"application, use, practice","استعمال، تطبيق، انتهاج، ممارسة، استخدام"
"apply an aggressive policy","إنهاج سياسة عدوانية"
"apply for a vote demand for removal","تَقْدِيمُ طَلَبِ الِاقْتِرَاعِ عَلَى التَّنْحِيَةِ"
"apply for naturalization","طلب (منح) الجنسية"
"apply","إنهاج، استعمل، استخدم، طُبق، مارس"
"appoint (to)","عيّن، قلّد، وظّف، ولّى، استدعى، استحضر"
"appoint a candidate","يُعَيِّن مُرَشَّحًا"
"appoint somebody in an office","اعتمد تعيين (فلان) في منصب"
"appointment in the ministry cabinet","تعيين في الوزارة"
"apprehension (to observe something with...)","يراقب (الأمر) بقلق"
"apprehension, anxiety","قلق، همّ"
"approach between Eastern and Western camps","التقارب بين المعسكرين الشرقي والغربي"
"approach policy","سياسة التقارب"
"approach","تقارب"
"appropriate (to)","ضَمَّ"
"approval committee (in the USA – congress)","لجنة الاعتمادات (في الكونغرس الأمريكي)"
"approval of demand of the cabinet","التصديق على طلب من الوزارة"
"approval of the parliament","قبول (استحسان) البرلمان"
"approval of the parliamentary wing","القبول (الموافقة) بواسطة الجناح البرلماني"
"approval through the federal council","القبول (الموافقة) بواسطة المجلس الإتحادي"
"approval, adoption, acceptance","قبول، اعتماد، موافقة"
"approval, support","تأييد"
"approval","قبول، موافقة"
"approve (to) for the work agenda","تمسك بجدول الأعمال"
"approve (to) the budget","اعتمد الميزانية"
"approve (to) through acclamation","استحسن، قَبِلَ، وافق بواسطة الهتاف"
"approve (to) through shouting","التأييد بواسطة الهتاف"
"approve (to) with absolute majority","الموافقة بالأغلبية الساحقة"
"approve (to)","قَبِلَ، وافق على، صَدَّقَ على"
"approximation of laws","تقارب قضائي (قانوني)"
"Arab allied nations","الدول العربية الشقيقة"
"Arab gulf","الْخَلِيجُ الْعَرَبِيُّ"
"Arab league","الجامعة العربية، جامعة الدول العربية"
"Arab world","العالم العربي"
"Arab","عربي (ج العرب)"
"Arabia","(بلاد) العرب"
"Arabic countries","الأقطار العربية"
"Arabic desert","الصحراء العربية (الشرقية)"
"Arabic hood","عُرُوبَة"
"Arabic league","جامعة الدول العربية"
"Arabic nationalism","القومية العربية"
"Arabic peninsula","شبه الجزيرة العربية"
"Arabic Republic of Egypt","جمهورية مصر العربية"
"arabic socialism","اشتراكية عربية"
"Arabic","عربي (صفة)"
"arabisation","التعريب (جعله أو تحويله عربياً)"
"Aramco, = Arabic","أرامكو (شركة النفط العربية الأمريكية)"
"arbitral clause","بند (شرط) التحكيم"
"arbitrary","تعسفي (صفة)، طوعي"
"arbitration agreement","اتفاقية (معاهدة) التحكيم"
"arbitration committee","لجنة التحكيم"
"arbitration discussion","محادثات التسوية (التحكيم)"
"arbitration","اتفاقية"
"arbitrational procedures","إجراء تحكيمي"
"archive","أرشيف، دائرة المحفوظات"
"area of responsibility","مجال (دائرة) العمل"
"area, land, region","أرض منطقة، إقليم، مقاطعة، حقل، ميدان، مجال"
"Argentina","الأرجنتين"
"argue (to)","حاج، ناقش، جادل"
"argument, proof","حجة، دليل، أدلة، برهان"
"argument","بمبادلة، محاورة، مناقشة"
"aristocracy, hereditary upper classes of people in a country, the nobility","أرستقراطية، نظام حكومي تظهر فيه طبقة خاصة من النبلاء والأغنياء فتستأثر لنفسها بحكم البلاد والسيطرة على مقدراتها دون الطبقات الأخرى"
"aristocrat","أرستقراطي (صفة)"
"arm (to)","سلح، أعد، جهز، هيأ"
"Armada","أسطول حربي"
"armament (the atomic, nuclear...)","التسلّح النووي، التسلّح الذري"
"armament race","سباق تسلّح"
"armament, ammunition","تسلّح، أسلحة، تسلّح، عتاد"
"armament","تسليح"
"armed conflict","نزاع مسلح"
"armed forces","القوات المسلحة"
"armed intervention","تدخل مسلح"
"armed neutrality","حياد مسلح"
"armed","مسلّح (صفة)"
"armistice, truce","هدنة"
"arms agreements","اتفاقية (معاهدة) التسلّح"
"arms budget","ميزانية التسلّح"
"arms control agreements","معاهدة مراقبة التسلّح"
"arms control politics","سياسة مراقبة التسلّح"
"arms control system","نظام مراقبة التسلّح"
"arms efforts","مساعي (جهود) التسلّح"
"arms expenditures","نفقات التسلّح"
"arms industry","الصناعات الحربية"
"arms loads","أعباء التسلّح"
"arms politics","سياسة التسلّح"
"arms program","برنامج التسلّح"
"arms race","سباق التسلّح"
"arms racing","سباق التسلّح"
"arms reduction","خفض أو تخفيض التسلّح"
"arms restriction","الحد من التسلّح، تحديد التسلّح"
"arms status","مستوى التسلّح"
"arms stop","وقف (إيقاف) التسلّح"
"arms supervision","رقابة التسليح (الرقابة على التسلّح)"
"arms","خاص بالتسلّح"
"army command","قيادة الجيش"
"army commander","القائد العام للجيش"
"army equipment","معدات (احتياجات) الجيش"
"army parade","عرض عسكري"
"army","جيش"
"arrangement, settlement","تسوية، ترتيب، مصالحة، تنظيم، اتفاق، توفيق"
"arrest (to)","حبس، حجز"
"arrest wave","موجة اعتقالات"
"arrest","إلقاء القبض، توقيف، اعتقال"
"arrested person","المقبوض عليه"
"arrested","محبوس، محجوز (تحت الإقامة الجبرية)"
"arrogance","غطرسة، استكبار، تعالٍ، عنجهية، تعجرف، استعلائية"
"arrogantly","متكبر، متعجرف، متعاظم (صفة)"
"arsenal","ترسانة (حربية) مستودع الأسلحة"
"arsenals","مخزن الأسلحة"
"article","بند، مقالة، مقال"
"artillery projectile","قذيفة، طلقة مدفع"
"artillery weapon","سلاح المدفعية"
"artillery","مدفعية"
"Asia","آسيا"
"ask (to) (turn to) the UN","أدخل الأمم المتحدة"
"ask (to) the intervention of","أدخل، وَسَطَ"
"ask (to)","سأل"
"ask for a vote","طَلَبُ الِاقْتِرَاعِ عَلَى"
"asking for a ransom","طلب الفدية"
"asking for the crown","مطالبة بالعرش"
"aspect","ناحية، مَطْمَر"
"assassinate (to)","يقتل، يغتال"
"assassination attempt of the pope","يقوم بمحاولة اغتيال البابا"
"assassination attempt","محاولة اغتيال"
"assault, attack","جَوْر، سطوة، عسف، اعتداء"
"assault, offensive","اعتداء"
"assembly room","قاعة (حجرة) الاجتماع"
"assess (to)","فرض (ضريبة)، غَرَم"
"assessment-evaluation","تقدير، رأي، تصرف، حكم، حرية التصرف والاختيار"
"assessment","تقييم، تقدير"
"assign (to)","كَلَّف"
"assigned in the agenda","أدرج في الجدول اليومي"
"assignee","خَلَفَ شرعي"
"assist (to) somebody","أعان ساعد فلان"
"assistance, aid","عون، معونة، مساعدة، إعانة"
