"English Term","Arabic Term"
"Acromedical Evacuation","الأخلاء الطبي الجوي"
"Agent","عميل . وكيل . مادة"
"Agents(Chemical,Biological and radiological)","مواد ( كيماوية ، جرثومية ، أو اشعاعية )"
"Air Alert تيقظ جوى ، تأهب جوى ، تهيؤ جوى (حالة","الاستعداد عند الطائرات على الأرض)"
"Air Defense Readiness","الاستعداد للدفاع الجوي"
"Air Defense Restricted Area","منطقة الدفاع الجوي المحظورة"
"Air Defense Sector","قطاع الدفاع الجوي"
"Air Defense Warning Net","شبكة انذار الدفاع الجوي"
"Air Delivery","اسقاط جوي. تسليم جوي. قذف جوي"
"Air Delivery Container","وعاء اسقاط جوي ( وعاء مواد تموينية )"
"Air Delivery Equipment","معدات الاسقاط الجوي"
"Air Density","كثافة الهواء"
"Air Drop","اسقاط جوي"
"Airfield","مطار"
"Air Force Base","قاعدة جوية"
"Air Guard","حرس جوي"
"Airhead","رأس - جسر جوي"
"Airhead Line","خط رأس جسر جوي"
"Air Interception","اعتراض جوي"
"Air Land, tc","يهيبط"
"Air landed Operation","عملية الانزال الجوي"
"Air Landed Supplies","التموينات المنزلة جوا"
"Air Landed Units","الوحدات المنزلة جوا"
"Air Landing Facilities","مرافق الانزال الجوي ( وسائل الانزال الجوي )"
"Air Liaison Officer","ضابط الارتباط الجوي"
"Air Lift","نقل جوي - حمولة جوية"
"Air Lift, tc","ينقل جوا"
"Air Loading Table","جدول التحميل الجوي"
"Air Mission","مهمة جوية"
"Air Mobile Operations","العمليات المتحركة جوا"
"Air Movement","تحرك جوي"
"Air Movement Plan","خطة التحرك الجوي"
"Air Movement Table","جدول التحرك الجوي"
"Air Observation","ملاحظة جوية"
"Air Raid Alert","التيقظ للغارة الجوية ( التأهب للغارة الجوية )"
"Air Raid Alert Warning","الاندماج انتيفظ للغارة الجوية ( اشارة - اندماج الغارة جوية )"
"Air Raid Warning System","نظام أو شبكة الاندماج من الغارات الجوية"
"Air Reconnaissance","الاستطلاع الجوي"
"Air Signal","اشارة جوية ( وسيلة اتصال بين الطائرة - والفوات الأرضية ."
"Air Speed","السرعة النسبية ( الطائرة - الهواء )"
"Air Strike","قصف جوى"
"Air Strip","خط جوى"
"Air Superiority","تفوق جوى"
"Air Support","اسناد جوى - مساندة جوية"
"Air Surveillance","تفتيش جوى ( مراقبة جوية )"
"Air Tactical Observer","ملاحظ جوى تكتبكى"
"Air Task Force.","قوة جوية نواجب معين"
"Air Terminal","مرنفسق جدوى"
"Air to Air Missile","صاروخ من الجو للجو"
"Air to Surface Missile","صاروخ من الجو للأرض"
"Air Transportable Units","وحدات قابلة للنقل جوا"
"Air Transport Liaison Officer","ضابط ارتباط النقل الجوى"
"Air Warning Net","شبكة الاندماج الجوى"
"Aisle","مصر"
"Alert","تيقظ - تنبيه - تأهب - تهيؤ - استعداد"
"Alliance","حلف"
"Allocation","تعيين - تخصيص"
"Allotment","حصة - مخصص - نصيب - مقدار"
"Allowable Cargo Load","الحمولة المسموح بها . ( طيران )"
"Allowance","علاوة - مخصص"
"Alternative Position (Alternate)","موقع تبادلي"
"Ambulance","سيارة اسعاف - عربة اسعاف"
"Ambush","كميمن"
"Ammunition","ذخيرة"
"Ammunition Available Supply Rate","معدل الذخيرة المتوفرة"
"Ammunition Day of Supply","تموين يوم من الذخيرة"
"Ammunition Dump (see Ammunition Supply Point)","مستودع ذخيرة / كدس ذخيرة"
"Ammunition Expenditure","استهلاك الذخيرة"
"Ammunition in Hands of Troops","الذخيرة الموجودة لدى الوحدات"
"Ammunition Inspector","مفتش الذخيرة"
"Ammunition Lift","نقل الذخيرة"
"Ammunition Lift Capability","امكانية نقل الذخيرة"
"Ammunition Maintenance","صيانة الذخيرة"
"Ammunition Officer","ضغط الذخيرة"
"Ammunition Supply Point","نقطة تموين الذخيرة"
"Amphibious","برمائي"
"Amphibious Forces","قوات برمائية"
"Amphibious Operations","عمليات برمائية"
"Amphibious Reconnaissance","استطلاع برمائي"
"Amphibious Striking Forces","قوات ضاربة برمائية"
"Amphibious Tank","دبابة برمائية"
"Amphibious Task Force","قوة واجب برمائية"
"Amphibious Unit","وحدة برمائية"
"Amphinious Vehicle","عربة برمائية"
"Analysis of Fire","تحليل الرماية (م / ط)"
"Angle of Approach","زاوية الاقتراب"
"Angle of Depression","زاوية الانخفاض"
"Angle of Descent","زاوية الهبوط (طيران)"
"Angle of Elevation","زاوية الارتفاع"
"Angle of Impact","زاوية الصدم"
"Angle of Reflection","زاوية الانعكاس"
"Angle of Safety","زاوية الأمان"
"Angle of Sight","زاوية البصر"
"Annex","ملحق"
"Annual","سنوى"
"Annual Training","تدريب سنوي"
"Antiairborne Minefield","حقل النغام ضد القوات المحمولة جوا"
"Antiaircraft Operation Center","مركز العمليات المضادة للطائرات"
"Antiamphibious Minefield","حقل النغام ضد القوة البرمائية"
"Antipersonnel Minefield","حقل النغام ضد الأفراد م /ف"
"Antisubmarine Operations","عمليات مضادة للغواصات"
"Antitank Minefield","حقل النغام ضد الدبابات م /د"
"Application of Fire","تطبيق النيران (على الهدف)"
"Appreciation of the Situation (See Estimate of Situation)","تقدير الموقف"
"Approach Lanes","ممرات الاقتراب (بحرية)"
"Approach March","سير الاقتراب"
"Approach Time","وقت الاقتراب"
"Arab League","الجامعة العربية"
"Arab Unified Command","القيادة العربية الموحدة"
"Area Command","قيادة منطقة"
"Area Control Center","مركز السيطرة على المنطقة"
"Area Damage Control","السيطرة على الأضرار في المنطقة (قبل وأثناء وبعد المعركة)"
"Area Defense","الدفاع الثابت"
"Area of Influence","منطقة النفوذ"
"Area of Interest","منطقة الأهمية"
"Area of Operations","منطقة العمليات"
"Area of Responsibility","منطقة المسؤولية"
"Area of War","منطقة الحرب"
"Area Traffic Control","السيطرة على المرور في المنطقة"
"Arm","سلاح"
"Armed Forces","القوات المسلحة"
"Armor","درع"
"Armored Artillery","مدفعية مدرعة"
"Armored Cavalry","وحدة استطلاع مدرعة"
"Armored Infantry","مشاء مدرعة"
"Armored Vehicle","غرية مدرعة"
"Army","جيش"
"Army Air Defense Command","قيادة الدفاع الجوي للجيش"
"Army Aviation","طيران الجيش"
"Army Crops","فيلق"
"Army Group","مجموعة جيوش"
"Army Group of Occupation","جيش الاحتلال"
"Army Group Press","صحافة الجيش"
"Army Group Reserve Units","وحدات احتياط الجيش"
"Army Group Training Program(ATP)","برنامج تدريب الجيش"
"Arrest","توقيف - اعتقال - قبض"
"Artificial Illumination","اضافة اصطناعية"
"Artificial Illumination Moonlight","ضو اصطناعي (يشبه ضوء القمر)"
"Artillery","مدفعية"
"Artillery Map","خريطة مدفعية"
"Artillery Preparation","نيران تحضيرية (للمدفعية)"
"Artillery Survey","مساحة المدفعية"
"Assault","لقتحام"
"Assault Aircraft","طائرات اقتحام"
"Assault Echelon","وحدة اقتحام"
"Assault Fire","نيران اقتحام"
"Assault Force","قوة اقتحام (برمائي - مظلات)"
"Assault Gun","مدفع اقتحام"
"Assault Lift","نقلة اقتحام"
"Assault Phase","رحلة الاقتحام"
"Assault Position","موقع الاقتحام"
"Assault Supplies","تمهيزات الاقتحام"
"Assault Waves","موجات الاقتحام"
"Assault Area","منطقة الاقتحام"
"Assembly Area","منطقة التجمع"
"Assign","يعيّن"
"Assistant Chief of Staff","مساعد رئيس الأركان"
"Assistant Chief of Staff , G2, Intelligence رئيس هيئة الاستخبارات","بالحرية"
"Assistant Chief of Staff , G3, Operations رئيس هيئة العمليات -","الحرية."
"Assistant Chief of Staff , G4, Logistics رئيس هيئة الإمدادات -","والتموين."
"Assistant Chief of Staff , G5, Civil Affairs مدير الشؤون المدنية -","في الحكومة العسكرية."
"Assumption","افتراض"
"Assumption of Command","تولى القيادة"
"Atomic Energy","طاقة ذرية"
"Attach","يلحق"
"Attack Force","قوة الهجوم"
"Attack Force Position","موقع الهجوم"
"Attention","انتهاء - استعداد (استعداد أمر)"
"Attention to Orders","الاستعداد لأستلام الأوامر"
"Attitude","حالة، وضع، موقف، ميول، وبنية نظر"
"Augmentation","زيادة على الملاك (أفراد ومعدات) إضافة"
"Authentication","تصديق"
"Authorized Allowances of","المقررات المصرح بها من المعدات"
"Equipment.","٢/٥"
"Authorized Allowances of Supplies","المقررات المصرح بها عن التموين"
"Authorized Strength","القوة المصرح بها . الملاك المصرح به"
"Automatice Direction Finder","الجهاز الآلي لإيجاد الاتجاه"
"Automobile Flag","علم السيارة"
"Auxiliary Target","هدف ساعد ( لتغبيط النيران )"
"Availabel Supply Rate","معدل التموين المتوفر"
"Average Speed","متوسط السرعة"
"Average Strength","متوسط القوة"
"Aviation Fuel","الصنف الثالث - ( وقود طيران )"
"Award","جائزة . مكافأة - منحة"
"Axis of Advance","محور التقدم"
"Axis of Sighting","محور البصر"
"Azimuth","زاوية"
"Azimuth Circle","دائرة الاتجاه للمدفعية"
"Azimuth Deviation","انحراف الزاوية"
"Azimuth Difference","فرق الزاوية ."
"Back Azimuth","الزاوية العكسية"
"Back Blast","القصف الخلفي (للأشعة القديمة الارتداد)"
"Backward Planning","التخطيط العكسي"
"Badge","شعار - شارة"
"Balance","توازن - اتزان - ميزان - يتوازن"
"Balanced Stock","(١) تخزين متوازن (تخزين بمقادير تعادل المتطلبات). (٢) توازن المخزون (تعادل الموجود مع المطلوب)."
"Balanced Supplies","تموينات متوازنة (تعادل الموجود مع المطلوب)"
"Ballastic Curve","منحني محرك المقذوف"
"Ballastics","علم حركة المقذوفات"
"Band","جوقة موسيقية . رباط . حزام . حيز الموجه (في الترددات اللاسلكية)."
"Band of Fire","حزام نيران"
"Bangalore Torpedo","طوربيد بنحلو"
"Barrage","غلالة"
"Barrage, Rolling","غلالة قافرة"
"Barrage, Creeping","غلالة زاحفة"
"Barrage, Normal","غلالة عادية"
"Barrage, Emergency","غلالة طارئة"
"Barrel","سبطانة . برميل"
"Barrel Erosion","تآكل السبطانة"
"Barrier","مانع (يشمل عدة حواجز منسقة)"
"Barrier Plan","خفة الموائع"
"Barrier System","نظام الموائع"
"Base","قاعدة . أساس"
"Base Command","قيادة القاعدة"
"Base Defense","دفاع عن القاعدة"
"Base Depot","مستودع القاعدة"
"Base Line","خط الأساس (مع طوبوغرافي)"
"Base Reserves","احتياط القاعدة"
"Base Mortor","الهاون الأساسي (هاون التخبيط)"
"Base of Fire","قاعدة النيران"
"Base of Fire Operations","قاعدة العمليات"
"Base of Fire Point","نقطة الأصل (لتحديد الأهداف)"
"Base of Fire Repair","اصلاح القاعدة (اصلاح الخط الخامس)"
"Base of Fire Unit","وحدة الأساس (تشكيل الوحدة الأساسي)"
"Basic Branch","السلاح الأساسي"
"Basic Branch Combat Training","تدريب القتال الأساسي"
"Basic Branch Data","المعطيات الأساسية - المعلومات الأساسية"
"Basic Branch Education","الثقافة الأساسية - التعلم الأساسي"
"Basic Branch Intelligence","الاستخبارات الأولية ؟"
"Basic Branch Load","الحمولة الأساسية"
"Basic Branch Military Training","التدريب العسكري الأساسي"
"Basic Branch Pay","الراتب الأساسي"
"Basic Branch Planning Guide","مرشد التخطيط الأساسي"
"Basic Branch Ration","الأعاشة الأساسية"
"Basic Branch Requisition Number","رقم الطلب الأساسي"
"Basic Branch Research","البحث الأساسي - البحث الأصلي"
"Basic Branch Tactical Unit","وحدة تعبوية أساسية"
"Basic Branch Unit Training","تدريب الوحدة الأساسي"
"Basic Branch WAR Plan","خطة الحرب الأساسية"
"Basis of Issue","قاعدة الصرف (الأساس المتبع للصرف بموجبه"
"Battalion","حسب جدول المعدات والتنظيم)"
"Battalion Combat Train","فوج"
"Battalion Landing Team","حملة قتال الفوج"
"Battery","جماعة انزال الفوج (برمائي)"
"Battery Acquisition Radar","بطارية"
"Battery Center","رادار ايجاد الهدف للبطارية"
"Battery Front","منتصف البطارية"
"Battery Ground Pattern","مواجهة البطارية"
"Battle Casualty","شكل توزيع البطارية - منظور"
"Battlefield Illumination","اضافة ميدان المعركة"
"Battlefield Illumination Recovery","انقاذ المندات من الميدان، اخلاء المندات من الميدان ."
"Battle Group","مجموعة قتال - مجموعة مقاتلة"
"Battle Group Landing Team","جماعة الأنزال لمجموعة القتال"
"Battle Group Map","خريطة المعركة"
"Battle Group Position","مواقع المعركة"
"Battle Group Reserves","احتياط المعركة (تموين وخلافه)"
"Battle Group Sight","ساعة المعركة (للأسلحة الصغيرة)"
"Bay","خليج"
"Beach capacity","(١) طاقة الأنزال على الشاطئ . (٢) سعة الشاطئ ."
"Beach Defense","دفاع الشاطئ"
"Beach Diagram","مخطط الشاطئ"
"Beach Diagram Dump","مستودع الشاطئ"
"Beachhead","رأس جسر الشاطئ"
"Beachhead Line","خط رأس جسر الشاطئ"
"Beach Marker","دليل الشاطئ (العلامة الدالة على الشاطئ)"
"Beach Marker Matting","فرش الحصار على الشاطئ (لمنع التغرير)"
"Beach Marker Obstacle","حاجز شواطئ - عائق"
"Beach Marker Organization","تنظيم الشاطئ (بربائي)"
"Beach Marker Party","جماعة الشاطئ"
"Beach Marker Reserves","احتياط الشاطئ (تموين)"
"Beach Marker Support Area","منطقة | سداد الشاطئ"
"Bearing","زاوية - أفقي"
"Beaten Zone","المنطقة الضريبية"
"Bench Mark","ملاحقته (للمساحة)"
"Billet","سكن"
"Binder","رباط - شريط"
"Biological Agents","مواد جرثومية"
"Biological Agents Operations","عمليات جرثومية"
"Biological Agents Warfare","الحرب الجرثومية - منظور - ٢/٥ - ٣.٤."
"Biological Weapon","سلاح جرثومي"
"Bivouac Area","منطقة التمسكر"
"Blast","عصف"
"Blast Effect","تأثير العصف"
"Blasting Cap","شمل"
"Blasting Cap Fuze","صمام العصف"
"Blasting Cap Machine","جهاز العصف"
"Blast Mark","أثر العصف"
"Blast Mark Wave","موجه العصف"
"Bleaching Material","مواد تطهير"
"Blind Bombing Zone","منطقة القذف المحظورة"
"Blister Gas","غاز منفط"
"Block , to","يسد ، يحجز حاجز"
"Blocking Force","قوة حاجزة"
"Blocking Force Position","موقع حاجز"
"Blowback","ارتداد اللهب"
"Bomb","قنبلة"
"Bombardment Photography","تصوير القذف"
"Bomb Line","خط القذف النبوي"
"Bomb Line Reconnaissance","اكتشاف القنابل غير المتفجرة"
"Bomb Line Release Line","خط اسقاط القنابل"
"Booby Trap","شرك خداعي"
"Boobytrapped Mine","لغم خداعي"
"Booking","تسجيل - حجز"
"Bottle Neck","عنق الزباجة"
"Bottom","قاع - اسفل - قاعدة"
"Bound","قفزة - وثبة"
"Boundry","حد"
"Bracket","قوس"
"Bracketing Correction","تصحيح التقييس (مدفعية)"
"Bracketing Correction Elevation","ارتفاع للتقييس"
"Branch","فرع - شعبة - سلاح"
"Branch Depot","مستودع فرعي (لأحد الأسلحة الفنية)"
"Branch Depot Qualified Officer","ضابط مؤهل في سلاح معين"
"Break of Contact","قطع الأتصال"
"Break Out","فك الحصار . التخلص التطويق"
"Breakthrough","اختراق"
"Bridgehead","رأس جسر"
"Budget Directive","توجيهات وضع الميزانية"
"Buffer Distance","المسافة الافقية بين نقطة الصفر ونقطة الصدم لزيادة الأمان (اسلحة نووية)"
"Build up","تقوية - تعزز - تنبع"
"Built up Area","منطقة مبنية"
"Bulk","جملة - أكثرية"
"Bulk Liquid Storage Space","فراغ تخزين السوائل بكمية كبيرة"
"Bulk Stock","التخزين بالجملة"
"Bulk Storage","التخزين بالجملة"
"Bulk Storage Supply","التسوق بالجملة"
"Bunker","دشة"
"Burial","دفن"
"Burst","انفجار - صليه"
"Burst Center","مركز الأنفجار"
"Burster","عبوة متفجرة (كماوية)"
"Burster Blocks","قوالب متفجرة"
"Burster Course","مانع خرساني (يعمل على تفجير القنابل خارج الدشة)"
"Burster Tube","أنبوب التفجير"
"Bursting Charge","عبوة متفجرة"
"Burst Interval","فاصل الانفجار"
"Burst Interval Range","مدى الأنفجار"
"Burst Interval Wave","موجه الأنذار"
"Burst Interval Point of","نقطة الأنفجار"
"Butt Strok","ضربة الأخص (في الألتحام) - منظور"
"Cable Block","حاجز سلكي للطرق - عائق"
"Cadastral Map","خريطة تفصيلية"
"Cadre","كادر - نظام - نواء - ملاك"
"Cadre Strength Column","خانة أو حقل الملاك (في جداول الأفراد)"
"Caliber","عيار أو قطر (البطانة أو القذيفة)"
"Calibration","معايرة للأسلحة ، تضبيب اللاسلكي"
"Calibration Corrections","تصحيحات المعايرة"
"Call","نداء - طلب . استدعاء"
"Call Fire","نيران عند الطلب (غير مسجلة)"
"Call Mission","مهمة عند الطلب (مهمة اسناد طيران غير مسبقة التخطيط)"
"Call Off","عدوا (إيملق) عد - يبطل - يلغي"
"Call Sign","يسير النداء (في اللاسلكي)"
"Call Sign Up","نداء تنبيه (للأتصال من محطة لاسلكية لأخرى)"
"Camouflage Discipline","ضبط التنبيه"
"Camp","مخيم"
"Campaign","حملة"
"Campaign Plan","خطة الحملة"
"Canalize","يحصر"
"Cannibalize","يستصلح (معدات) يكمل - يصلح آلة أو عربة بتفكيك ما يحتاج اليه ، - لآلة أخرى (تشليح)"
"Cannon","سدفع"
"Cannoneer","مدفعي"
"Canopy","سطح المظلة الواقي"
"Cap","غطاء ، كبسولة ، مغلاق ، كمرة ، قلنسوة ، غطاء الرأس ، رأس المقذوفة قفل طبعة ."
"Capabilities","امكانيات - قدرات"
"Capture","يأسر - (افراد) يستولي على (معدات) يحتل (أرض)"
"Cargo Capacity","مقدار الحمولة"
"Care of Supplies in Storage","العناية بالتموينات المخزنة"
"Cango Classification(Combat Loading) تصنيف الحمولة (في التحميل للقتال)","منظور - ٢/٥ - مطبوع"
"Carrier Frequency ذبذبة حاملة - تردد حامل Striking Force قوة ضارية بصرية ( مجموعة قطع بحرية)","مشكلة لواجب خاص بما فيها حاملات الطائرات وسفن مائلة للساندة)"
"Center مركز Error مركز خطأ الانفجار","مطبوع - ٢/٥ - محطة"
"Center of Dispersion","مركز الانتشار"
"Certificate for Decoration","براءة وسام"
"Certificate for Decoration of Achievement","شهادة تقدير"
"Certificate for Decoration Proficiency","شهادة اختصاص . شهادة كفاءة"
"Certificate for Decoration Service","شهادة خدمة"
"Chain of Command","تسلل القيادة"
"Chain of Command Evacuation","تسلل الاختلاء"
"Challenge","اعتراض . تحدى . تجرش ."
"Challenge and Reply","اعتراض وطلب الاجابة (في الحراسة او بين محطتين - لا سلكتين ) .. التحقق من الهوية ."
"Change:","تغيير . تبديل . تعديل ."
"Channel","تسلل المرجع . قناة"
"Characteristics , Military","الخصائص العسكرية"
"Characteristics , Military , Operational","خصائص العمليات"
"Characteristics , Military , Physical","الخصائص الطبيعية . الخصائص الفعلية"
"Characteristics , Military , Technical","الخصائص الفنية"
"Chart Direction of Wind زاوية اتجاه الريح (زاوية انقية تقاس باتجاه عقرب الساعة","من خط النيران الى اتجاه الريح ويمكن قياس هذه الزاوية بطرح اتجاه الري من اتجاه الريح)"
"Check Point","نقطة مراجعه"
"Check Point Register","سجل المراجعة"
"Chemical Agent","مادة كيميائية"
"Chemical Agent Ammunition","ذخيرة كيميائية"
"Chemical Agent , Biological & Radio-logical Center(CBRC)","مركز المواد الكيميائية والجرثومية والاشعاعية"
"Chemical Bomb","قنبله كيميائية"
"Chemical Bomb Exposure","التعرف للكيماويات"
"Chemical Bomb Mine","لغم كيميائي"
"Chemical Bomb Officer","ضابط كيماويات"
"Chemical Bomb Projectile","مقدوف كيميائي"
"Chemical Bomb Security","الامن ضد الكيماويات"
"Chemical Bomb Spray","رش الكيماويات"
"Chemical Bomb Warfare","الحب الكيماوية - محطة"
"Chemical Weapon","سلاح كيماوي"
"Cipher Device","جهاز الشيفرة"
"Cipher Device Equipment","معدات الشيفرة"
"Cipher Device Machine","آلة الشيفرة"
"Cipher Device System","نظام الشيفرة"
"Cipher Device Text","نص الشيفرة"
"Circuit","دورة"
"Circular","(١) نشرة (٢) ستدير. دائري - تعميم"
"Circular Error Probable(CEP)","الخطأ الدائري المحتمل"
"Circular Scanning","مسح دائري (رادار)"
"Circulation Control","مراقبة حركة المرور"
"Civil Affairs","الشئون المدنية"
"Civil Affairs Agreement","معاهدة الشئون المدنية"
"Civil Affairs Officer","ضابط الشئون المدنية"
"Civil Affairs Unit","وحدة ---"
"Civil Affairs Defense","الدفاع المدني"
"Civil Affairs Disturbance","اضطرابات الأمن"
"Civil Affairs Personnel Management","ادارة الأفراد المدنيين"
"Civil Affairs Requirements","احتياجات المدنيين"
"Claim","ادعاء - مطالبة"
"Claims Officer","ضابط الادعاء"
"Class I","الصنف الأول - اعاشه -"
"Class I II","الصنف الثاني - المعدات المصرح بها -"
"Class I III","الصنف الثالث - محروقات -"
"Class I IV","الصنف الرابع - المواد غير المسجلة بجدول المعدات والتنظيم -"
"Class I V","الصنف الخامس - ذخيرة -"
"Class I I Supply Point","نقطة تموين الصنف الأول"
"Class I II","نقطة تموين الصنف الثاني"
"Class I III","نقطة تموين الصنف الثالث"
"Class I IV","نقطة تموين الصنف الرابع"
"Class I V","نقطة تموين الصنف الخامس"
"Classification","تصنيف (تصنيف درجات السرية)"
"Classification of Chemical Agents","تصنيف المواد الكيماوية"
"Classified Matter","مادة أو معلومات لها درجة معينتين السرية"
"Classified Matter Contract","عقد له درجة معينة من السرية"
"Classify , To","يصنف"
"Clear","واضح . بيّن . مفهوم . إخلاء السلاح"
"Clearance","إخلاء طرف . إخلاء ميدان الري . تصريح"
"Clearing (Casualties)","إخلاء ( الخسائر )"
"Clearing (Casualties) Station","محطة إخلاء"
"Clearing (Casualties) Unit","وحدة إخلاء"
"Clinical Record","سجل طبي"
"Close","قريب . منضم . مغلق"
"Close Air Support","ساندة جوية قريبة"
"Close Column","رتل منضم"
"Close Column Cambat","قتال قريب"
"Close Contral Radar","رادار المراقبة القريبة"
"Closed Area","منطقة مغلقة ( مغلقة )"
"Close Defensive Fire","نيران دفاعية قريبة"
"Closed Traverse","مخطط طريق مغلق"
"Close Interval","فاصل قريب"
"Close March","انضم ( ايعاز ) مسير منضم أو متقارب"
"Close Ranks","ضم الصفوف ( ايعاز ) صفوف منضمة أو متقاربة"
"Close Support","ساندة قريبة"
"Close Support Mission","مهمة اسناد قريب"
"Close Support Mission Air Support","ساندة جوية قريبة"
"Close with the Enemy, To","يلتحم مع العدو"
"Coastal Zone","منطقة ساحلية"
"Coast Defense","دفاع ساحلي"
"Code","رمز . اصطلاح"
"Cold War","الحرب الباردة"
"Collecting Point","نقطة تجميع"
"Collecting Point Station","محطة تجميع"
"Collective","اجمالي . جماعي"
"Collective Call Sign","نداء جماعي"
"Color","علم . راية"
"Color Band","شريط ملون (لتعزيز الذخيرة)"
"Color Guard","حرس العلم"
"Color Salute","تحية العلم"
"Column","رطل . عمود . حقل"
"Combat","قتال"
"Combatant","مقاتل . محارب"
"Combat Area","منطقة قتال"
"Combat Arm","سلاح قتال"
"Combat Crew","طاقم قتال"
"Combat Developments","تطورات القتال"
"Combat Developments System","جهاز تطوير القتال"
"Combat Developments Drill","تدريب على القتال"
"Combat Developments Echelon","وحدة قتال"
"Combat Developments Element","عنصر قتال"
"Combat Developments Exercise","تمرين القتال"
"Combat Developments Exhaustion","انهاك القتال"
"Combat Developments Firing Practice","تمرين رعاية القتال"
"Combat Developments Forces","قوات مقاتلة"
"Combat Developments Formations","تشكيلات قتال"
"Combat Developments Intelligence","استخبارات قتال"
"Combat Developments Jump","القفز للقتال"
"Combat Developments Liaison","ارتباط القتال"
"Combat Developments Load","حمولة القتال"
"Combat Developments Operations Center","مركز عمليات القتال"
"Combat Developments Orders","أوامر القتال"
"Combat Developments Outpost","نقطة قتال خارجية"
"Combat Patrol","دورية قتال"
"Combat Phase","مرحلة قتال"
"Combat Proficiency Tests","اختبارات كفاءة القتال"
"Combat Reconnaissance","استطلاع قتال"
"Combat Support","إسناد قتال"
"Combat Support Elements","عناصر إسناد القتال"
"Combat Service Support","الإسناد الإداري للقتال"
"Combat Support Troops","وحدات إسناد القتال"
"Combat Surveillance","مراقبة ميدان القتال (مراقبة مستمرة دون توقف)"
"Combat Survival","المحافظة على الحياة في القتال"
"Combat Train","قافلة قتال (للتموين)"
"Combat Troops","قطعات مقاتلة"
"Combat Unit","وحدة قتال"
"Combat Vehicle","عربية قتال"
"Combat Zone","منطقة قتال"
"Combination Vehicle","عربية قاطرة ومقطورة"
"Combined","مشتركة"
"Combined Arms","أسلحة مشتركة"
"Combined Force","قوة مشتركة"
"Combined Operation","عملية مشتركة (بين أكثر من دولة)"
"Combined Training","تدريب مشترك"
"Command","أسر ، قيادة ، سلطة ، تشكيل ، سيطرة ، قيادة عسكرية"
"Command and Staff College","كلية القيادة والإركان"
"Commander's Concept","فكرة قائد العملية"
"Commander's Evaluation Report","تقرير تقدير القائد"
"Command Group","مجموعة القيادة"
"Command Liaison","ارتباط القيادة"
"Command Maintenance Inspection","تفتيش القيادة للعيانة"
"Command Net","شبكة القيادة"
"Command of Execution","قيادة تنفيذية - إيعاز الإجراء"
"Commando","فدائي"
"Commando Operations","عمليات الفدائيين"
"Complement","تكملة - تتمة"
"Complete Penetration","اختراق تام"
"Component","عنصر - جزء"
"Computer","آلة حاسبة"
"Concealment","اخفاء"
"Concentration","تركيز - تجميع - حشد"
"Concept of Operations","فكرة العمليات"
"Conduct of Fire","ادارة النيران"
"Conference Call","نداء الاجتماع - طلب الاجتماع"
"Confinement","اعتقال تحديد"
"Consolidation of Position","تعزيز أو تقوية الموقع"
"Consolidation Psychological","التميز بالحرب النفسية"
"Constitute","ينظم - يكون - يقيم"
"Contact Patrol","دورية اتصال"
"Contingency Plan","خطة الطوارئ - خطة طارئة"
"Continuous Fire","نيران مستمرة"
