ID,English,Arabic
129,annual; yearly,سنوي
130,answer,جواب
131,answering machine,ردّادة - آلة تسجيل صوتي يستغل عليها جواب للمتصلين
132,anthology,مختارات - أدبية أو موسيقية
133,anticipated audience,جمهور مرتقب
134,anti-jamming,مضاد للتشويش
135,aperture (camera),فتحة - فتحة سجاف الكاميرا، وهي تتحكم في كمية النور الوارد على الفيلم
136,apparatus,عُــــدّة
137,appearance,صادر (في الصحافة) - ظهور (على خشبة المسرح أو على الشاشة)
138,appearance date,تاريخ الصُّدُور
139,appendix,مُلحق
140,appointment,موعد
141,archives,محفوظات - مكان حفظ الوثائق
142,area sampling,تعيين جغرافي
143,argumentative text,نص موثّق - نص يستند إلى الحجج والوثائق وفق أصول البحث العلمي
144,arrengement,توزيع موسيقي
145,art critic,ناقد فني
146,art department,قسم التصوير
147,art director,مدير المناظر
148,art editor,مدير قسم التصوير
149,art film,فيلم فني
150,art house; art theatre (cinema),قاعة السينما التجريبية
151,article,مقالة
152,artificial intelligence,ذكاء اصطناعي
153,artificial language,لغة اصطناعيــة
154,artificial voice,صوت اصطناعي
155,artist,فنان
156,artistic style,أسلوب فني
157,arts & entertainment,عروض وفنون
158,artwork department,قسم الإبداع
159,assessment,تقويم
160,assign; assignment,توزيع الأدوار
161,assignment (broadcast),توزيع القنوات
162,assignment (on-),في مهمة
163,assistant cameraman,مساعد المصوّر
164,assistant director,مساعد المخرج
165,assistant editor,1- محرّر مساعد - 2- مؤلف مساعد
166,assistant manager,نائب المدير
167,assistant production manager,مساعد مدير الإنتاج
168,associate producer (cinema),مساعد المنتج
169,atlas,أطلس
170,atmosphere,مُناخ
171,attention-getting,جذّاب - يجذب الانتباه ويلفت الأنظار
172,attitude survey,دراسة المواقف
173,audibility,مسموعيّة
174,audience,حضور، جمهور، مشاهدون
175,audience analysis,تحليل الجمهور - من حيث المكوّنات والخصائص
176,audience breakdown,توزيع الجمهور
177,audience format,برامج موجّهة
178,audience loyalty,ولاء الجمهور - أي إخلاصه متمثّلاً بمتابعة منتظمة
179,audience measurement,قياس الجمهور - قياس درجة متابعة الجمهور
180,audience participation,مشاركة الجمهور - في البرامج المفتوحة للعموم والتي تسجّل فيها مشاركة الجمهور العادي
181,audience participation method,طريقة مشاركة الجمهور
182,audience profile,مواصفات الجمهور
183,audience rating,مؤشر الاستماع
184,audience research,دراسة الجمهور - باستفتاء عيّنة مختارة منه
185,audience targetting,اختيار الجمهور - بانتقاء عيّنات عشوائية أو وفق منهج معيّن
186,audience turnover,تموّل الجمهور
187,audimeter,مقياس المتابعة - جهاز موصول بالتلفاز يوزّع لدى المشاهدين لقياس متابعتهم لبرامج التلفزة
188,audio,سمعي
189,audio dubbing,ترجمة صوتية - دبلجة
190,audio equipment,أجهزة سمعية
191,audio frequency,تردد صوتي - طيف الموجات الصوتية التي يمكن لأذن الإنسان سماعها
192,audio media,وسائل سمعية
193,audio mixer,مازج الصوت
194,audio signal,إشارة إذاعية
195,audio tape,شريط سمعي
196,audio tape recorder,مسجّلة
197,audio visual,سمعي بصري
198,audio visual aids,مُعينات سمعية بصرية - معينات أو معدات سمعية بصرية يستعملها محاضر أو مدرس لمصاحبة عرضه
199,audio visual technique,تقنية سمعية بصرية
200,audio wave,موجة سمعية، صوتية
201,audiodrama,تمثيلية إذاعية
202,audit,فحص
203,audit report,تقرير تدقيق التوزيع - تقرير يُعدّه مكتب المحاسبة للتحقق من عدد النسخ الموزّعة
204,auditing of the circulation,فحص التوزيع
205,audition,استماع
206,auditorium,خُبْرة - استوديو، وهو حجرة معزولة صوتياً لأجل الاستماع أو التسجيل الصوتي
207,authentic text,نص أصلي
208,author,مؤلّف
209,author of the script,كاتب الحوار - كاتب السيناريو، وهو مخطوط يحتوي نصّ الحوار في فيلم أو مسرحية أو مسلسل تلفزي ويقطع النصّ إلى مشاهد
210,authorization,إجازة
211,authorized sources,مصادر مأذونة
212,author-publisher,كاتب ناشر
213,author's fees,حقوق المؤلف
214,authorship,مهنة التأليف
215,author-title index,كشاف المؤلفين والمصنّفات
216,autobiography,سيرة ذاتية
217,autocue; teleprompter,عارض النصوص - جهاز يعاد لكاميرا التصوير يعرض نصّ الجريدة أمام مقدّم الأخبار
218,autograph,توقيع
219,automatic answering,ردّ آلي
220,availability,مُتاحيّة
221,avant-garde,طَليعيّ
222,average audience,مماثل الجمهور - المماثل الوسيطي لعدد المتابعين من الجمهور
223,average price,سعر متوسط
224,back cover; back page,ظهر الغلاف
225,back issue/number,عدد سابق
226,back up tape; protective tape,نسخة احتياط
227,background,خبرية - خلفية معطيات قاعدية
228,background music,موسيقى مُصاحبة
229,background story,مقال استذكاري - مقال موثق يستعيد خلفية الأحداث
230,backlighting,إضاءة خلفية - إضاءة من وراء المشهد أو الشخص المراد تصويره خلاف تباين في التنوير
231,backstage,كواليس
232,back-to-back (commercial),إعلانات مقرونات (في الصحافة المكتوبة) - إعلانات متتابعات (في الإذاعة والتلفزة)
233,bad copy,نسخة رديئة
234,bad news,خبر سيّئ
235,badge,شارة
236,baffle; speaker,فارز الصوت
237,bait(ing),مقال إغرائي، خداع
238,balance,موازنة
239,ban on release,منوع - من النشر أو البث
240,band width,عرض الشريط
241,banderole,لافتة
242,bandstand,كشك موسيقي
243,banner line; headline,عنوان عريض - مانشيت
244,battery,مُدَخّرة - بطارية
245,battery-powered,مغذى بمدخّرة
246,beam,حزمة ضوئية، شعاع
247,beat,سبّق صحفي
248,behavior research,دراسة السلوك
249,behavioral sciences,علوم السلوك
250,behind schedule,متأخر - وهو ما يأتي بعد فوات الأوان، أو يتخلّف عن الأجل المحدّد
251,behind the scenes,وراء الكواليس - خلف الستار
252,being reprinted,قُيّد إعادة الطبع
253,best seller,أكثر (ال...) رواجاً - كتاب أو منتج يحقّق أحسن المبيعات
254,between the lines,بين السطور
255,bi-annual,نصف سنوي
256,bias,انحياز
257,biased advertizing,إعلان مُغرض
258,biased sample,عينة مُغرضة
259,bibliography,قائمة مراجع - بيبليوغرافيا
260,bidirectional,ثنائي الاتجاه
261,big circulation magazine,مجلة واسعة الانتشار
262,big city press,صحافة المدن الكبرى
263,big time,نجاح
264,bill,إعلان
265,billboard,لوحة مُلصّقات
266,billposting; billsticking,إلصاق
267,bi-monthly,نصف شهري
268,binary,ثنائي
269,binding,تجليد
270,biography,سيرة
271,bird's eye view; high angle shot,لقطة علوية - لقطة عمودية من أعلى إلى أسفل
272,biweekly,نصف أسبوعية
273,black and white film,فيلم بالأبيض والأسود
274,black and white TV,تلفاز بالأبيض والأسود
275,blackout,تعتيم، تعتيم الأنوار
276,blank,بياض، فراغ
277,blank tape,شريط فارغ - غير مسجّل
278,blanket area,منطقة واسعة
279,blanket circulation,توزيع واسع
280,blanket coverage,تغطية واسعة
281,blind ads,إعلانات مُغفّلة
282,blow up; enlargement,تكبير
283,blueprint,ورق سالب، طبعة تجريبية
284,blurb,دعاية فظّة
285,blurred image,صورة غائمة
286,board,لوحة
287,board of censors,لجنة المراقبة
288,board of directors,لجنة الإدارة
289,board of editors,هيئة التحرير
290,board of enquiry,لجنة تحقيق
291,body copy,شرح الإعلان - نصّ يصاحب إعلاناً بالصور لشرحه أو لإزالة غموضه للقارئ
292,"boldface, boldtype",حروف غليظة
293,bonus coverage,تغطية إضافية
294,book club,نادي الكتاب
295,book design,تصميم الكتاب
296,book fair,معرض الكتاب
297,book lover,هاوي القراءة
298,book publishing,نشر
299,book review,عرض كتاب - غالباً ما يكون عرضاً موجزاً مشفوعاً بآراء نقدية
300,book reviewer,ناقد أدبي
301,book trade,صناعة الكتاب
302,booking,تسجيل
303,booklet,كراس، كتيّب
304,booklist,قائمة كتب
305,books on tape,كتاب ناطق - كتاب مسجّل بالصوت على شريط
306,bookseller,كُتبيّ
307,bookseller and publisher,كتبي ناشر
308,bookshop; bookstore,مكتبة
309,bookstall,كشك
310,boom issue,طبعة خاصة
311,boomerang effect,أثر رجعي
312,boosting,ترويج استفزازي
313,booth,مقصورة
314,border,هامش
315,bottom of page,أسفل الصفحة
316,box,إطار
317,box head,عنوان مؤطّر
318,box office,شباك - الشباك، الجناح
319,box office success,فيلم شباك - فيلم يحقّق أرباحاً كبيرة
320,brainwashing,غسل الدماغ، تضليل الرأي العام
321,brand advertising,إعلان علامة
322,brand name,اسم علامة
323,breach of contract,فسخ العقد
324,break,استراحة
325,breakdown,فرز
326,breaking news,آخر الأخبار
327,brief,موجز
328,briefing,مؤتمر صحفي مختصر
329,briefing session,جلسة إخبارية
330,brightness,لُمعان
331,broadcast,بثّ
332,broadcast (to),إذاع
333,broadcast account of a match,نقل مباراة
334,broadcast advertising,إعلان مُذاع - بالإذاعة أو التلفزة
335,broadcast announcement,بيان مذاع - بالإذاعة أو التلفزة
336,broadcast before al audience,برنامج عمومي
337,broadcast law,قانون الإعلام المرئي والمسموع
338,broadcast media,وسائل الإعلام المرئية والمسموعة
339,broadcast monitoring service,قسم مراقبة البثّ
340,broadcast news,جريدة إذاعية
341,broadcast time,مدة البثّ
342,broadcaster,معلّق، ركن، صحفي - في الإذاعة والتلفزة
343,broadcasting,إذاعة
344,broadcasting network,شبكة إذاعية
345,broadcasting authority,هيئة الإعلام المرئي والمسموع - هيئة تقوم بتنظيم قطاع الإعلام المرئي والمسموع وذلك بتوزيع القنوات ومنح رخص البث الخ
346,broadcasting station,محطة إذاعة، محطة تلفزة
347,broadcasting studio,حجرة الإذاعة، حجرة التلفزة - استوديو
348,brochure,كتيّب
349,bulk circulation; gross circulation,توزيع إجمالي
350,bulletin,نشرة الأنباء
351,bulletin board,حائطية - لوحة على حائط للملصقات الإعلانية
352,bureau,مكتب
353,burning question; hot question,قضية ساخنة
354,bus advertising,إعلان حافلة - إعلان يلصق على الحافلة أو فيها
355,business news,ركن الاقتصاد
356,business opportunity,فرصة عمل
357,business press,صحافة اقتصادية
358,button,زرّ
359,buyer survey,استبيان الزبائن - الوقوف على رأيهم في ما يشترون
360,buyout (to),اشترى حقوقاً - يعني، في ميدان الإعلام، شراء حقوق شخص على إنتاجه لاستغلاله
361,buzz(to),هاتف
362,byline,بقلم
363,byline(d) story,مقال موقّع
364,cable,كبل
365,cablecasting,تلفزة، بثّ كبلي
366,cablecasting network,شبكة تلفزة، شبكة كبلية
367,cabled home,منـزل موصّل
368,cabled network,شبكة كبلية
369,call,مكالمة
370,camcorder,كاميرا محمولة
371,camera,مصوّرة - كاميرا
372,camera booth,حجرة التصوير
373,camera car,سيّارة التصوير
374,camera control unit,وحدة مراقبة التصوير
375,camera coverage,مجال التصوير - المجال الذي يمكن للكاميرا أن تصوّر فيه
376,camera crane,رافعة الكاميرا
377,camera crew; picture crew,فريق التصوير
378,camera equipment,أجهزة التصوير
379,camera jack,غطاء الكاميرا
380,camera mixing,مزج الأصوات
381,camera operator,مُشغّل الأصوات
382,camera shot,لقطة
383,candid camera,كاميرا (ال...) الخفية
384,capacity,صنعة
385,capital letters (caps),حروف (ال...) الكبيرة
386,caption,استهلال
387,captive audience,جمهور مشدود
388,car radio,مذياع السيّارة
389,card,بطاقة
390,card catalogue,فهرس البطاقات
391,caricature,كاريكاتير
392,carpenter (audio visual),مضمّن المناظر - يضع هيكل المناظر ويشرف على صيانة لوازم الديكور
393,cartoon film,فيلم رسوم متحركة
394,cartoonist,رسام كاريكاتير
395,cartoons,رسوم متحركة، رسوم هزلية
396,case study,دراسة حالة
397,cassette recording,تسجيل شريط
398,cast,1- تمثيل - 2- توزيع الأدوار
399,cast credit,مقدّمة الفيلم
400,cast list,قائمة الممثلين
401,casting director,مدير توزيع الأدوار
402,catalogue,دليل
403,catch line,علامة
404,catch title,عنوان مثير
405,catch word,لفظ مثير
406,category,صنف
407,cathode-ray tube,شاشة مهبطية
408,celebrity,شهرة، شخصية شهيرة
409,cellular,خلوي
410,censor,رقيب
411,censor's certificate,تأشيرة الرقابة
412,censorship,رقابة
413,census,إحصاء
414,center of page,وسط الصفحة
415,center spread,صفحة الوسط - المزدوجة
416,centering,تأطير - تأطير العناصر المراد تصويرها
417,central processing unit,وحدة المعالجة المركزية
418,chain of newspaper,مجموعة صحفية - مجموعة من الصحف في بلدية شخص أو شركة
419,channel,قناة
420,channel scheduling,برمجة القنوات
421,channels of communication,قنوات الاتصال
422,chapter,فصل
423,character,1- دور مميز - في مسرحية أو فيلم، وغالباً ما يكون دوراً يمثل شخصية ذات طباع خاصة غريبة الأطوار - 2- حرف (في الكتابة أو الطباعة)
424,character casting,توزيع الأدوار
425,chare,إسهام
426,cheap edition,طبعة رخيصة
427,checkbook journalism,صحافة مأجورة - توصف أحياناً بأنها صحافة 'صفراء' تعبيراً عن الازدراء
428,checking copy,نسخة مرجعية
429,chief cameraman; director of photography,مدير التصوير
430,children's film,فيلم للأطفال
431,children's programme,برنامج للأطفال
432,children's publications,مطبوعات للأطفال
433,children's viewing time,فترة الأطفال - حصة زمنية في البرامج مخصّصة للأطفال
434,choreography,فنّ الرقص، تصميم الرقص
435,chromatic,لوني
436,chronicle,رُكن
437,chronicler,صحفي ركن
438,chronological order,تسلسل زمني
439,cinamascope,شاشة عريضة - سينما سكوب
440,cinema,سينما - خيّالة
441,cinema star,نجم سينمائي
442,cinema actor,ممثل سينمائي
443,cinema advertising,إعلان بالسينما، إشهار بالسينما
444,cinema commercial,فيلم إعلاني، فيلم إشهاري
445,cinema fan; cinema lover,هاوي السينما
446,cinema goer,مرتاد السينما
447,cinema manager,مدير قاعة - في مجال السينما
448,cinema rights,حقوق الاقتباس السينمائي
449,cinematography,صناعة السينما
450,circulation,توزيع
451,circulation area,منطقة التوزيع
452,circulation auditing,تدقيق التوزيع
453,circulation breakdown,حصص التوزيع
454,circulation control,مراقبة التوزيع
455,circulation department,قسم التوزيع، قسم المبيعات
456,circulation figure,أرقام التوزيع
457,circulation manager,مدير المبيعات
458,circulation rate,نسبة التوزيع
459,citation; quotation,استشهاد، مرجع
460,city edition,طبعة العاصمة
461,city editor,1- محرّر أخبار اليوم - 2- محرّر مالي
462,city page,صفحة محلّية
463,class magazine,مجلة متخصصة، مجلة راقية - وهي مجلة أنيقة تُطبع غالباً على ورق مفيل
464,classification,تصنيف
465,classified advertisement,إعلانات مبوّبة
466,classified column,عمود الإعلانات المبوّبة
467,classified document; confidential document,وثيقة سرّية
468,cliché,رُوَيْسم
469,cliffhanger,رواية مسلسلة - على حلقات وغالباً ما تنتهي الحلقة بموقف مثير أو مشوّق انتظاراً للحلقة التالية
470,clip; clipping,قصاصات الصحافة
471,clips,شريط مقطوعات - فيلم قصير مؤلف من لقطات سريعة غالباً ما يصور لقطة غنائية
472,close captioning,عنونة إلكترونية للصمّ
473,close medium shot,لقطة نصفية مقرّبة - لقطة أمريكية - لقطة تظهر شخصاً أو أكثر من أعلى الركبتين إلى الرأس
474,close shot,لقطة مقرّبة
475,close up,لقطة مقرّبة
476,closed circuit,دارة مغلقة
477,closed circuit TV,دارة تلفزة مغلقة - نظام تصوير وعرض للصورة في دارة مغلقة يستعمل في الغالب لمراقبة المجالات التجارية والمؤسسات
478,code,شفرة، رمز
479,coded; scrambled,مرمّز
480,collection,مجموعة
481,collective page,صفحة جماعية
482,color,لون
483,color film,1- فيلم بالألوان (في السينما) - 2- شريط بالألوان (في التصوير)
484,color printing,طباعة بالألوان
485,color TV,تلفاز بالألوان
486,color xerox copy,نسخة بالألوان
487,colored story,مقال مُغرض
488,column,عمود
489,columnist,محرّر عمود
490,combined issues,عدد مزدوج
491,comedian,ممثل
492,comedy,ملهاة - كوميدية هزلية
493,comic artist,مؤلف شرائط رسوم هزلية
494,comic strip; comics,شرائط رسوم هزلية
495,comics book,كتاب شرائط رسوم هزلية
496,coming attractions,عروض (ال...) المقبلة
497,comment; commentary,تعليق
498,commentator; narrator,معلّق
499,commercial,وصلة إشهارية، وصلة إعلانية، صفحة إشهارية
500,commercial announcement,بيان إعلاني، بيان إشهاري
501,commercial break (radio-TV),فاصل إعلان، فاصل إشهار
502,commercial radio,إذاعة تجارية
503,commercial television,تلفزة تجارية، قناة تجارية
504,communication,اتصال
505,communications,فن الاتصال، وسائل الاتصال
506,communicator,وكيل الاتصال
507,communique,بلاغ
508,community antenna,هوائي مشترك
509,community viewing; community listening,استقبال جماعي - مشاهدة أو استماع
510,compact disk (CD),قرص مدمج
511,compact disk video (CDV),قرص فيديو مدمج
512,company,شركة
513,company newspaper; company publication,نشرة المؤسسة
514,comparative advertising,إعلان مقارن
515,competitive advertising,إعلان تنافسي، إشهار تنافسي
516,complaint,شكوى
517,complementary,مُتكامل
518,complete world coverage,تغطية عالمية شاملة
519,complimentary; comp,مجاني
520,complimentary subscription,اشتراك مجاني
521,composer,ملحّن
522,composition,تلوين
523,computer,حاسوب
524,computer animation,رسوم متحركة بالحاسوب
525,computer-aided instruction (CAI),تعليمات بالحاسوب
526,conference,مؤتمر
527,conference call,مناظرة عن بعد
528,connection,رابط
529,conscience clause,استقلال الرأي - مبدأ يحفظ لصحفي حقه في استقلال الرأي وحرّية الضمير والانسجام الوحدوي الذاتي ويقضي بحقّ الصحفي في مغادرة صحيفة مع استلام تعويضات إذا غيّرت اتجاهها، فباتت تتناقض مع آرائه ومعتقداته
530,console,لوحة المفاتيح
531,consultant,مستشار
532,consumer; user,مستهلك
533,consumer profile,مواصفات المستهلك
534,consumerism,حماية المستهلك
535,contempt,إهانة
536,content analysis,تحليل المضمون
537,content(s),عموم
538,continuity,ترابط
539,continuity advertising,حملة إعلانية متّصلة
540,continuity clerk,مقطع المشاهد - في السيناريو
541,continuity cutting,تقطيع المشاهد - في السيناريو
542,continuity title,عنوان الرّبط
543,continuous performance,عرض متّصل
544,continuous survey,تحقيق متّصل، سبر متّصل
545,contract,عقد
546,contract film,منتج أفلام
547,contract player,ممثل متعاقد
548,contrast,تضاد
549,contre jour,ضوء معاكس - تصوير في مواجهة الشمس أو ضوء اصطناعي
550,contributing editor,مستشار التحرير
551,contribution,مقال معاون، مساهمة
552,contributor; collaborator,مستكتب - كاتب من خارج العاملين في الصحيفة
553,control console; control desk,مكتب المراقبة
554,control room,حجرة المراقبة
555,control track,مُضْوَت المراقبة
556,controller of programmes; programmer,1- مبرمج - 2- مدير البرامج
557,convenience sample,عيّنة عشوائية
558,convention,اتفاقية
559,conventional media; traditional media,وسائل الإعلام المعروفة - وسائل الإعلام المرئية والمسموعة والمكتوبة
560,conversation,محادثة
561,cooperative advertising; collective advertising,إعلان جماعي
562,co-production,إنتاج مشترك
563,copublication,نشر مشترك
564,copy,نسخة
565,copy approach; copy policy,سياسة النصّ
566,copy block,دفتر التسجير
567,copy boy,موزّع الصحف
568,copy date; deadline,أجل الإيداع
569,copy department,قسم التحرير
570,copy desk,مكتب المراجعة
571,copy edit; mechanical edit,مراجعة النصّ
572,copy editor,مصحّح
573,copy schedule,برنامج المواد
574,copyguard; copy protection,مفتاح التأمين
575,copyright,حق المؤلف - وهو حق الملكية الفكرية، وهذه تشمل كل إنتاج فني أو أدبي له
576,copyright notice,ذكر حق المؤلف
577,copyrighting,تسجيل المؤلفات - إيداع المؤلفات لدى مكتب حقوق التأليف
578,copywrite,محرّر مقالات
579,cordless sync,تزامن لا سلكي للصوت والصورة
580,corporation,شركة
581,correction,تدقيق - مراجعة نصّ وتصحيحه
582,corrective,تصويب - بيان لتصحيح خبر، أولاً ستدراك خطأ في تصريح نشر من قبل
583,correspondent,مراسل
584,corrigendum (erratum),تصويب - الأغلاط المطبعية
585,cost,كلفة
586,costume film,فيلم تاريخي
587,costumes,ملابس
588,countdown,عدّ تنازلي
589,country of publication,بلد الإصدار
590,coupon,قسيمة
591,cover; cover page,غلاف
592,cover model,فتاة الغلاف - صورة على الغلاف تظهر فتاة تستجيب لمقاييس الأزياء
593,cover photograph; cover picture,صورة الغلاف
594,cover price,سعر (ال...) المعلن، ثمن النسخة
595,cover story,موضوع الغلاف، مقالة الغلاف
596,cover title,عنوان الغلاف
597,coverage,تغطية
598,crabs,مُرتجعات
599,crane,رافعة
600,creative department,قسم الإبداع
601,creativity,إبداع
602,credible,موثوق
603,credit line,بيان المصدر
604,credits; credit titles,مقدّمة الفيلم
605,creeping titles; crawling titles,عناوين مُتسلسلة - عناوين مقدمة فيلم تنساب متتابعة على شاشة العرض
606,crew,فريق عمل
607,critic,ناقد (ال...)
608,critical view,وجهة نظر نقدية
609,criticism,نقد (ال...)
610,cross media ownership; cross ownership,قطب صحفي - شخص يمتلك عدّة أجهزة في ميدان الإعلام، صحافة، مطابع، محطات إذاعة وتلفزة، إعلان، الخ
611,crosslighting,إضاءة متقاطعة
612,cue,إشارة البدء
613,cue card; flip card,بطاقة تذكير - بطاقة تذكر بعناصر البرنامج المتلقى
614,cue light,إضاءة التصوير
615,cue line,إشارة الرّبط - إشارة بين صحفي الاستوديو وتقني المحافظة للربط بين برنامجين أو خبرين أو فاصل
616,cue sheet; running order (TV),دليل التوقيت - ورقة تتضمن توقيت كل فقرة من فقرات البرنامج وتفاصيلها
617,cultural programme,برنامج ثقافي
618,current events,حوادث (ال...) الجارية
619,current number,عدد اليوم - في الصحافة المكتوبة
620,curtain,ستار
621,curtain raiser,فقرة الافتتاح - في المسرح، هو البرنامج الذي يعرض بعد رفع الستار مباشرة
622,customer service,قسم الزبائن
623,cut,فاصل - واصل
624,cut version,نسخة مختصرة
625,cutaway,لقطة فاصلة - صورة أو لقطة تفصل بين مشهدين أو موضوعين في فيلم
626,cut-in,عنوان فاصل إعلاني - فاصل إعلاني مكتوب (إذاعة، تلفزة) - فاصل إعلاني إشهاري (إذاعة تلفزة)
627,cut-in scene; keying,دَمْج - نص في الصورة
628,cutline; caption,اسم المؤلف (مقالات صحفية)، اسم المرسِل (قصاصات الأخبار)
629,cut-offs,فواصل إعلانية، فواصل إشهارية
630,cutout,مَناظر محذوفة
