id,term,definition,source_file
93,advertising,أنظمة أنظمة,معجم المصطلحات الاعلامية
94,advertising schedule,جدول تانالعإلا تبيّن تسلسل إدراج الإعلانات),معجم المصطلحات الاعلامية
95,advertising support,إعلالية مسائدة إشهاري,معجم المصطلحات الاعلامية
96,advertising trade,صحيفة إعلانية متشصصة,معجم المصطلحات الاعلامية
97,advertorial,"مقال إعلاي, مقال إشهاري (في الصحافة المكتوبة)",معجم المصطلحات الاعلامية
98,advocacy advertising,قضيّة إعلانية يشتريها المعلن للدفاع عن قضية أو (مساحة للتعريف موقف),معجم المصطلحات الاعلامية
99,aerlal advertising,إشهار جوي؛ إعلان جوري,معجم المصطلحات الاعلامية
100,aerial image; aerial,بو صورة ية,معجم المصطلحات الاعلامية
101,aerial shooting;,تصرير دي وكالة,معجم المصطلحات الاعلامية
102,aggressive reporting,استطلاع مثير وكن الاجتماعيات (ركن إعلانات مبوبة المتغيبين والمفقودات عن الاجتماعية),معجم المصطلحات الاعلامية
103,ahead of schedule,قبل (ما كان سابقا أو ما وقع موعده),معجم المصطلحات الاعلامية
104,air,تاريخ,معجم المصطلحات الاعلامية
105,air plug,مطرقة (إعلان في الإذاعة على فترات متقاربة),معجم المصطلحات الاعلامية
106,airtime; broadcast,هدّة البثء مدة روهظلا (على الشاشة) ل,معجم المصطلحات الاعلامية
107,airwaves,موجات البث,معجم المصطلحات الاعلامية
108,all rights reserved,جميع الحقوق محفوظة,معجم المصطلحات الاعلامية
109,all-day-newspaper,الطبعات معددة,معجم المصطلحات الاعلامية
110,all-star-cast,فلم التجوم فلم (فلم يشارك عدد كبير تحوم السيئما) فيه من,معجم المصطلحات الاعلامية
111,alphabetical order,ألفبائي تيب ترتيب,معجم المصطلحات الاعلامية
112,alteration,تعديل,معجم المصطلحات الاعلامية
113,alternative media,وسيلة إعلامية بديلة,معجم المصطلحات الاعلامية
114,alternative press;,مبحافة لا نظامية,معجم المصطلحات الاعلامية
115,alternative television,تلفزة بديلة,معجم المصطلحات الاعلامية
116,amateur film-maker,سينمائي هاو,معجم المصطلحات الاعلامية
117,amateur,مصور هاو,معجم المصطلحات الاعلامية
118,amendement,تعديل,معجم المصطلحات الاعلامية
119,amplitude,تعديل الموجة,معجم المصطلحات الاعلامية
120,analysis,تحليل,معجم المصطلحات الاعلامية
121,anchorperson (TV),مقلم (المذيع الرليسي الذي يقَدّم نشرة الأحبار المتلفزة),معجم المصطلحات الاعلامية
122,animated fom,متحركة رسوم ا,معجم المصطلحات الاعلامية
123,animation,إعداد (الرسوم المتحركة),معجم المصطلحات الاعلامية
124,announcement,إعلان,معجم المصطلحات الاعلامية
125,annual; yearly,ستري,معجم المصطلحات الاعلامية
126,answer,جواب,معجم المصطلحات الاعلامية
127,answering machine,ردادة آلة عليها للمتصليز صون حواب,معجم المصطلحات الاعلامية
128,anthology,(أدبية أو موسيقية),معجم المصطلحات الاعلامية
129,anticipated audience,جمهور,معجم المصطلحات الاعلامية
130,anti-jamming,للتشويش مضاد,معجم المصطلحات الاعلامية
131,aperture (camera),سجاف الكاميرة وهي تتحكّم النور (فتحة الوارد على الفلم),معجم المصطلحات الاعلامية
132,appearance Jy,"الصحافة), صدور ظهور(على خشبة المسرح أو على الشاشة)",معجم المصطلحات الاعلامية
133,appearance date,تاريخ,معجم المصطلحات الاعلامية
134,appointment,موعد,معجم المصطلحات الاعلامية
135,archives,انيه (مكان حفظ الوثائق),معجم المصطلحات الاعلامية
136,area sampling,جغراليٍ تعرين,معجم المصطلحات الاعلامية
137,argumentative text,نص مو إلى الحجج والوثائق وفق البحث مستند العلمي) توزيع موسيقي,معجم المصطلحات الاعلامية
138,art critic,ناقد,معجم المصطلحات الاعلامية
139,art director,المناظر هدير,معجم المصطلحات الاعلامية
140,art film,فلم فني,معجم المصطلحات الاعلامية
141,art house; art,قاعة السينما التجريبية مقالة,معجم المصطلحات الاعلامية
142,artificial intelligence,ذكاء اصطناعي,معجم المصطلحات الاعلامية
143,artificial language,اصطناعية,معجم المصطلحات الاعلامية
144,artificial voice,اصطناعي صوت,معجم المصطلحات الاعلامية
145,artistic style od,أسلوب,معجم المصطلحات الاعلامية
146,arts entertainment,وفنون عروض,معجم المصطلحات الاعلامية
147,assessment,تقوم,معجم المصطلحات الاعلامية
148,assign; assignment,الأدوار توزيع,معجم المصطلحات الاعلامية
149,assignment (broadcast),القن بع ارد في ههمة,معجم المصطلحات الاعلامية
150,assistant cameram an,مساعد المصور,معجم المصطلحات الاعلامية
151,assistant director,مساعد المخرج,معجم المصطلحات الاعلامية
152,assistant production,جاتنإلا مساعد مدير,معجم المصطلحات الاعلامية
153,associate producer well,مساعد,معجم المصطلحات الاعلامية
154,atlas,أطلس,معجم المصطلحات الاعلامية
155,atmosphere,مناخ,معجم المصطلحات الاعلامية
156,attention-getting,(يحذب الانتباه ويلفت الأنظار),معجم المصطلحات الاعلامية
157,attitude survey,دراسة المواقف,معجم المصطلحات الاعلامية
158,audibility,مسموعيّة,معجم المصطلحات الاعلامية
159,audience,حضور مشاهدون,معجم المصطلحات الاعلامية
160,audience analysis,تحليل الجمهور حيث,معجم المصطلحات الاعلامية
161,audience breakdown,الجمهور توزيع,معجم المصطلحات الاعلامية
162,audience loyalty,وفاء ابلمهور (أي,معجم المصطلحات الاعلامية
163,audience,قياس الجمهور,معجم المصطلحات الاعلامية
164,audience,مشاركة الجمهور اركة في البرامج المفتوحة للعموم تسجل فيها مشاركة الجمهور العادي),معجم المصطلحات الاعلامية
165,audience,طريقة مشاركة,معجم المصطلحات الاعلامية
166,audience profile,الجمهور هراصفات,معجم المصطلحات الاعلامية
167,audience rating pp,الاستماع,معجم المصطلحات الاعلامية
168,audience research,دراسة,معجم المصطلحات الاعلامية
169,audience targetting,الجمهور اختيار بانتقاء عينات عشوائية أو فق,معجم المصطلحات الاعلامية
170,audience turnover,تحرّل الجمهور,معجم المصطلحات الاعلامية
171,audio,عي,معجم المصطلحات الاعلامية
172,audio dubbin,ترجمة صوتية (دبلجة),معجم المصطلحات الاعلامية
173,audio equip equipment,أجهزة,معجم المصطلحات الاعلامية
174,audio frequency,تردد,معجم المصطلحات الاعلامية
175,audio media,وسائل معية,معجم المصطلحات الاعلامية
176,audio mixer,مازج الصوت,معجم المصطلحات الاعلامية
177,audio signal,إشارة إذاعيّة,معجم المصطلحات الاعلامية
178,audio ta pe,شريط شريط بج,معجم المصطلحات الاعلامية
179,audio tape recorder,مسعئّلة,معجم المصطلحات الاعلامية
180,audio visual,بصري,معجم المصطلحات الاعلامية
181,audio visual aids,مُعينات مدرس لمصاحبة عرضه),معجم المصطلحات الاعلامية
182,audio visual,تقنية معية بصرية تقنبة بصابة,معجم المصطلحات الاعلامية
183,audio wave Kast,هوجة صوتية,معجم المصطلحات الاعلامية
184,audiodrama,تمثيليّة إذاعية,معجم المصطلحات الاعلامية
185,audit report,تدفيق التوزيع تقرير يعدّه مكتب الحاسبة للتحقق من عدد النسخ الموزعة),معجم المصطلحات الاعلامية
186,auditing of the,فخْص التوزيع,معجم المصطلحات الاعلامية
187,audition,استماع,معجم المصطلحات الاعلامية
188,auditorium iad,صوتياً لأحل أو (استوديوء وهو ححرة معزولة الاستماع التسجيل,معجم المصطلحات الاعلامية
189,authentic text,نص أصلي,معجم المصطلحات الاعلامية
190,author,مؤلف,معجم المصطلحات الاعلامية
191,author of the script,كاتب الخوار كائب السينا السيناريو» وهو نص الحوار في فلم نص ف ذ أو مسرحية أو مسلسل تلفزي ويقطع النص إلى مشاهد),معجم المصطلحات الاعلامية
192,authorization,إجازة,معجم المصطلحات الاعلامية
193,authorized sources,ماذونة مصادر,معجم المصطلحات الاعلامية
194,author-publisher,كاتب ناشر,معجم المصطلحات الاعلامية
195,author's fees,المؤلف حقوق,معجم المصطلحات الاعلامية
196,authorship,التأليف مهنة,معجم المصطلحات الاعلامية
197,author-title index,كثاف المؤلفين والمصئفات,معجم المصطلحات الاعلامية
198,tography,سيرة ذائية,معجم المصطلحات الاعلامية
199,autocue;,عارض التنصوص لكاميرة أمام جهاز محاذ التصوير يعرض دم مغدم الأخبار),معجم المصطلحات الاعلامية
200,automatic answering,رد آلي,معجم المصطلحات الاعلامية
201,average audience,معدّل الجمهورر (المعدل الرسيطي لعدد للتابعين ابلمهور) من سعر متوسط,معجم المصطلحات الاعلامية
202,back cover; back‏ Pc,الغلاف,معجم المصطلحات الاعلامية
203,back issue/number,بي,معجم المصطلحات الاعلامية
204,back up tape;‏,نسخحة احتياط,معجم المصطلحات الاعلامية
205,background‏,تجربة (حلفيّة معطيات قاعدية),معجم المصطلحات الاعلامية
206,background music 4d,موسيقى مصاحبة,معجم المصطلحات الاعلامية
207,background story‏,استذ كاري مقال (مقال موئق نخلفية الأحداث) يستعيد,معجم المصطلحات الاعلامية
208,backlighting,إضاءة إضاءة وراء الممشهد أو الشخخص تصويره من تباين في التنرير),معجم المصطلحات الاعلامية
209,backstage‏,كواليس,معجم المصطلحات الاعلامية
210,back ack-to-back‏,إعلانان مقرونان إعلانان متحابعان (في الإذاعة والتلفزة) اند,معجم المصطلحات الاعلامية
211,bad copy‏,نسخة وديئة,معجم المصطلحات الاعلامية
212,badge‏,شارة,معجم المصطلحات الاعلامية
213,baffle; speaker‏,فارز الصوت,معجم المصطلحات الاعلامية
214,bait(ing),مقال إغراني؛,معجم المصطلحات الاعلامية
215,balance‏,هوازنة,معجم المصطلحات الاعلامية
216,banon release,النشر أو الببث) (من,معجم المصطلحات الاعلامية
217,band width,عَرْض الشريط,معجم المصطلحات الاعلامية
218,bandstand,كشك هوسيقى,معجم المصطلحات الاعلامية
219,banner line; headline,عريض (مانشيت),معجم المصطلحات الاعلامية
220,battery ee),(بطارية),معجم المصطلحات الاعلامية
221,battery-powered,مغدى بمدخيرة,معجم المصطلحات الاعلامية
222,beam,حزهة شعاع,معجم المصطلحات الاعلامية
223,beat,سبق صحفي,معجم المصطلحات الاعلامية
224,behavior research,دراسة السّلوك,معجم المصطلحات الاعلامية
225,behavioral sciences,علوم السلوك المحدّد),معجم المصطلحات الاعلامية
226,behind the scenes,الكواليس وراء الستار),معجم المصطلحات الاعلامية
227,being reprinted,الطبع إعادة,معجم المصطلحات الاعلامية
228,best seller gS,رواجاً أو يحقق المبيعات) منتج,معجم المصطلحات الاعلامية
229,between the lines,السطور بين,معجم المصطلحات الاعلامية
230,bi-annual,نصف,معجم المصطلحات الاعلامية
231,biased advertizing,إعلان مُغرض,معجم المصطلحات الاعلامية
232,biased bi sample,مض عيئة ط مُفِرضة,معجم المصطلحات الاعلامية
233,bibliography,قائمة مر وت,معجم المصطلحات الاعلامية
234,big circulation alg,الانتشا واسعة,معجم المصطلحات الاعلامية
235,big city press On Bore,الكبرى,معجم المصطلحات الاعلامية
236,bill,إعلان,معجم المصطلحات الاعلامية
237,billposting;,إلصاق,معجم المصطلحات الاعلامية
238,bi-monthly,نصف شهري,معجم المصطلحات الاعلامية
239,binding,تجليد,معجم المصطلحات الاعلامية
240,biography,سير,معجم المصطلحات الاعلامية
241,bird's eye view; iu,لقطة لقلة أعلى إلى أسة أسفل) (لقطة عمودية من إلى,معجم المصطلحات الاعلامية
242,black and white film,بيض,معجم المصطلحات الاعلامية
243,"blackand white TV,",بالأبيض والأسو تلفاز,معجم المصطلحات الاعلامية
244,blank,بياضء فراغ,معجم المصطلحات الاعلامية
245,blank tape,شريط فارخ (غير,معجم المصطلحات الاعلامية
246,blanket area,منطقة واسعة,معجم المصطلحات الاعلامية
247,blanket circulation,توزيع واسع,معجم المصطلحات الاعلامية
248,blanket coverage,تغطية واسعة,معجم المصطلحات الاعلامية
249,blind ads,مُغفلة إعلانات,معجم المصطلحات الاعلامية
250,blow up;,تكبير,معجم المصطلحات الاعلامية
251,blurb ibd,دعاية,معجم المصطلحات الاعلامية
252,board,لوحة,معجم المصطلحات الاعلامية
253,board of censors,المراقبة,معجم المصطلحات الاعلامية
254,board of directors,الإدارة,معجم المصطلحات الاعلامية
255,board of enquiry,جنة تحقيق,معجم المصطلحات الاعلامية
256,body copy,شرح الإعلان يصاحب إعلانا بالصور لشرحه أو لإزالة غموضه,معجم المصطلحات الاعلامية
257,"boldface,",حروف,معجم المصطلحات الاعلامية
258,bonus coverage,تغطية إضافية,معجم المصطلحات الاعلامية
259,book club,الكتاب نادي نال,معجم المصطلحات الاعلامية
260,book design,الكتاب تصميى,معجم المصطلحات الاعلامية
261,book fair “SN ows,م,معجم المصطلحات الاعلامية
262,book lover,القراءة,معجم المصطلحات الاعلامية
263,book review,كتاب عرض (غالبا ما يكون عرضا موجزا مشفوعاً نقدية),معجم المصطلحات الاعلامية
264,book reviewer,ناقد أدبي,معجم المصطلحات الاعلامية
265,bookin,تسجيل,معجم المصطلحات الاعلامية
266,booklist,قائمة كت,معجم المصطلحات الاعلامية
267,books on tape,كنتاب ناطق,معجم المصطلحات الاعلامية
268,boom issue Jab,خاصة,معجم المصطلحات الاعلامية
269,boomerang effect,أثر رجعي,معجم المصطلحات الاعلامية
270,boosting,استغزازي ترويج,معجم المصطلحات الاعلامية
271,booth,هامش,معجم المصطلحات الاعلامية
272,bottom of page,أسفل الصفحة,معجم المصطلحات الاعلامية
273,box,إطار,معجم المصطلحات الاعلامية
274,box head Pp,عنوان,معجم المصطلحات الاعلامية
275,box office Sts,(التذاكر»,معجم المصطلحات الاعلامية
276,box office success,فلم شباك أرباحا كبيرة) يحقق,معجم المصطلحات الاعلامية
277,brainwashing cf UI,غسل تضليز,معجم المصطلحات الاعلامية
278,brand advertising,إعلان علامة,معجم المصطلحات الاعلامية
279,brand name,اسم علامة,معجم المصطلحات الاعلامية
280,breach of contract cas ald,العقد,معجم المصطلحات الاعلامية
281,break,استراحة,معجم المصطلحات الاعلامية
282,breaking news,الأخبار,معجم المصطلحات الاعلامية
283,brief,هوجز,معجم المصطلحات الاعلامية
284,briefing session,جلسة إخبارية,معجم المصطلحات الاعلامية
285,broadcast account of,نقل هياراة,معجم المصطلحات الاعلامية
286,broadcast,إعلان مُذاع (بالإذاعة,معجم المصطلحات الاعلامية
287,broadcast,بلاغ مذاع (بالإذاعة بالاذاعة أوالتلفزة أوالتلفزة),معجم المصطلحات الاعلامية
288,broadcast before al,برنامج عمومي,معجم المصطلحات الاعلامية
289,broadcast law,قانون المرئي الإعلام والسموع,معجم المصطلحات الاعلامية
290,broadcast media,وسائل الإعلام المرئية وال مسموعة,معجم المصطلحات الاعلامية
291,broadcast time,مدّة البث,معجم المصطلحات الاعلامية
292,broadcaster,معلق ركن) صحفي,معجم المصطلحات الاعلامية
293,broadcasting,أذاعة,معجم المصطلحات الاعلامية
294,broadcasting,شبكة إذاعية,معجم المصطلحات الاعلامية
295,broadcasting,هيئة الإعلام المرئي والسموع (هيئة تقوم بتنظيم قطاع الإعلام المرئي والمسموع وذلك بتوزيع القئوات ومنح البث ال) ا,معجم المصطلحات الاعلامية
296,broadcasting station,"محطة إذاعة,",معجم المصطلحات الاعلامية
297,broadcasting studio,"حجرة الإذاعة, ةرجح العلفزة (استوديو)",معجم المصطلحات الاعلامية
298,broch ocnure,كتيب,معجم المصطلحات الاعلامية
299,bulk circulation;,إجمالي توزيع,معجم المصطلحات الاعلامية
300,bulletin,الأنباء نشرة,معجم المصطلحات الاعلامية
301,bulletin board,حائطية (لوحة على حائط للملصقات الإعلانية),معجم المصطلحات الاعلامية
302,bureau,مكتب,معجم المصطلحات الاعلامية
303,burning question; Lad,ساخنة,معجم المصطلحات الاعلامية
304,bus advertising,إعلان حافلة ([علان يلصق على الحافلة أو فيها),معجم المصطلحات الاعلامية
305,business news,ركن الاقتصاد,معجم المصطلحات الاعلامية
306,business opportunity,فرمة عمل,معجم المصطلحات الاعلامية
307,business press,صحافة اقتصادية,معجم المصطلحات الاعلامية
308,buyer survey,استبار الزيائن (للرقرف على رأيهم في ما يشترون),معجم المصطلحات الاعلامية
309,buyout (to),اشترى حقوقا لاستغلاله),معجم المصطلحات الاعلامية
310,buzz(to),هائف,معجم المصطلحات الاعلامية
311,byline,بقلم,معجم المصطلحات الاعلامية
312,camera shot,لقملة,معجم المصطلحات الاعلامية
313,byline(d) story,مقال هو,معجم المصطلحات الاعلامية
314,cablecasting US,تلفز,معجم المصطلحات الاعلامية
315,cablecasting network is.‏,شبكة تلفز ق كبلية,معجم المصطلحات الاعلامية
316,cabled home boy‏,منزل,معجم المصطلحات الاعلامية
317,ca bled network‏ tw ALS,شبكة,معجم المصطلحات الاعلامية
318,call‏,مكالمة,معجم المصطلحات الاعلامية
319,camcorder‏,كاميرة محمولة,معجم المصطلحات الاعلامية
320,camera booth‏,التصوير حجرة,معجم المصطلحات الاعلامية
321,camera car‏,سيّارة التصوير,معجم المصطلحات الاعلامية
322,camera control unit‏,وحدة مراقبة التصوير,معجم المصطلحات الاعلامية
323,camera coverage‏,مجال التصوير الذي يمكن للكاميرة أن تصوّر فيه),معجم المصطلحات الاعلامية
324,camera crane‏,رافعة الكاميرة,معجم المصطلحات الاعلامية
325,camera equipment‏,أجهزة التصوير,معجم المصطلحات الاعلامية
326,camera jack‏,غطاء الكاميرة,معجم المصطلحات الاعلامية
327,camera mixing‏ cP‏,الأصوات,معجم المصطلحات الاعلامية
328,camera operator‏,الأصورات,معجم المصطلحات الاعلامية
329,candid camera,كاميرة (ال...),معجم المصطلحات الاعلامية
330,capacity,مصنعة,معجم المصطلحات الاعلامية
331,capital letters (caps),حروف لكبيرة الكبرة,معجم المصطلحات الاعلامية
332,caption,استهلال,معجم المصطلحات الاعلامية
333,ca ve,جتهور مشدود,معجم المصطلحات الاعلامية
334,car radio,ع ديا مذياع السيّارة السيارة,معجم المصطلحات الاعلامية
335,card catalogue,فهرس قات البطاقات,معجم المصطلحات الاعلامية
336,carpenter visual) (audio,المناظر نصمم هيكل المناظر ويشرف على صيانة لوازم الديكور),معجم المصطلحات الاعلامية
337,cartoonist,رسام كاريكاتير,معجم المصطلحات الاعلامية
338,case study,دراسة حالة,معجم المصطلحات الاعلامية
339,cassette recording,تسجيل شريط,معجم المصطلحات الاعلامية
340,cast,تمل الأدوار توزيع,معجم المصطلحات الاعلامية
341,cast list,قائمة الممثلين,معجم المصطلحات الاعلامية
342,casting ae director,الأدوار هدير توزيع,معجم المصطلحات الاعلامية
343,catalogue,دليل,معجم المصطلحات الاعلامية
344,catch line,علامة,معجم المصطلحات الاعلامية
345,catch word,لفظ,معجم المصطلحات الاعلامية
346,cathode-ray tube,شاشة مهبطية,معجم المصطلحات الاعلامية
347,celebrity,شخصية شهيرة,معجم المصطلحات الاعلامية
348,cellular,خَلوي عمف ةأباااع»,معجم المصطلحات الاعلامية
349,censor,رقيب,معجم المصطلحات الاعلامية
350,censor's certificate,تأشيرة الرقابة,معجم المصطلحات الاعلامية
351,censorship,وقابة,معجم المصطلحات الاعلامية
352,census,إخصاء,معجم المصطلحات الاعلامية
353,center of page,وسعل الصفحة,معجم المصطلحات الاعلامية
354,centering,(تأطير العناصر تصويرها),معجم المصطلحات الاعلامية
355,central processing,المعالجة المركزية وحدة,معجم المصطلحات الاعلامية
356,channels ale,قنوات الاتصال,معجم المصطلحات الاعلامية
357,chapter,فصل,معجم المصطلحات الاعلامية
358,character,مز دور ما دور مسرحية مو فلم وغالبا يكون شخصية ذات طباع نخاصة غريبة الأطوار) حرف الكتابة أو الطباعة),معجم المصطلحات الاعلامية
359,character casting,الأدوار توزيع,معجم المصطلحات الاعلامية
360,cheap edition,طبعة رخيصة,معجم المصطلحات الاعلامية
361,checkbook,"صحافة مأجورة أحاناً ""مف اك"" تعدا (توصف صحافة فة صغراء نعبيرا عن",معجم المصطلحات الاعلامية
362,checking copy,نسخخة جعيّة هر,معجم المصطلحات الاعلامية
363,chief cameraman;,التصوير مدير,معجم المصطلحات الاعلامية
364,children’s film ub,فلم للأطفال,معجم المصطلحات الاعلامية
365,children's,للأطفال برنامج,معجم المصطلحات الاعلامية
366,children's,مطبوعات للأطفال,معجم المصطلحات الاعلامية
367,children's viewing 3d,الأطفال (حصة زمنية في البرامج مخصصة,معجم المصطلحات الاعلامية
368,choreograph pay ANS,الرقس,معجم المصطلحات الاعلامية
369,chromatic,لو,معجم المصطلحات الاعلامية
370,chronicle,ركن,معجم المصطلحات الاعلامية
371,chronicler,صحفي ركن,معجم المصطلحات الاعلامية
372,chronological order,تسلسل زمني,معجم المصطلحات الاعلامية
373,cinamascope,شاشة عريضة (سينما سكوب),معجم المصطلحات الاعلامية
374,cinema,(سيئما),معجم المصطلحات الاعلامية
375,cinema star,سيئمائي,معجم المصطلحات الاعلامية
376,cinema advertising,إعلان راهشإ بالسيدما,معجم المصطلحات الاعلامية
